Supplier Name,Net Amount,Spend Type,Service,Department,Account,Entry Date,Payment type,
AdEPT TECHNOLOGY GROUP PLC," 19,000.00 ",Software Purchase             ,Resident Experience Project   ,Community Engagement & Wellbeing,General Fund,14 Aug 23,Invoiced,
AdEPT TECHNOLOGY GROUP PLC," 5,057.07 ",TELEPHONE CHARGES             ,Commercial and Risk           ,Resources,General Fund,8 Aug 23,Invoiced,
AdEPT TECHNOLOGY GROUP PLC," 5,147.61 ",TELEPHONE CHARGES             ,Commercial and Risk           ,Resources,General Fund,10 Jul 23,Invoiced,
ADOPTIONPLUS LTD, 900.00 ,Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,7 Jul 23,Invoiced,
ADOPTIONPLUS LTD, 900.00 ,Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,7 Jul 23,Invoiced,
ADOPTIONPLUS LTD," 1,500.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,9 Aug 23,Invoiced,
ADOPTIONPLUS LTD," 1,500.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,11 Sep 23,Invoiced,
ADOPTIONPLUS LTD," 1,800.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,10 Jul 23,Invoiced,
ADOPTIONPLUS LTD," 1,900.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,9 Aug 23,Invoiced,
ADOPTIONPLUS LTD," 3,000.00 ",Private Sector Provision      ,RAA Adoption Support Fund     ,Children & Young People,General Fund,9 Aug 23,Invoiced,
ADVANCE HOUSING AND SUPPORT LTD," 1,216.00 ",Non Lbi Domiciliary Care      ,Physical Support              ,Adult Social Services,General Fund,6 Jul 23,Invoiced,
ADVANCE HOUSING AND SUPPORT LTD," 1,216.00 ",Non Lbi Domiciliary Care      ,Physical Support              ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
ADVANCE HOUSING AND SUPPORT LTD," 1,216.00 ",Non Lbi Domiciliary Care      ,Physical Support              ,Adult Social Services,General Fund,7 Aug 23,Invoiced,
ADVANCED BUSINESS SOLUTIONS," 5,243.57 ",Software Purchase             ,Commercial and Risk           ,Resources,General Fund,15 Aug 23,Invoiced,
ADVANCED BUSINESS SOLUTIONS," 5,880.00 ",Software Purchase             ,Commercial and Risk           ,Resources,General Fund,1 Aug 23,Invoiced,
ADVANCED BUSINESS SOLUTIONS," 12,750.00 ",Software Purchase             ,ICT Projects                  ,Resources,General Fund,31 Jul 23,Invoiced,
ADVANCED BUSINESS SOLUTIONS," 20,000.00 ",Software Purchase             ,Cedar E5 Upgrade project      ,Resources,General Fund,17 Aug 23,Invoiced,
ADVANCED NEW TECHNOLOGY LTD," 3,536.53 ", Responsive Repairs           ,In-house Repairs Contract Mgt ,Homes & Neighbourhoods,HRA,7 Jul 23,Invoiced,
Aebi Schmidt UK Ltd, 686.53 ,Vehicle-Other Maintenance     ,Area Response Team            ,Environment & Climate Change,General Fund,7 Sep 23,Invoiced,
AECOM LTD," 3,024.00 ",Consultants - Fees            ,GreenSCIES                    ,Environment & Climate Change,General Fund,30 Aug 23,Invoiced,
AEROTYNE IND LTD," 6,448.00 ",General Fees & Services       ,Equalities Team               ,Community Engagement & Wellbeing,General Fund,11 Jul 23,Invoiced,
AEROTYNE IND LTD," 1,966.00 ",Activities                    ,Parks Management              ,Environment & Climate Change,General Fund,31 Jul 23,Invoiced,
