Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
Panks Auto Electrical Limited,02/12/2024,"£1,491.44",Vehicle Repairs
Paypoint Network Limited,02/12/2024,£595.00,Telecom Forensics
"Penningtons Manches Llp Client
Account",18/12/2024,"£3,000.00",Employers Liability
Phoenix Software Limited,21/08/2024,"£7,000.00",Consultants Fees
Phoenix Software Limited,18/11/2024,"£53,199.67",National Management Centre
Phoenix Software Limited,27/11/2024,"£5,709.32",Software - Maintenance
"Pitney Bowes Software Europe
Limited",25/11/2024,"£35,348.54",Postage Costs
Pmd Data Solutions Limited,26/11/2024,£788.00,"Video / Audio Tapes, CDs and DVDs"
"Police Crime Prevention Initiatives
Limited (Formerly Acpo Crime
Prevention Initiatives Limited)",24/11/2024,"£3,437.94",External Training Course
Ppl Prs Limited,25/11/2024,"£14,949.01",Music PPL PRS Licences
Probrand Limited,14/11/2024,"£1,027.50",Hardware - purchase
Pro-Tect Safety Signs,05/11/2024,"£1,095.50",Police Vehicle Sundry Equipment
Pro-Tect Safety Signs,04/12/2024,"£1,930.00",Police Vehicle Sundry Equipment
Qa Limited,15/11/2024,"£2,656.00",External Training Course
Qa Limited,19/11/2024,"£6,928.00",External Training Course
Qa Limited,28/11/2024,"£2,086.00",External Training Course
R G Carter Cambridge Limited,20/09/2024,"£6,204.86",Building Minor Works
R G Carter Cambridge Limited,17/10/2024,"£3,491.59",Maintenance
R G Carter Cambridge Limited,18/11/2024,"£13,249.84",Building Works
R G Carter Cambridge Limited,03/12/2024,"£28,002.81",Maintenance
Randstad Solutions Limited,06/11/2024,"£14,149.89",Agency / Temp Staff
Randstad Solutions Limited,13/11/2024,"£16,633.27",Agency / Temp Staff
Randstad Solutions Limited,20/11/2024,"£14,038.70",Agency / Temp Staff
Randstad Solutions Limited,27/11/2024,"£14,999.67",Agency / Temp Staff
"Risc (Research And Intelligence
Support Centre)",26/11/2024,"£5,600.00",External Training Course
"Rix Petroleum (East Anglia)
Limited",05/11/2024,£669.50,Vehicle Fuel
Royal Mail,08/11/2024,"£1,621.96",Postage Costs
Royal Mail,15/11/2024,£685.68,Postage Costs
Royal Mail,22/11/2024,£770.30,Postage Costs
Royal Mail,29/11/2024,£746.47,Postage Costs
Rs Van Interiors,28/11/2024,"£3,995.00",Vehicle Repairs
Rs Van Interiors,04/12/2024,"£3,995.00",Vehicle Repairs
Rsg Engineering Limited,14/11/2024,"£1,436.34",Vehicles - Spares
Saadian Technologies (Uk) Limited,13/11/2024,"£32,446.00",Software - Maintenance
Safelives,25/11/2024,"£40,780.00",Professional Fees
Satchell Moran Solicitors,12/12/2024,"£3,600.00",Public Liability
Sbfm Limited,01/10/2024,"£64,784.51",Cleaning Contract
Sbfm Limited,14/10/2024,"£2,092.96",Cleaning Contract
Sbfm Limited,25/10/2024,"£3,954.70",Cleaning Contract
Sbfm Limited,01/11/2024,"£58,625.42",Cleaning Contract
Sbfm Limited,01/12/2024,"£60,335.42",Cleaning Contract
"Scisco Investigative And Legal
Training Limited",11/11/2024,"£14,500.00",External Training Course
Sepura Limited,29/10/2024,"£1,765.90",Radio / Airwave - Equipment
Sepura Limited,03/12/2024,"£1,211.60",Radio / Airwave - Equipment
Serjeant’s Inn Chambers,30/10/2024,"£1,000.00",Counsel Fees
Serjeant’s Inn Chambers,28/11/2024,"£1,500.00",Counsel Fees
"Sfj Awards Skills For Justice
(Enterprises) Limited",30/11/2024,£945.00,Registration Fees
"Simpson Associates Information
Services Limited",30/11/2024,"£30,062.50",Systems Development
Softcat Limited,20/11/2024,"£5,114.86",Hardware
Softcat Limited,27/11/2024,"£2,144.95",Software - Maintenance
"Software One (Formerly
Comparex Uk Limited)",03/12/2024,"£3,147.62",Software - Maintenance
Solon Security Limited,19/11/2024,£990.00,Clothing and Uniforms
Specialist Computer Centres Plc,19/11/2024,"£17,640.48",Capital Budget Balance
Specsavers,31/10/2024,£966.90,Eye Tests
Specsavers,30/11/2024,"£1,052.35",Eye Tests
St Peter Mancroft Church,11/12/2024,"£1,060.00",Hire of Rooms/Premises
Stannah Lift Services Limited,21/11/2024,£627.00,Maintenance
"Streamlined Forensic Reporting
Limited",03/12/2024,"£4,422.50",SFR Medical Contract
Tailored Image Limited,08/11/2024,"£5,908.50",Clothing and Uniforms
Tailored Image Limited,14/11/2024,"£4,272.30",Clothing and Uniforms
Team Strides Limited,27/11/2024,£938.95,Presentations and Awards
The Automobile Association,21/11/2024,"£13,279.40",Vehicle Recovery Costs
The Flash Centre Limited,14/11/2024,"£10,000.00",Non IT Equipment
The Heightec Group Limited,12/11/2024,"£2,050.00",External Training Course
"The Investigator Conferences And
Publishing Limited",05/12/2024,£995.00,External Training Course
"The Mcl Group (Int) Limited T-A
Mcl Medics",01/11/2024,"£7,472.50",Counselling and Supervision
Thurlow Nunn,30/10/2024,"£3,957.09",Vehicle Repairs
Thurlow Nunn,06/11/2024,£653.06,Vehicle Repairs
Tiaa Limited,01/12/2024,"£8,247.60",Internal Audit Fee
Tlt Llp,30/11/2024,"£6,000.00",Counsel Fees
Total Energies Gp,14/11/2024,"£22,800.22",Utilities
Total Energies Gp,13/12/2024,"£35,034.04",Utilities
Tranam Limited,21/11/2024,"£1,630.40",Clothing and Uniforms
Tranam Limited,26/11/2024,£606.66,Clothing and Uniforms
Tranam Limited,04/12/2024,£985.82,Clothing and Uniforms
Truthlytrue,03/12/2024,£550.00,Counselling and Supervision
Truvelo (Uk) Limited,07/11/2024,"£9,147.00",Partnership Grants
Truvelo (Uk) Limited,18/11/2024,"£1,273.00",Courier Costs
Truvelo (Uk) Limited,04/12/2024,"£6,719.00",Maintenance Specialist Operation Equipment
Try And Lilly Limited,28/11/2024,"£3,782.22",Clothing and Uniforms
Vestigo Consulting Limited,08/11/2024,"£5,000.00",External Training Course
Vohkus Limited,06/11/2024,"£1,735.04",Hardware
Vr Forensics,11/12/2024,£875.00,Forensic Analysis
Vta Customs Limited,07/12/2024,"£1,800.00",Vehicles - Spares
"Wa Products (Uk) Limited T/A
Scenesafe",11/11/2024,"£2,934.20",SOC Consumables
"Wa Products (Uk) Limited T/A
Scenesafe",17/11/2024,£583.50,SOC Consumables
"Wa Products (Uk) Limited T/A
Scenesafe",25/11/2024,"£2,397.90",SOC Consumables
Warehouse Express (Wex),26/11/2024,£752.00,Specialist Operational Equipment
"Weeting Tyres Limited T/A Page
And Bird",08/11/2024,"£1,042.00",Vehicles - Tyres and Tubes
Wernick Hire Limited,30/11/2024,"£25,654.64",Building Works
Wm Sugden And Sons Limited,03/12/2024,"£1,002.24",Clothing and Uniforms
Woodway Engineering Limited,12/11/2024,"£1,103.35",Vehicle Repairs
Woodway Engineering Limited,27/11/2024,£594.50,Vehicles - Spares
Workin Togs Limited,08/11/2024,"£2,915.30",Clothing and Uniforms
Wpc Software Limited,16/10/2024,"£2,905.00",ICT Applications Upgrades
Wpc Software Limited,25/11/2024,"£1,000.00",External Training Course
Wymondham Limited,02/12/2024,"£11,768.73",Service Charge
Wymondham Limited,13/12/2024,"£444,696.65",PFI Schemes - Main Contract
Yaffy Protective Clothing,20/11/2024,"£6,529.76",Clothing and Uniforms
Zest Recycle Limited,25/10/2024,£713.45,Waste Contract
Zest Recycle Limited,20/11/2024,"£11,025.40",Waste Contract
Zest Recycle Limited,27/11/2024,"£11,025.40",Waste Contract
