UID,Council,Contract Status,Classification,Name,STAR Category Manager,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date, Annual Contract Value (average) , Value ,Supplier Name,Company Registration number,Postcode,Supplier Type,Customer Name
10695,Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Online Parenting Courses,Tim Kulewa,RBS - Low - Quick Quote,Contract,44652,45747,,," �30,000.00 ",Solihull Approach,,B37 7TR,,"STAR, TRAFF - Children, Families and Wellbeing"
5080, Trafford Borough Council,Live (On-going),"361600 - Public Transport - Taxi Services - Home to School, 401504 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services - Transport Services",Dynamic Purchasing System for Home to School Transport including Special Educational Needs and Disabilities and Vulnerable Adults Transport - Trafford Council,Sarah Keating,Modification, Dynamic Purchasing System,44075,45535," �46,265.00 "," �3,000,000.00 "," �10,000,000.00 ",Various Suppliers,,Various,,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services"
10708, Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,"Voluntary, Community and Social Enterprise (VCSE) Infrastructure Support Service1",Tim Kulewa,RBS - Med/High - Advanced (Open), Contract,44835,46021,,," �500,000.00 ",Pulse Regeneration,,x,,"STAR, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
7910,Trafford Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Alternative Provision Flexible Procurement System,Tim Kulewa,-,Flexible Purchasing System,44166,45627,,," �1,936,129.00 ",Various Suppliers,,Various,,"STAR, TRAFF - Children, Families and Wellbeing"
4760, Trafford Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Provision of Short Breaks for Children and Young People with Disabilities  FPS-Trafford,Tim Kulewa,OJEU Tender, Flexible Purchasing System,43709,46265,,," �11,600,000.00 ",Various Suppliers,,Various,,"STAR, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
4671,Trafford Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Provision of a Supported Internships Partner to provide Senior Employment Officer,Tim Kulewa,Call Off (Internal),Contract,43709,45169,,," �208,000.00 ",Pure Innovations Ltd,,SK7 5ER,,"STAR, TRAFF - Children, Families and Wellbeing"
10560, Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Trafford Council Provision of E-Cigarettes & Associated Services, Peter Walpole,RBS - Low/Med - Simple (RFQ), Contract,44409,45504," �46,234.00 ",," �90,900.00 ",Pillbox38 (UK) Ltd T/A Totally Wicked,,x,,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
10732,Trafford Borough Council,Live (On-going),310000 - Healthcare,PaSH GM (PARTNERSHIP) Contract - Trafford,Peter Walpole,Procured by Other,Contract,44743,45473," �45,473.00 "," �82,814.00 "," �165,628.00 ",BHA for Equality,,M15 4AE,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10569, Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Provision of Community Weight Management Groups (Lot 1) (Tier 2),Peter Walpole,Modification, Contract,44378,45466," �46,203.00 "," �40,893.00 "," �204,465.00 ",Miles Bramwell Executive Services Ltd t/a Slimming World,,DE55 4RF,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10569, Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,"Provision of a Weight Management Service that is specifically targeted at Men, or is Male Only (Lot 2) (Tier 2)",Peter Walpole,Modification, Contract,44378,45466," �46,203.00 "," �11,706.00 "," �58,530.00 ",Foundation 92,1180246,M28 3NJ,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10939, Trafford Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Provision of Attachment and Trauma Responsive Services.,Tim Kulewa,Exemption, Contract,44896,46388,," �24,999.00 "," �173,149.00 ",Changing Minds UK,,WA1 1PG,,"STAR, TRAFF - Children's Services"
11979,Trafford Borough Council,Live (On-going),271501 - Information Communication Technology - Services,"Data Warehouse Professional Services, Managed Services and Centre of Excellence support",Andrew Bottomley,Call Off (External),Call-off Contract,44880,45610,,," �169,762.00 ",ANS Group Ltd,,x,,"STAR, TRAFF - Finance and Systems"
10762, Trafford Borough Council,Live (On-going),151515 - Healthcare - Public Health - Not Elsewhere Classified,Trafford Safe Accommodation - Refuge and Floating Support, Peter Walpole,Procured by Other, Contract,44652,46477," �46,477.00 "," �342,990  "," �1,714,950.00 ",Trafford Domestic Abuse Services,,M32 0PS,,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children, Families and Wellbeing"
10944,Trafford Borough Council,Live (On-going),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Provision of 5 Self Contained Flats in a Supported Accommodations  Service in  Flixton,Tim Kulewa,Call Off (External),Contract,43815,44910,,," �965,912.00 ",Mosscare St Vincent�s Housing Group (MSV),,M32 0RS,,"STAR, TRAFF - Children, Families and Wellbeing"
10934,Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,6 Tenants in Supported Accommodation (Church Road),Shirella Simms,Exemption,Contract,44936,45666,," �305,199.24 "," �305,199.20 ",Autism Initiatives,, L30 4XR,,"Trafford Borough Council, TRAFF - Adults' Services"
10936, Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,North West Regional Supported and Independent Living Service (SaILS)-Trafford,Tim Kulewa,Procured by Other, Flexible Purchasing System,43831,47483," �45,016.00 ",, �-   ,Various Suppliers,,Various,,STAR
11939, Trafford Borough Council,Live (On-going),200000 - Financial Services,Trafford Prepaid Cards,Gary Lee,Call Off (External), Call-off Contract,44866,46691,," �150,000.00 "," �150,000.00 ",EML PAYMENTS EUROPE LIMITED,,B1 2LP,,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
11841,Trafford Borough Council,Live (On-going),182100 - Environmental Services - Weather Forecasts,AGMA Winter Service Weather Forecasting  - Trafford,Andrew Bottomley,RBS - Low/Med - Simple (RFQ),Call-off Contract,44849,45761," �46,126.00 "," �6,560.86 "," �19,682.58 ",MetDesk Ltd,,HP22 6BN,,"STAR, TRAFF - Place"
10977, Trafford Borough Council,Live (One Off),151510 - Healthcare - Public Health,PHE Scientific Call Off under HIV Self Sampling Service Framework ESPO 3173_19A,Peter Walpole,-,Please Select,44927,45747,,," �8,145.53 ",SH:24,,SE1 7JB,,"STAR, Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
14016, Trafford Borough Council,Live (One Off),151900 - Consultancy - Management,Children's Services Consultant,Gary Lee,Exemption, Contract,44889,45619,," �24,300.00 "," �48,600.00 ",Grant Public Consultancy Ltd,,FY5 1AP,,TRAFF - Children's Services
8976,Trafford Borough Council,Live (On-going),200000 - Financial Services,Money Management for Vulnerable Adults,Gary Lee,RBS - Low/Med - Simple (RFQ),Contract,44378,45839,," �10,000.00 "," �40,000.00 ",the Money Carer Foundation,,M33 7JQ,,"TAME - Exchequer, TRAFF - Finance and Systems"
8714,Trafford Borough Council,Live (On-going),261413 - Human Resources - Temporary & Agency Staff - Professional,Trafford Social Care Framework,Gary Lee,OJEU Tender,Framework Agreement,44368,45463,," �5,100,000.00 "," �15,300,000.00 ",(multiple),#N/A,#N/A,#N/A,"Trafford Borough Council, TRAFF - Children's Services"
10850,Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Supported Living Services at Lorraine Road,Shirella Simms,Call Off (External),Contract,45017,45747,," �329,852.00 "," �329,852.00 ",ICRIT Healthcare Ltd,,BL6 5PP,,"Trafford Borough Council, TRAFF - Adults' Services"
14040,Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Legal Case Management System (Trafford),Andrew Bottomley,-,Contract,43435,45642,,," �123,615.00 ",Iken Business Limited,,x,,"STAR, TRAFF - Governance and Community Strategy"
9806, Trafford Borough Council,Live (On-going),"370000 - Utilities, 371100 - Utilities - Gas",Supply of Gas 2023 (Trafford),Paul Atherton,Mini Competition (External), Dynamic Purchasing System,45017,46112,,," �11,737,850.00 ",Corona Energy Retail 4 Limited,2798334,WD18 8YA,,"STAR, TRAFF - Place"
9804, Trafford Borough Council,Live (On-going),"370000 - Utilities, 371010 - Utilities - Electricity - Street Lighting",Supply of Half-Hourly (HH) & Street Lighting Electricity 2023 (Trafford),Paul Atherton,Mini Competition (External), Dynamic Purchasing System,45017,46112,,," �20,935,730.00 ",Drax Power Limited,,YO8 8PH,,"STAR, TRAFF - Place"
9803, Trafford Borough Council,Live (On-going),"370000 - Utilities, 371000 - Utilities - Electricity",Supply of Non Half-Hourly (NHH) Electricity 2023 (Trafford),Paul Atherton,Mini Competition (External), Dynamic Purchasing System,45017,46112,," �1,426,678.00 "," �6,902,864.00 ",Drax Power Limited,,YO8 8PH,,"STAR, TRAFF - Place"
14065, Trafford Borough Council,Live (One Off),171111 - Education - Audio Visual,5 x AV1 Robots and support ,Gary Lee,Exemption, Contract,44985,46081,," �9,045.00 "," �27,135.00 ",No Isolation Limited ,,EC1V 9EY,,"Trafford Borough Council, TRAFF - Children's Services"
10427, Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Flexible Purchasing System for  Adoption Support Services  (Trafford),Tim Kulewa,OJEU Tender, Flexible Purchasing System,44958,46418," �46,418.00 ",," �2,500,000.00 ",Various - see STAR for details,,Various,,"STAR, TRAFF - Children, Families and Wellbeing"
10918, Trafford Borough Council,Live (On-going),170000 - Education,Consultant-Pilot Programme,Tim Kulewa,RBS - Low/Med - Simple (RFQ), Contract,44835,45200," �45,200.00 ",," �8,400.00 ",Anewarc Limited,,CH2 3JG,,"STAR, TRAFF - Children, Families and Wellbeing"
10304, Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Domestic Abuse Support for Children and Young People,Tim Kulewa,RBS - Low/Med - Simple (RFQ), Contract,44197,45199,,," �83,199.85 ",Trafford Domestic Abuse Services,,M32 0PS,,"STAR, TRAFF - Children, Families and Wellbeing"
14093, Trafford Borough Council,Live (One Off),201400 - Financial Services - Council Tax & Business Rates,Parking Enforcement Services,Gary Lee,Modification, Call-off Contract,45017,45383,," �848,614.00 "," �848,614.00 ",Marston Holdings Ltd,,CM16 9EB,,"Trafford Borough Council, TRAFF - Finance and Systems"
14023,Trafford Borough Council,Live (On-going),191700 - Facilities & Management Services - Property Management,"Property Management for the Grafton Centre, Altrincham",Gary Lee,Call Off (External),Call-off Contract,44907,46003,," �30,000.00 "," �90,000.00 ",Legat Owen,,CH1 1RQ,,"Trafford Borough Council, TRAFF - Place"
14114,Trafford Borough Council,Live (On-going),200000 - Financial Services,Treasury Management Services - Trafford,Gary Lee,OJEU Tender,Call-off Contract,45017,46112," �46,477.00 "," �15,000.00 "," �60,000.00 ",Arlingclose Limited ,,CV37 6AH,,TRAFF - Finance and Systems
6421,Trafford Borough Council,Live (On-going),201400 - Financial Services - Council Tax & Business Rates,Trafford Enforcement Agency and Debt Recovery Services,Gary Lee,Modification,Call-off Contract,43770,45230," �45,412.00 "," �507,555.00 "," �2,284,000.00 ",Jacobs Enforcement,,CH41 4PE,,"Trafford Borough Council, TRAFF - Finance and Systems"
13018, Trafford Borough Council,Live (One Off),321100 - Social Community Care Supplies & Services - Children,Essential Parent,Tim Kulewa,Exemption, Contract,44995,46112,,," �81,000.00 ",The Essential Parent Company Limited,,CB4 0WS,,"STAR, TRAFF - Children, Families and Wellbeing"
14126, Trafford Borough Council,Live (One Off),261300 - Human Resources - Recruitment & Assessment,Food Hygiene Inspections,Gary Lee,RBS - Low - Quick Quote, Contract,45017,45382,," �45,989.00 "," �45,989.00 ",(multiple),#N/A,#N/A,#N/A,"Trafford Borough Council, TRAFF - Adults' Services"
9897, Trafford Borough Council,Live (On-going),"390000 - Works - Construction, Repair & Maintenance",Minor Adaptations,Paul Atherton,RBS - Med/High - Advanced (Open), Contract,45065,46801,,," �715,935.00 ",Swinton Community Business T/A Helping Hands Minor Repairs Service,,M44 6BR,,TRAFF - Place
11744,Trafford Borough Council,Live (On-going),271516 - Information Communication Technology - Services - Cloud Services,Homelessness Case Management System,Andrew Bottomley,Call Off (External),Call-off Contract,44654,45749," �46,114.00 "," �9,700.00 "," �19,400.00 ",Locata (Housing Services) Limited,4419315,EC1Y 8YZ,,TRAFF - Strategy and Resources
14149, Trafford Borough Council,Live (One Off),150000 - Consultancy,TfGM and Trafford Estates Projects,Gary Lee,Call Off (External), Call-off Contract,45082,45448,," �70,000.00 "," �70,000.00 ",Morland Consultancy LLP,,LL13 7YT,,"Trafford Borough Council, TRAFF - Place"
15000, Trafford Borough Council,Live (One Off),261300 - Human Resources - Recruitment & Assessment,Interim Recruitment,Gary Lee,RBS - Low - Quick Quote, Contract,45040,45406,," �25,000.00 "," �25,000.00 ",Park Avenue Recruitment Limited,,EC1V 9EE,,"STAR, TRAFF - Place"
15004, Trafford Borough Council,Live (One Off),191510 - Facilities & Management Services - Portable Building Hire,Temporary Storage Solution at Chapel Road, Paul Atherton,RBS - Low - Quick Quote, Contract,45047,45778,," �23,725.00 "," �23,725.00 ",Wernick Refurbished Buildings,,SS11 8QG,,TRAFF - Place
13002,Trafford Borough Council,Live (On-going),321100 - Social Community Care Supplies & Services - Children,Short Break Additional Capacity (5 - 11y),Tim Kulewa,RBS - Low/Med - Simple (RFQ),Contract,45170,45535,,," �9,662.00 ",Hidden Treasure Discovery Centre CIC,,M31 4EL,,"STAR, TRAFF - Children, Families and Wellbeing"
13002,Trafford Borough Council,Live (On-going),141000 - Clothing - Childrens & Adults,Short Break Additional Capacity  (5 - 11y),Tim Kulewa,RBS - Low/Med - Simple (RFQ),Contract,45078,45535,,," �9,285.00 ",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,,"STAR, TRAFF - Children, Families and Wellbeing"
13005, Trafford Borough Council,Live (One Off),401001 - Social Community Care Supplies & Services - Children - Community Based Services,Short Break Additional Capacity (Weekend Provision 5 - 18y) Challenge Short Breaks,Tim Kulewa,RBS - Low/Med - Simple (RFQ), Contract,45170,45505,,," �8,160.00 ",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,,"STAR, TRAFF - Children, Families and Wellbeing"
14145, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Provision of a Vulnerability Management Tool � Tenable.io,Andrew Bottomley,Call Off (External), Call-off Contract,45108,46203," �46,934.00 "," �19,368.87 "," �58,106.62 ",Softcat plc,,SL7 1LW,,"Trafford Borough Council, TRAFF - Finance and Systems"
9879, Trafford Borough Council,Live (One Off),150000 - Consultancy,Design of Additional Teaching Accommodation to support 8FE requirements ,Paul Atherton,Call Off (External), Framework Agreement,45019,45566,," �669,992.55 "," �669,992.60 ",Lancaster Maloney Martin,,SK7 5ER,,TRAFF - Children's Services
9706, Trafford Borough Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance","Contract Title	MCF � Tranche 1 & 2 A56, White City Way and Great Stone Road Junctions with Talbot Road",Sarah Keating,Mini Competition (External), Call-off Contract,45124,45459,,," �2,819,414.00 ",George Cox and Sons Ltd,2775128,BL4 7QF,,"STAR, TRAFF - Place"
9981,Trafford Borough Council,Live (On-going),181500 - Environmental Services - Animal Services - Pest & Animal Control,SERVICE LEVEL AGREEMENT RELATING TO THE PROVISION OF STRAY DOG SERVICES,Sarah Keating,Procured by Other,Contract,45017,45747,," �3,600.00 "," �7,200.00 ",Salford City Council,,M27 5FJ,,"Trafford Borough Council, TRAFF - Place"
11994, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,The Chest eTendering Portal - Trafford,Andrew Bottomley,Call Off (External), Call-off Contract,45138,46599," �47,695.00 "," �2,580.82 "," �10,323.28 ",TET Limited t/a Trans European Technology ,,NW10 7SE,,"STAR, Trafford Borough Council"
14160, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Sophos Central Intercept X Advanced Licences,Andrew Bottomley,Exemption, Contract,45124,46950," �46,950.00 "," �15,480.00 "," �77,400.00 ",Integrity360 Ltd,,N11 2NW,,TRAFF - Finance and Systems
11752, Trafford Borough Council,Live (On-going),271516 - Information Communication Technology - Services - Cloud Services,SEND Transport System,Andrew Bottomley,Call Off (External), Framework Agreement,45078,46172," �46,537.00 ",," �100,800.00 ",Pax Systems Ltd,,LU6 3SF,,"STAR, TRAFF - Children, Families and Wellbeing"
8451, Trafford Borough Council,Live (On-going),"200000 - Financial Services, 201000 - Financial Services - Accountancy, 201100 - Financial Services - Audit","Flexible Purchasing System - FPS - Payroll, Accountancy, Brokerage and Fully Managed Accounts",,OJEU Tender, Dynamic Purchasing System,44197,47573,,," �1,314,000.00 ",Pay Partners,,x,,STAR
13099, Trafford Borough Council,Live (One Off),321100 - Social Community Care Supplies & Services - Children,Off-Framework Residential Placement,Tim Kulewa,Exemption, Contract,45092,45306,,," �286,000.00 ",Phoenix Adolescent Care,, SK5 6AX,,"STAR, TRAFF - Children, Families and Wellbeing"
10943,Trafford Borough Council,Live (On-going),171060 - Education - Library Services,Home Library Service,Shirella Simms,RBS - Low/Med - Simple (RFQ),Contract,45017,46112,," �33,000.00 "," �99,000.00 ",Age UK Trafford,,x,,"STAR, TRAFF - Adults' Services"
13111,Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Genie Connect,Shirella Simms,Exemption,Contract,45141,45506,," �82,093.00 "," �82,093.00 ",Service Robotics Ltd,,BS34 8RB.,,TRAFF - Adults' Services
14211, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Housing Options Allocations & Lettings Service - Choice Based Letting, Claire Chitty,Call Off (External), Call-off Contract,45170,46265," �46,630.00 "," �19,000.00 "," �57,000.00 ",Locata (Housing Services) Limited,4419315,EC1Y 8YZ,,Trafford Borough Council
14209, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Civica Pay - Civica Payments System,Andrew Bottomley,Call Off (External), Call-off Contract,45168,47026," �47,026.00 "," �107,792.00 "," �538,962.00 ",Civica UK Ltd,,SW15 6AR,,TRAFF - Finance and Systems
14212, Trafford Borough Council,Live (On-going),271300 - Information Communication Technology - Services - Maintenance & Support,Support and maintenance of the Council�s Voice and Core Data Switch Infrastructure,Andrew Bottomley,Exemption, Contract,45139,45535," �45,535.00 ", �-   ," �119,556.20 ",Freedom Communications UK Limited,,WF2 0UG,,TRAFF - Finance and Systems
4558, Trafford Borough Council,Live (On-going),111200 - Catering - Food & Beverages,Supply & Delivery of Groceries/Chilled Foods and Frozen Foods to AGMA, Peter Walpole,OJEU Tender, Contract,45170,47361," �47,361.00 "," �2,000,000.00 "," �12,000,000.00 ",Dunsters Farm Limited,,BL97BR,,"Trafford Borough Council, TRAFF - Governance and Community Strategy, TRAFF - Strategy and Resources"
10916, Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Domestic Abuse Victim Voice Project, Peter Walpole,RBS - Low/Med - Simple (RFQ), Contract,44930,45747," �46,234.00 ",," �149,291.00 ",Trafford Domestic Abuse Services,,M32 0PS,,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
13020,Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Domestic Abuse Male Refuge Accommodation,Peter Walpole,Exemption,Contract,45017,45747," �46,112.00 ",," �170,382.00 ",Trafford Domestic Abuse Services,,M32 0PS,,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
10986,Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Safer Ageing Support Worker Post and IDVA Post,Peter Walpole,RBS - Low/Med - Simple (RFQ),Contract,45108,45838," �45,838.00 ",," �73,500.00 ",Trafford Domestic Abuse Services,,M32 0PS,,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
10938,Trafford Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Supporting Young People to have Healthy Relationships: Drama Workshops with Teacher Training,Peter Walpole,RBS - Low/Med - Simple (RFQ),Contract,44929,45659," �46,024.00 ",," �59,996.00 ",Trafford Domestic Abuse Services,,M32 0PS,,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
14237, Trafford Borough Council,Live (One Off),150000 - Consultancy,Altrincham LC - Technical Advisor,Gary Lee,Call Off (External), Call-off Contract,45199,45565,," �21,670.00 "," �21,670.00 ",Adept Solutions Ltd,,WF2 8BQ,,TRAFF - Place
14238, Trafford Borough Council,Live (One Off),150000 - Consultancy,Friar's Court,Gary Lee,Call Off (External), Call-off Contract,45214,45397,," �26,770.00 "," �27,660.00 ",Savills (UK) Ltd,,W1G 0JD,,TRAFF - Place
10863, Trafford Borough Council,Live (One Off),151514 - Healthcare - Public Health - Specialist Services,Family Wellbeing Programme,Peter Walpole,Modification, Contract,44757,45852," �45,838.00 ",," �60,000.00 ",Foundation 92,1180246,M28 3NJ,,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
14128, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Civica CX, Andrew Bottomley,Call Off (External), Call-off Contract,45199,47025," �48,851.00 ",," �1,261,088.00 ",Civica UK Ltd,,SW15 6AR,,TRAFF - Finance and Systems
14155, Trafford Borough Council,Live (On-going),300000 - Mail Services,Bulk Printing & Mail Services, Andrew Bottomley,OJEU Tender, Contract,45200,47756," �47,756.00 "," �41,744.40 "," �292,210.80 ",Washington Direct Mail Limited,,NE11 0SH,,TRAFF - Finance and Systems
14216, Trafford Borough Council,Live (On-going),271200 - Information Communication Technology - Hardware,Trafford - Crown Commercial Framework for the supply of Laptops - EA21 Hardware Aggregation- Lot 2,Andrew Bottomley,Modification, Call-off Contract,44474,45934," �45,934.00 ",," �231,540.00 ",XMA Ltd,,HX3 6AQ,,TRAFF - Finance and Systems
4584,Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Residential and Nursing Care Homes,Shirella Simms,-,Please Select,43291,45116,,, �-   ,Various Suppliers,,Various,,TRAFF - Adults' Services
14273,Trafford Borough Council,Live (On-going),271430 - Information Communication Technology - Software - Commercial Off-The-Shelf,Cognisoft YETI System,Andrew Bottomley,Exemption,Contract,45180,45910," �45,910.00 ",," �14,400.00 ",CogniSoft Ltd,,M33 7PE,,TRAFF - Children's Services
14254,Trafford Borough Council,Live (On-going),271300 - Information Communication Technology - Services - Maintenance & Support,Support of SIP Trunking Infrastructure,Andrew Bottomley,Call Off (External),Call-off Contract,45170,45535," �46,265.00 "," �25,050.13 "," �25,050.13 ",Gamma Network Solutions,,EC4M 7RD,,TRAFF - Finance and Systems
13145, Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Supported Accommodation 18+,Shirella Simms,Exemption, Contract,45383,46477,," �340,000.00 "," �1,020,000.00 ",Great Places Housing Association,IP19564R,M21 7QP,,TRAFF - Adults' Services
13146, Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Supported Accommodation 16-25,Shirella Simms,Exemption, Contract,45383,46477,," �195,000.00 "," �585,000.00 ",Irwell Valley Housing Association Ltd,IP20684R,M16 0LN,,TRAFF - Adults' Services
13147,Trafford Borough Council,Live (On-going),270000 - Information Communication Technology,Tech Care Products,Andrew Bottomley,Exemption,Contract,45222,45618,," �50,000.00 "," �50,000.00 ",Just Checking Ltd,,B94 5RB.,,"TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Strategy and Resources"
13025,Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,EOL- Syringe Driver Lead Nursing Home Provision,Shirella Simms,Exemption,Contract,45261,45626,," �60,000.00 "," �60,000.00 ",WYNCOURT NURSING HOME,,WA15 6QH  ,,TRAFF - Adults' Services
14259, Trafford Borough Council,Live (One Off),171111 - Education - Audio Visual,Audio Visual (AV) and Lighting for Altrincham Leisure Centre redevelopment,Andrew Bottomley,Call Off (External), Contract,45217,45583," �45,583.00 "," �210,000.00 "," �210,000.00 ",Constellia Public Limited,,W1J 5FJ,,TRAFF - Finance and Systems
14012,Trafford Borough Council,Live (On-going),201200 - Financial Services - Banking,Purchase Cards (Trafford) ,Gary Lee,Mini Competition (External),Call-off Contract,45017,45747,,," �3,500,000.00 ",Lloyds Bank Cardnet,,x,,TRAFF - Finance and Systems
14250, Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Parking Enforcement and Permit software system,Andrew Bottomley,Call Off (External), Contract,45264,46359," �46,724.00 "," �32,706.00 "," �98,119.00 ",Trapeze Group UK Ltd T/A Imperial Civil Enforcement Solutions  Limited,,NN4 7HD,,"STAR, TRAFF - Place"
14143,Trafford Borough Council,Live (On-going),271430 - Information Communication Technology - Software - Commercial Off-The-Shelf,IT Service Management - Freshservice (Trafford),Andrew Bottomley,Call Off (External),Call-off Contract,45270,46001," �46,366.00 "," �57,600.00 "," �172,800.00 ",Freshworks Inc,,CA 94403,,TRAFF - Finance and Systems
14205, Trafford Borough Council,Live (One Off),179999 - Education - Not Elsewhere Classified,Primary School Improvement Advisor ,Gary Lee,Exemption, Contract,45170,45504,," �38,000.00 "," �38,000.00 ",The Book Wormery,,M33 5BY,,TRAFF - Children's Services
12101,Trafford Borough Council,Live (One Off),"390000 - Works - Construction, Repair & Maintenance",Refurbishment Sibson House Works,Paul Atherton,Exemption, Contract,45272,45383,,," �396,000.00 ",Armstrong Projects Ltd,, WA14 4DW,,TRAFF - Place
14338, Trafford Borough Council,Live (One Off),261300 - Human Resources - Recruitment & Assessment,Business Intelligence Analysts,Gary Lee,RBS - Low - Quick Quote, Contract,45277,45389,," �30,000.00 "," �50,000.00 ",Permanent Futures Ltd,, LS18 4BH,,TRAFF - Adults' Services
14183,Trafford Borough Council,Live (On-going),271440 - Information Communication Technology - Software,"Trafford - Registrars Dairy Management System, Cashbook and option for Ceremony Planner",Andrew Bottomley,Call Off (External),Contract,45292,46022," �46,387.00 "," �19,125.00 "," �45,175.00 ",Stopford ,,CH3 5AN,,"STAR, TRAFF - Children, Families and Wellbeing, TRAFF - Place"
10864, Trafford Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,"Generalist Social Welfare Advice, Debt, Welfare Benefit and Housing Advice (Trafford)",Shirella Simms,Procured by Other, Contract,45200,46112,," �657,000.00 "," �657,000.00 ",Citizens Advice SORT Group,,M4 5AD,,TRAFF - Adults' Services
14344, Trafford Borough Council,Live (One Off),271440 - Information Communication Technology - Software,UKSPF Town Centres Footfall,Andrew Bottomley,RBS - Low - Quick Quote, Contract,45292,45747," �45,382.00 ",," �15,000.00 ",Huq Industries Limited,,EC4A 2DQ,,TRAFF - Place
14210,Trafford Borough Council,Live (On-going),271501 - Information Communication Technology - Services,Hometech Scheme - Employee Benefits � Affordable technology,Andrew Bottomley,Call Off (External),Call-off Contract,45231,45961," �46,691.00 ", �-   , �-   ,Lets Connect It Solutions Limited,6872301,MK9 3XL,,"Trafford Borough Council, TRAFF - Strategy and Resources"
14263, Trafford Borough Council,Live (On-going),271430 - Information Communication Technology - Software - Commercial Off-The-Shelf,Robotic Automation of HBCTS,Andrew Bottomley,Call Off (External), Call-off Contract,45383,46112," �46,477.00 "," �9,500.00 "," �19,000.00 ",Delta 4 Services Ltd (trading as �Digistaff�),,WC2H 9JQ,,TRAFF - Finance and Systems
9937, Trafford Borough Council,Live (One Off),"391100 - Works - Construction, Repair & Maintenance - Buildings",Grafton Centre Works (Exemption),Farooq Rashid,Exemption, Contract,45047,,,," �24,000.00 ",Armstrong Projects Ltd,, WA14 4DW,,TRAFF - Place
