Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name ,Pro Class ID,Pro Class Description,Description of Goods or Service,Directorate / Service / Department,Expense Type,Expense Area,Net Order Value
02.10.2014,7500162947,5,138372,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,050.00"
02.10.2014,7500162951,1,151232,Redacted Personal Data,261500,HR : Training & Conferences,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�966.00
02.10.2014,7500162951,2,151232,Redacted Personal Data,261500,HR : Training & Conferences,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,104.00"
02.10.2014,7500162951,3,151232,Redacted Personal Data,261500,HR : Training & Conferences,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,380.00"
02.10.2014,7500162951,4,151232,Redacted Personal Data,261500,HR : Training & Conferences,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�552.00
02.10.2014,7500162951,5,151232,Redacted Personal Data,261500,HR : Training & Conferences,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,242.00"
02.10.2014,7500162952,1,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�528.00
02.10.2014,7500162952,2,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�468.00
02.10.2014,7500162952,3,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�528.00
02.10.2014,7500162952,4,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�624.00
02.10.2014,7500162952,5,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,"�1,056.00"
02.10.2014,7500162952,6,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�312.00
02.10.2014,7500162952,7,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�264.00
02.10.2014,7500162952,8,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�312.00
02.10.2014,7500162952,9,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�924.00
02.10.2014,7500162952,10,138374,Redacted Personal Data,171000,EDUCATION : Services,Redacted Personal Data,EGEI,AAC AGENCY,Bikeability Scheme,�312.00
02.10.2014,7500162955,1,143564,By the Bridge North West Ltd,321111,SOCIAL CARE SERVICES : Children : Adoption & Fostering,Redacted Personal Data,CFW,CONT VOL BODIES,PLACEMENT FOSTERING,"�28,471.50"
02.10.2014,7500162956,1,143564,By the Bridge North West Ltd,321111,SOCIAL CARE SERVICES : Children : Adoption & Fostering,Redacted Personal Data,CFW,CONT VOL BODIES,PLACEMENT FOSTERING,"�27,432.54"
02.10.2014,7500162962,1,153157,AgilityWorks Ltd UK,151800,CONSULTANCY : IT,LL SAP Consultant Un,CFW,EXT PROJECT MAN,Capital Schemes,"�16,150.00"
02.10.2014,7500162962,2,153157,AgilityWorks Ltd UK,151800,CONSULTANCY : IT,LL SAP Consultant Ad,CFW,EXT PROJECT MAN,Capital Schemes,"�3,800.00"
02.10.2014,7500162962,3,153157,AgilityWorks Ltd UK,151800,CONSULTANCY : IT,LL SAP Consultant Ex,CFW,EXT PROJECT MAN,Capital Schemes,�397.22
02.10.2014,7500162988,1,148333,Community Forest Trust,261500,HR : Training & Conferences,Trafford Countryside,EGEI,OTHER LA -GENERAL,TCMP (MERSEY VALLEY),"�45,000.00"
02.10.2014,7500162998,1,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,�840.00
02.10.2014,7500162998,2,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,"�3,780.00"
02.10.2014,7500162998,3,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,�300.00
02.10.2014,7500162998,4,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,�60.00
02.10.2014,7500162998,5,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,�60.00
02.10.2014,7500162998,6,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,�60.00
02.10.2014,7500162998,7,136851,Trafford College,171010,EDUCATION : Services : Adult & Further Education,World Host Training:,EGEI,COURSES FOR YOUNG PE,Skills development,�60.00
03.10.2014,7500163060,1,151118,IRG Advisors LLP,261500,HR : Training & Conferences,Redacted Personal Data,T & R ,CONSULTANCY FEES,Financial Management,"�13,650.00"
06.10.2014,7500163076,1,136048,F R SHARROCK LTD,241500,HORTICULTURAL : Tools & Equipment,Sharrocks Invoice Oc,EGEI,SERV & REP MOWERS,EN:GM ARBORICULTURE,"�25,318.59"
07.10.2014,7500163092,1,142669,The David Lewis Centre,321214,SOCIAL CARE SERVICES : Disabled Children : Residential Care,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�15,997.11"
07.10.2014,7500163092,2,142669,The David Lewis Centre,321214,SOCIAL CARE SERVICES : Disabled Children : Residential Care,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�13,725.02"
07.10.2014,7500163092,3,142669,The David Lewis Centre,321214,SOCIAL CARE SERVICES : Disabled Children : Residential Care,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�13,789.94"
07.10.2014,7500163092,4,142669,The David Lewis Centre,321214,SOCIAL CARE SERVICES : Disabled Children : Residential Care,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�18,918.36"
07.10.2014,7500163092,5,142669,The David Lewis Centre,321214,SOCIAL CARE SERVICES : Disabled Children : Residential Care,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�17,880.63"
07.10.2014,7500163092,6,142669,The David Lewis Centre,321214,SOCIAL CARE SERVICES : Disabled Children : Residential Care,Redacted Personal Data,CFW,NON MAINT SCH FEES,Post 16 - Element 3,"�17,691.81"
07.10.2014,7500163133,1,153166,MCR Blackcab Ltd,171011,EDUCATION : Services : Children,MCBlackCabs Run 720,CFW,CONT HIRE HOME TO SC,Home to School Tr,"�15,124.00"
07.10.2014,7500163209,1,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�65.00
07.10.2014,7500163209,2,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�113.00
07.10.2014,7500163209,3,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�32.00
07.10.2014,7500163209,4,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�180.50
07.10.2014,7500163209,5,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�367.50
07.10.2014,7500163209,6,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�195.00
07.10.2014,7500163209,7,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�149.00
07.10.2014,7500163209,8,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�52.50
07.10.2014,7500163209,9,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�52.50
07.10.2014,7500163209,10,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�37.00
07.10.2014,7500163209,11,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,HIGH/DRAIN WORKS MGT,�25.25
07.10.2014,7500163209,12,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�248.00
07.10.2014,7500163209,13,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�338.50
07.10.2014,7500163209,14,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�104.00
07.10.2014,7500163209,15,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�223.50
07.10.2014,7500163209,16,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�86.50
07.10.2014,7500163209,17,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�62.00
07.10.2014,7500163209,18,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�59.25
07.10.2014,7500163209,19,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�59.00
07.10.2014,7500163209,20,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�275.00
07.10.2014,7500163209,21,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�274.00
07.10.2014,7500163209,22,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�92.00
07.10.2014,7500163209,23,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�56.00
07.10.2014,7500163209,24,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,HIGH/DRAIN WORKS MGT,�371.00
07.10.2014,7500163209,25,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,HIGH/DRAIN WORKS MGT,�9.00
07.10.2014,7500163209,26,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�201.50
07.10.2014,7500163209,27,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�165.50
07.10.2014,7500163209,28,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�302.75
07.10.2014,7500163209,29,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�59.00
07.10.2014,7500163209,30,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�56.00
07.10.2014,7500163209,31,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�91.00
07.10.2014,7500163209,32,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�178.00
07.10.2014,7500163209,33,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�118.00
07.10.2014,7500163209,34,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�139.50
07.10.2014,7500163209,35,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�81.50
07.10.2014,7500163209,36,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�45.50
07.10.2014,7500163209,37,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�9.00
07.10.2014,7500163209,38,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�32.00
07.10.2014,7500163209,39,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�262.50
07.10.2014,7500163209,40,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�96.00
07.10.2014,7500163209,41,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�59.00
07.10.2014,7500163209,42,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�105.00
07.10.2014,7500163209,43,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�56.00
07.10.2014,7500163209,44,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�71.00
07.10.2014,7500163209,45,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�64.00
07.10.2014,7500163209,46,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�105.00
07.10.2014,7500163209,47,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�201.50
07.10.2014,7500163209,48,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�241.50
07.10.2014,7500163209,49,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�56.00
07.10.2014,7500163209,50,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�751.50
07.10.2014,7500163209,51,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�210.00
07.10.2014,7500163209,52,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�315.00
07.10.2014,7500163209,53,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�45.75
07.10.2014,7500163209,54,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�56.00
07.10.2014,7500163209,55,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�86.50
07.10.2014,7500163209,56,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,HIGH/DRAIN WORKS MGT,�71.00
07.10.2014,7500163209,57,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�86.50
07.10.2014,7500163209,58,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�232.50
07.10.2014,7500163209,59,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�52.50
07.10.2014,7500163209,60,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�201.50
07.10.2014,7500163209,61,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�120.00
07.10.2014,7500163209,62,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�322.00
07.10.2014,7500163209,63,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�192.00
07.10.2014,7500163209,64,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�52.50
07.10.2014,7500163209,65,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�128.00
07.10.2014,7500163209,66,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�114.25
07.10.2014,7500163209,67,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�43.25
07.10.2014,7500163209,68,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�52.50
07.10.2014,7500163209,69,153150,Enterprise (AOL) Ltd,231400,HIGHWAY EQUIPMENT & MATERIALS : Street Lighting,Enterprise August 20,EGEI,ELECT - STREET LIGHT,EN:WORKS MGT- ST LIG,�97.50
