UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
3980, Trafford Borough Council,Live (On-going),Zinio / eMagazines,271440 - Information Communication Technology - Software,Call Off (External), Contract,01/04/2018,31/03/2023,-,"�2,000.00","�10,000.00",W.F.Howe,3662159,LE7 4YH,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
4614, Trafford Borough Council,Live (On-going),"Voluntary, Community and Social Enterprise (VCSE) Infrastructure Support Service",321100 - Social Community Care Supplies & Services - Children,OJEU Tender (Light Touch), Contract,01/04/2019,31/03/2024,-,"�89,980.00","�449,900.00",Pulse Regeneration,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
6454, Trafford Borough Council,Live (On-going),Virtual School Attendance and Attainment Management System,270000 - Information Communication Technology,RBS - Low/Med - Simple (RFQ), Contract,01/08/2019,31/07/2021,-,"�16,731.00","�30,000.00",Contact Group Ltd,13443112,PL3 5AE,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8683, Trafford Borough Council,Live (On-going),User Adoption Partner for Microsoft 365 Programme,270000 - Information Communication Technology,RBS - Low/Med - Simple (RFQ), Contract,12/10/2020,30/06/2023,-,�0.00,"�78,000.00",Changing Social Ltd,10245522,N1 7LQ,-,"Trafford Borough Council, TRAFF - Finance and Systems"
970, Trafford Borough Council,Live (On-going),"Transformation, Operation & Management of Altrincham Market",180000 - Environmental Services,RBS - Low - Quick Quote, Contract,20/08/2013,19/08/2023,-,�0.00,�0.00,Market Operations,-,x,-,"Trafford Borough Council, TRAFF - Place"
10000, Trafford Borough Council,Live (On-going),Trafford Youth Cabinet,321100 - Social Community Care Supplies & Services - Children,RBS - Low/Med - Simple (RFQ), Contract,01/01/2020,31/12/2023,-,"�54,904.00","�62,624.00",Gorse Hill Studios Creative Community,9646545,M32 0PS,-,"Trafford Borough Council, TRAFF - Children's Services"
8760, Trafford Borough Council,Live (On-going),Trafford Gazetteer Data for Adults & Children�s Services,270000 - Information Communication Technology,Call Off (External), Call-off Contract,01/01/2021,31/03/2026,-,"�2,720.00","�27,880.00",Liquidlogic Ltd,-,LS25 1NB,-,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Strategy and Resources"
8562, Trafford Borough Council,Live (On-going),Trafford Collaborative Accreditation Review,150000 - Consultancy,Exemption, Contract,14/05/2020,14/05/2023,-,"�10,000.00","�30,000.00",Milford Research & Consultancy Limited,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
4033, Trafford Borough Council,Live (On-going),Trafford Car Salary Sacrifice Scheme,381600 - Vehicle Management - Leasing,Call Off (External), Call-off Contract,17/05/2019,17/05/2021,-,"�330,500.00","�661,000.00",Northumbria Healthcare NHS Foundation Trust,-,NE27 0QJ,-,"Trafford Borough Council, TRAFF - Finance and Systems"
3237, Trafford Borough Council,Live (On-going),The Chest eProcurement Portal 2,271300 - Information Communication Technology - Services - Maintenance & Support,Call Off (External), Contract,01/09/2015,31/07/2023,-,"�2,250.00","�18,000.00",Proactis,3182974,LS22 6LE,-,"Trafford Borough Council, TRAFF - Finance and Systems"
10024, Trafford Borough Council,Live (On-going),Supported Living Service 4,321000 - Social Community Care Supplies & Services - Adult,Call Off (Internal), Call-off Contract,01/05/2020,30/04/2022,-,"�188,292.00","�376,584.00",Community Integrated Care,-,WA8 7SP,-,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children, Families and Wellbeing"
4532, Trafford Borough Council,Live (On-going),Supported Living Service (17 Properties),321000 - Social Community Care Supplies & Services - Adult,Call Off (Internal), Call-off Contract,01/05/2020,30/04/2022,-,"�3,420,532.17","�6,841,064.00",Future Directions,-,OL9 9XA,-,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children, Families and Wellbeing"
4526, Trafford Borough Council,Live (On-going),Supported Living Service 1,321000 - Social Community Care Supplies & Services - Adult,Call Off (Internal), Call-off Contract,01/05/2020,30/04/2022,-,"�307,818.55","�615,637.10",IAS,6816324,AL9 7NT,-,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children, Families and Wellbeing"
8029, Trafford Borough Council,Live (On-going),"Supply, Maintenance and Repair of Commercial Electrical Cleaning Equipment 2",131000 - Cleaning & Janitorial - Cleaning Materials,OJEU Tender, Framework Agreement,29/01/2020,29/01/2024,-,"�35,000.00","�70,000.00",Shorrock Trichem Ltd,4179799,M46 9SD,-,"Trafford Borough Council, TRAFF - Finance and Systems"
569, Trafford Borough Council,Live (On-going),Supply and Delivery of Groceries/Chilled Foods and Frozen Foods,111200 - Catering - Food & Beverages,OJEU Tender, Framework Agreement,13/07/2015,31/08/2023,-,"�1,511,750.00","�9,070,500.00",BRAKE BROS LTD,-,x,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy, TRAFF - Strategy and Resources"
4074, Trafford Borough Council,Live (On-going),"Substance Misuse - Collaborative tender between Bolton, Salford and Trafford",151514 - Healthcare - Public Health - Specialist Services,OJEU Tender (Light Touch), Contract,15/01/2018,31/03/2025,-,"�2,120,082.00","�10,600,410.00",Greater Manchester Mental Health NHS FT,-,x,-,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Integrated Commissioning"
5002, Trafford Borough Council,Live (On-going),Street Lighting 2,371000 - Utilities - Electricity,Call Off (External), Call-off Contract,01/04/2019,31/03/2023,-,"�347,688.00","�1,043,064.00",Npower,3653277,WF17 9NE,-,"Trafford Borough Council, TRAFF - Place"
4004, Trafford Borough Council,Live (On-going),Statutory Advocacy Hub Services,321000 - Social Community Care Supplies & Services - Adult,OJEU Tender, Contract,01/04/2018,31/03/2023,-,"�183,000.00","�915,000.00",Advocacy Focus,4135225,BB5 6PW,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8708, Trafford Borough Council,Live (On-going),STAR Contract Register Solution,271440 - Information Communication Technology - Software,Call Off (External), Call-off Contract,15/01/2021,14/01/2024,-,"�5,385.00","�44,640.00",In-tend Ltd,5845701,S60 1DX,-,"Trafford Borough Council, TRAFF - Finance and Systems"
8472, Trafford Borough Council,Live (On-going),Software upgrade for CCTV,270000 - Information Communication Technology,RBS - Low - Quick Quote, Contract,05/01/2020,04/01/2025,-,"�6,103.50","�30,517.50",Synectic Systems Group Ltd,5815524, S8 0XN,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
3027, Trafford Borough Council,Live (On-going),"SIP Trunking Solution, via the CCS Framework RM1045 � Lot 3",271501 - Information Communication Technology - Services,Modification, Call-off Contract,01/09/2016,31/08/2023,-,"�53,000.00","�296,300.00",Gamma Telecom Limited,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
5277, Trafford Borough Council,Live (On-going),Taxi and Private Hire Testing Service - LP MCR Ltd,381400 - Vehicle Management - Maintenance,OJEU Tender, Framework Agreement,01/10/2021,30/09/2023,-,"�133,105.00","�266,210.00",LP MCR Ltd,10711161,M16 9HE,-,"Trafford Borough Council, TRAFF - Place"
5277, Trafford Borough Council,Live (On-going),Taxi and Private Hire Testing Service - Prestige Training Ltd,381400 - Vehicle Management - Maintenance,OJEU Tender, Framework Agreement,01/10/2021,30/09/2023,-,"�133,105.00","�266,210.00",Prestige Training LTD,-,M50 2QL,-,"Trafford Borough Council, TRAFF - Place"
5277, Trafford Borough Council,Live (On-going),Taxi and Private Hire Testing Service - Peter Ramsey,381400 - Vehicle Management - Maintenance,OJEU Tender, Framework Agreement,01/10/2021,30/09/2023,30/09/2025,"�133,105.00","�266,210.00",Peter Ramsey Auto Services LTD,4435930,SK14 1AH,-,"Trafford Borough Council, TRAFF - Place"
9238, Trafford Borough Council,Live (On-going),Domestic Furniture & White Goods,211100 - Furniture & Soft Furnishings - Domestic Furniture,Call Off (External), Call-off Contract,01/04/2021,31/03/2023,31/03/2025,"�120,000.00","�240,000.00",FRC,2296329,L3 4BE,-,"Trafford Borough Council, TRAFF - Place, TRAFF - Strategy and Resources"
, Trafford Borough Council,Live (On-going),Supply of gas to Trafford,371100 - Utilities - Gas,Call Off (External), Contract,01/04/2021,31/03/2023,-,"�794,994.17","�1,589,988.00",Corona Energy Retail 4 Limited,2798334,WD18 8YA,-,"SMBC - Estates and Asset Management, TRAFF - Place"
10271, Trafford Borough Council,Live (On-going),"Emergency Accommodation, Assessment Unit and Step Down Provision",321014 - Social Community Care Supplies & Services - Adult - Domiciliary Care,OJEU Tender, Contract,01/04/2021,31/03/2025,-,"�271,553.50","�1,086,214.00",St Anne's Community Services,-,LS2 9BN,-,"Trafford Borough Council, TRAFF - Adults' Services"
4838, Trafford Borough Council,Live (On-going),Short Breaks Services for Children with Additional Needs (5-11 ),"321100 - Social Community Care Supplies & Services - Children, 401720 - Social Community Care Supplies & Services - Children - Respite - Short break",Mini Competition (Internal), Call-off Contract,01/05/2020,31/08/2023,-,"�44,842.50","�239,160.00",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,-,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
4837, Trafford Borough Council,Live (On-going),Short Breaks Services for Children with Additional Needs (11 - 18 ),"321100 - Social Community Care Supplies & Services - Children, 401720 - Social Community Care Supplies & Services - Children - Respite - Short break",Mini Competition (Internal), Call-off Contract,01/05/2020,31/08/2023,-,"�44,960.00","�239,787.00",Sport Works (Manchester & Cheshire) Ltd,9269806,WA4 3DU,-,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
976, Trafford Borough Council,Live (On-going),Scrollers Advertising Units,191000 - Facilities & Management Services - Advertising,OJEU Tender, Contract,14/07/2016,13/07/2031,-,Income,�0.00,JC Deceaux,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
1431, Trafford Borough Council,Live (On-going),"RFID Equipment, Support and Maintenance",271200 - Information Communication Technology - Hardware,Exemption, Call-off Contract,01/04/2016,31/03/2023,-,"�25,000.00","�175,000.00",Bibliotheca,-,SK8 7BS,-,"Trafford Borough Council, TRAFF - Finance and Systems"
6255, Trafford Borough Council,Live (On-going),Revenue and Benefits Enterprise License 2,271501 - Information Communication Technology - Services,Call Off (External), Call-off Contract,01/10/2018,29/09/2023,-,"�292,000.00","�740,000.00",Civica UK Ltd,-,SW15 6AR,-,"Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
6224, Trafford Borough Council,Live (On-going),Resource Management Tool,270000 - Information Communication Technology,RBS - Low - Quick Quote, Contract,01/09/2018,01/09/2023,-,"�15,840.00","�15,840.00",Dovico Software Inc,-,x,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
10086, Trafford Borough Council,Live (On-going),Residential and Nursing Care for Older People,321017 - Social Community Care Supplies & Services - Adult - Nursing & Residential Care Homes,OJEU Tender (Light Touch), Contract,08/02/2021,31/10/2025,-,"�1,691,720.48","�8,458,602.00",Making Space,-,x,-,"Trafford Borough Council, TRAFF - Adults' Services"
6435, Trafford Borough Council,Live (On-going),Purchase of additional storage for existing SAN (Storage Area Network purchased Jan 18).,271200 - Information Communication Technology - Hardware,Call Off (External), Contract,29/03/2019,28/03/2022,-,"�12,883.07","�38,649.20",ANS Group Ltd,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
10282, Trafford Borough Council,Live (On-going),Provision of Supported Living Service 1,321000 - Social Community Care Supplies & Services - Adult,Mini Competition (Internal), Call-off Contract,01/04/2019,31/03/2023,-,"�92,561.54","�185,123.10",Creative Support,-,SK1 3TS,-,"Stockport Metropolitan Borough Council, Trafford Borough Council, TRAFF - Adults' Services"
10029, Trafford Borough Council,Live (On-going),Provision of supported living (mental health),321000 - Social Community Care Supplies & Services - Adult,RBS - Low/Med - Simple (RFQ), Contract,01/11/2020,31/10/2024,-,"�9,362.61","�38,015.96",Making Space,-,x,-,"Trafford Borough Council, TRAFF - Adults' Services"
8672, Trafford Borough Council,Live (On-going),Provision of Employee Assistance Programme,260000 - Human Resources,Call Off (External), Call-off Contract,01/04/2020,31/03/2022,-,"�9,201.00","�27,603.00",People Asset Management Ltd,-,x,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
10121, Trafford Borough Council,Live (On-going),Provision of Autism Short Breaks ,321100 - Social Community Care Supplies & Services - Children,Mini Competition (Internal), Contract,01/09/2020,31/08/2023,31/08/2024,"�117,704.33","�127,704.30",Sense,-,N1 9LG,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
8228, Trafford Borough Council,Live (On-going),Cash Collection - Trafford ,201300 - Financial Services - Cash Collection,Call Off (External), Call-off Contract,01/01/2021,31/12/2023,31/12/2024,"�12,000.00","�12,000.00",Security Plus,-,WN7 3XJ,-,"Stockport Metropolitan Borough Council, Trafford Borough Council, TRAFF - Finance and Systems"
9374, Trafford Borough Council,Live (On-going),Supply of Water and Ancillary Services for Trafford Council,371300 - Utilities - Water,Call Off (External), Call-off Contract,01/08/2021,31/07/2024,-,"�779,686.00","�2,382,000.00",Wave,3017251,EH7 4NS,-,"Trafford Borough Council, TRAFF - Place"
3705, Trafford Borough Council,Live (On-going),Property Investment Portfolio ,152050 - Consultancy - Property,Call Off (External), Contract,03/07/2017,30/01/2024,-,"�430,000.00","�3,000,000.00",CBRE Limited,-,M2 3DE,-,"Trafford Borough Council, TRAFF - Place"
1441, Trafford Borough Council,Live (On-going),Printing Equipment MFD Fleet (and Print Audit Services),"192000 - Facilities & Management Services - Reprographics, 271400 - Information Communication Technology - Office & Reprographics Equipment",Mini Competition (Internal), Call-off Contract,01/10/2015,30/09/2023,-,"�118,377.00","�828,640.00",Canon,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
4789, Trafford Borough Council,Live (On-going),PaSH GM (SHIP) Contract - Rochdale,310000 - Healthcare,Procured by Other, Contract,01/07/2017,30/06/2024,30/06/2024,"�25,000.00","�175,000.00",BHA for Equality,-,M15 4AE,-,"Rochdale Borough Council, RBC - Public Health"
9323, Trafford Borough Council,Live (On-going),Repair and maintenance of adaptation lifts and hoists,191411 - Facilities & Management Services - Lifts - Repair & Maintenance,OJEU Tender, Framework Agreement,01/07/2021,30/06/2023,-,"�124,380.00","�248,760.00",VLC (STAIRLIFTS) LIMITED,4657120,WN4 8DT,-,Trafford Borough Council
1402, Trafford Borough Council,Live (On-going),Partnership Agreement made between Trafford Borough Council and Amey LG Limited dated 7 May 2015 (Partnership Agreement),"391100 - Works - Construction, Repair & Maintenance - Buildings",OJEU Tender, Contract,04/07/2015,03/07/2030,-,"�15,500,000.00","�232,500,000.00",Amey LG,-,x,-,"Trafford Borough Council, TRAFF - Place"
8890, Trafford Borough Council,Live (On-going),Strategic Partner for Wide Area Network Service Delivery and Support,271501 - Information Communication Technology - Services,OJEU Tender, Contract,30/11/2021,29/11/2024,29/11/2026,"�171,565.00","�635,169.90",The Networking People Ltd,7667393,LA1 3PE,-,"Trafford Borough Council, TRAFF - Finance and Systems"
4285, Trafford Borough Council,Live (On-going),Parking Enforcement,351500 - Street & Traffic Management - Parking - Wardens,OJEU Tender, Contract,01/10/2018,09/09/2021,-,"�395,000.00","�1,975,000.00",NSL Ltd,-,OL1 1NZ,-,"Trafford Borough Council, TRAFF - Place"
6475, Trafford Borough Council,Live (On-going),OFSM Module,271440 - Information Communication Technology - Software,RBS - Low - Quick Quote, Contract,01/07/2019,31/03/2023,-,"�33,900.00","�127,125.00",Capita Business Services Ltd,2299747,EC2V 7NQ,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
5180, Trafford Borough Council,Live (On-going),Office Furniture - Trafford,211200 - Furniture & Soft Furnishings - Office Furniture,Call Off (External), Call-off Contract,01/12/2018,01/12/2022,-,"�70,000.00","�280,000.00",H Jenkinson & Co Ltd,169844,L34 9JR,-,"Trafford Borough Council, TRAFF - Finance and Systems, TRAFF - Strategy and Resources"
4844, Trafford Borough Council,Live (On-going),Missing from home return interviews,321100 - Social Community Care Supplies & Services - Children,RBS - Low/Med - Simple (RFQ), Contract,13/01/2020,12/01/2023,-,"�13,824.00","�27,648.00",Catch22 Charity Limited,-,x,-,"Trafford Borough Council, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
8617, Trafford Borough Council,Live (On-going),Microsoft 365 Implementation,270000 - Information Communication Technology,Call Off (External), Call-off Contract,07/09/2020,30/06/2023,-,�0.00,"�298,800.00",Risual limited,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
8336, Trafford Borough Council,Live (On-going),Merchant Acquiring Services,200000 - Financial Services,Call Off (External), Contract,01/07/2020,31/05/2024,-,"�82,000.00","�164,000.00",Lloyds Bank Cardnet,-,x,-,"Trafford Borough Council, TRAFF - Finance and Systems"
1227, Trafford Borough Council,Live (On-going),Management Contract for 6 Sheet Advertising ,191000 - Facilities & Management Services - Advertising,OJEU Tender,Concession,01/09/2016,31/08/2026,-,�0.00,"�370,000.00",Clear Channel UK Limited,-,x,-,Trafford Borough Council
8745, Trafford Borough Council,Live (On-going),Making Tax Digital Software for VAT returns to HMRC,270000 - Information Communication Technology,RBS - Low - Quick Quote, Contract,01/11/2020,30/01/2026,-,"�3,000.00","�35,000.00",PWC,OC303525,WC2N 6RH,-,"Trafford Borough Council, TRAFF - Finance and Systems"
5071, Trafford Borough Council,Live (On-going),Maintenance of Gymnasiums / Sports Hall Equipment in Trafford,331200 - Sports & Playground Equipment & Maintenance - Sports Equipment Maintenance,OJEU Tender, Contract,01/04/2018,31/03/2021,-,"�2,685.00","�10,740.00",Sportsafe UK Ltd,-,CO1 2TJ,-,"Stockport Metropolitan Borough Council, Trafford Borough Council, TRAFF - Finance and Systems"
1300, Trafford Borough Council,Live (On-going),Maintenance of Cremators and Abatement Equipment at Altrincham Crematorium ,121200 - Cemetery & Crematorium - Maintenance,OJEU Tender, Contract,01/06/2015,30/05/2025,-,"�45,378.00","�453,780.00",Facultatieve Technologies Ltd,-,LS10 2DD,-,"Trafford Borough Council, TRAFF - Finance and Systems"
6492, Trafford Borough Council,Live (On-going),Liquid Logic Systems - Children's and Adults,270000 - Information Communication Technology,Call Off (External), Call-off Contract,01/04/2019,31/03/2024,31/03/2026,"�206,591.00","�2,884,076.00",Liquidlogic Ltd,-,LS25 1NB,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing, TRAFF - Strategy and Resources"
11025, Trafford Borough Council,Live (On-going),Professional coaching and mentoring service for STAR Procurement,151911 - Consultancy - Management - Organisation & Planning,RBS - Low - Quick Quote, Contract,01/08/2021,31/07/2023,-,"�12,000.00","�24,000.00",Sagegreen HR Consulting Ltd,-,CW9 7DB,-,"Trafford Borough Council, TRAFF - Finance and Systems"
8080, Trafford Borough Council,Live (On-going),Library Management System via Framework (6305),270000 - Information Communication Technology,Call Off (External), Call-off Contract,01/01/2020,31/12/2023,-,"�22,358.00","�67,074.00",Civica UK Ltd,-,SW15 6AR,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
6305, Trafford Borough Council,Live (On-going),Intergrated Library Management System,271501 - Information Communication Technology - Services,OJEU Tender, Contract,24/09/2019,23/09/2023,-,"�268,300.00","�1,073,200.00",Civica UK Ltd,-,SW15 6AR,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
11032, Trafford Borough Council,Live (On-going),Trafford Leisure Centre Refurbishments,290000 - Arts & Leisure Services,Call Off (External), Call-off Contract,09/08/2021,08/08/2025,-,"�288,500.00","�288,500.00",Alliance Leisure Services ,-,TA6 3EW,-,"Trafford Borough Council, TRAFF - Place"
6239, Trafford Borough Council,Live (On-going),Income Management Payments System - Trafford,270000 - Information Communication Technology,Call Off (External), Call-off Contract,01/10/2018,30/09/2023,-,"�58,920.00","�294,600.00",Civica UK Ltd,-,SW15 6AR,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
4337, Trafford Borough Council,Live (On-going),Inbound Mail ,300000 - Mail Services,Call Off (External), Call-off Contract,01/04/2018,31/03/2023,-,"�12,000.00","�60,000.00",Northgate Public Services (UK) Ltd,9338960,SK9 7RR,-,"Trafford Borough Council, TRAFF - Governance and Community Strategy"
4236, Trafford Borough Council,Live (On-going),ICT Storage Replacement,271200 - Information Communication Technology - Hardware,Mini Competition (External), Call-off Contract,01/04/2018,03/03/2022,-,"�48,599.90","�145,799.70",ANS Group Ltd,-,x,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
8433, Trafford Borough Council,Live (On-going),HR & Payroll Solution - Trafford,270000 - Information Communication Technology,Call Off (External), Contract,01/04/2020,31/03/2023,31/03/2024,"�374,130.00","�1,196,320.00",MHR,-,NG11 6LL,-,"SMBC - Corporate and Support Services, Trafford Borough Council, TRAFF - Strategy and Resources"
3562, Trafford Borough Council,Live (On-going),Hire of Vehicles for Trafford Council,381210 - Vehicle Management - Hire,Call Off (External), Call-off Contract,22/02/2018,21/02/2023,-,"�16,022.80","�80,114.00",Essential Fleet Management,-,x,-,"Trafford Borough Council, TRAFF - Place"
5190, Trafford Borough Council,Live (On-going),Framework for Inspections and Repairs to Headstones - Trafford,120000 - Cemetery & Crematorium,OJEU Tender, Framework Agreement,02/12/2019,01/12/2022,-,"�70,000.00","�350,000.00",Memsafe Limited,-,NP12 4AD,-,"Trafford Borough Council, TRAFF - Place"
4620, Trafford Borough Council,Live (On-going),Family Group Conferencing Service,410000 - Social Community Care Supplies & Services,Mini Competition (Internal), Call-off Contract,01/12/2018,31/05/2023,30/11/2022,"�70,000.00","�392,044.00",Just Psychology CIC,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
7901, Trafford Borough Council,Live (On-going),Falls Prevention Contract,151514 - Healthcare - Public Health - Specialist Services,OJEU Tender (Light Touch), Contract,01/04/2020,31/03/2025,31/03/2025,"�65,000.00","�370,000.00",Age UK Trafford,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10094, Trafford Borough Council,Live (On-going),Emotional Support Online,321100 - Social Community Care Supplies & Services - Children,Exemption, Contract,31/08/2020,31/08/2023,-,�0.00,"�50,000.00",0161 Project,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
10093, Trafford Borough Council,Live (On-going),Emotional Health and Wellbeing Ages 5-12,321100 - Social Community Care Supplies & Services - Children,Exemption, Contract,31/08/2020,31/08/2023,-,�0.00,"�50,000.00",PDR Travel,-,x,-,"Trafford Borough Council, TRAFF - Children, Families and Wellbeing"
3249, Trafford Borough Council,Live (On-going),Electronic meal ordering system,271501 - Information Communication Technology - Services,Exemption, Contract,17/06/2016,16/06/2023,-,"�18,000.00","�90,000.00",Evolve 4 Solutions,-,x,-,"Trafford Borough Council, TRAFF - Strategy and Resources"
