UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
10679, Trafford Borough Council,Live (One Off),Information and advice services with a focus on  older people and BAME communities Lot 1,321000 - Social Community Care Supplies & Services - Adult,RBS - Low/Med - Simple (RFQ), Contract,01/04/2021,31/03/2027,31/03/2027,"�12,000.00","�12,000.00",Age UK Trafford,-,x,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services"
10680, Trafford Borough Council,Live (One Off),Information and advice services with a focus on  older people and BAME communities (Lot 2),321000 - Social Community Care Supplies & Services - Adult,RBS - Low/Med - Simple (RFQ), Contract,01/04/2021,31/03/2027,01/08/2027,"�17,000.00","�17,000.00",LMCP Care Link (L M C P),6729806, M14 4TH,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services"
10681, Trafford Borough Council,Live (One Off),Information and advice services with a focus on  older people and BAME communities (Lot 3),321000 - Social Community Care Supplies & Services - Adult,RBS - Low/Med - Simple (RFQ), Contract,01/04/2021,31/03/2027,01/03/2027,"�10,000.00","�10,000.00",African Caribbean Care Group (ACCG),-,M15 5FS,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services"
10079, Trafford Borough Council,Live (On-going),Supported Living Services for Adults with Learning Disabilities (South),321000 - Social Community Care Supplies & Services - Adult,Mini Competition (Internal), Framework Agreement,01/04/2021,31/03/2025,-,"�1,237,961.00","�1,237,961.00",Creative Support,-,SK1 3TS,-,Trafford Borough Council
10079, Trafford Borough Council,Live (On-going),Supported Living Services for Adults with Learning Disabilities (North),321000 - Social Community Care Supplies & Services - Adult,Mini Competition (Internal), Framework Agreement,01/04/2021,31/03/2025,-,"�2,023,405.99","�2,023,406.00",Voyage,-,WS14 0QP,-,Trafford Borough Council
10318, Trafford Borough Council,Live (On-going),Mediation and Disagreement Resolution Service,321100 - Social Community Care Supplies & Services - Children,RBS - Med/High - Advanced (Open), Contract,04/05/2021,31/03/2024,31/03/2026,"�8,000.00","�24,000.00",KIDS,-,N1 8HX,-,"STAR, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
11112, Trafford Borough Council,Live (On-going),Complex Moving and Handling Advice,150000 - Consultancy,RBS - Low - Quick Quote, Contract,01/12/2021,30/11/2023,-,"�10,000.00","�30,000.00",A1 Risk Solutions Ltd,-,M15GD ,-,"STAR, TRAFF - Strategy and Resources"
9544, Trafford Borough Council,Live (One Off),Moorlands Junior School � Expansion Scheme,"390000 - Works - Construction, Repair & Maintenance",Call Off (External), Contract,10/01/2022,09/06/2023,-,"�3,200,000.00","�3,200,000.00",ISG Construction,450103,EC3N 1AG,-,"STAR, TRAFF - Children's Services"
10674, Trafford Borough Council,Live (One Off),Supported Living - Lostock Road ,321000 - Social Community Care Supplies & Services - Adult,Mini Competition (External), Call-off Contract,01/02/2022,31/01/2026,-,"�251,683.49","�1,258,418.00",Dimensions,31192R,RG7 4SA,-,"Trafford Borough Council, TRAFF - Adults' Services"
10675, Trafford Borough Council,Live (One Off),Supported Living - Mount Drive ,321000 - Social Community Care Supplies & Services - Adult,Mini Competition (External), Call-off Contract,01/02/2022,31/01/2026,-,"�260,957.52","�1,304,788.00",Dimensions,31192R,RG7 4SA,-,"Trafford Borough Council, TRAFF - Adults' Services"
11710, Trafford Borough Council,Live (One Off),Altrincham Leisure Centre � Stage 3 Management and Monitoring ,"150000 - Consultancy, 391500 - Works - Construction, Repair & Maintenance - Consultancy",Call Off (External), Call-off Contract,03/01/2022,31/03/2024,-,"�118,203.00","�265,957.00",Fraser Blair Associates Ltd.,-,CH41 6AF,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
10229, Trafford Borough Council,Live (One Off),Mental Health Services - Supported Accommodation,321800 - Social Community Care Supplies & Services - Adult - Independent Supported Living,RBS - Low/Med - Simple (RFQ), Contract,01/10/2020,30/09/2024,-,"�11,985.24","�47,940.96",Making Space,-,x,-,"STAR, TRAFF - Adults' Services"
4651, Trafford Borough Council,Live (On-going),Agreed contribution from our service to Trafford Housing Trust re: care leaver accommodation,321015 - Social Community Care Supplies & Services - Adult - Sheltered Accommodation,Exemption, No Contract,01/10/2017,01/10/2022,-,"�15,000.00","�75,000.00",Pure Insight,-,SK7 5ER,-,"STAR, TRAFF - Adults' Services"
11093, Trafford Borough Council,Live (On-going),Traffic Management of Highways Software,271440 - Information Communication Technology - Software,Exemption, No Contract,07/12/2020,06/12/2025,-,"�10,000","�50,000.00",Kainos Software Limited,NI019370,BT7 1NT,-,TRAFF - Place
9543, Trafford Borough Council,Live (One Off),Templemoor Infant School Expansion Works,"390000 - Works - Construction, Repair & Maintenance",Mini Competition (External), Contract,01/03/2022,30/06/2023,30/06/2023,"�1,400,000.00","�314,962.00",Conlon Construction,708997,PR5 6BE,-,"STAR, TRAFF - Children's Services"
6222, Trafford Borough Council,Live (On-going),AGMA Electoral Printing Services*,271440 - Information Communication Technology - Software,OJEU Tender, Framework Agreement,08/01/2019,07/01/2025,07/01/2025,"�458,000.00","�2,773,500.00",Various Suppliers,-,Various,-,"STAR, TRAFF - Finance and Systems"
6349, Trafford Borough Council,Live (On-going),AGMA Electoral Printing Services **,271440 - Information Communication Technology - Software,OJEU Tender, Contract,08/01/2019,07/01/2025,07/01/2025,"�29,454.22","�201,000.00",Various Suppliers,-,Various,-,"STAR, TRAFF - Finance and Systems"
