DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,14/03/2023,4186231,"1,475.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,14/03/2023,4186230,"1,643.18",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186223,"1,910.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186227,"1,910.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186228,"1,213.81",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,14/03/2023,4186229,806.00,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186215,"1,384.44",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186222,"2,330.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186226,"1,715.55",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186217,725.55,0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186224,"1,300.44",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,REDACTED - PERSONAL DATA,1453487,09/03/2023,4186218,"1,167.18",0.00,N/A,N/A
