DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609438,"1,075.20",East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609439,671.72,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609440,"1,151.68",East Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,RETHINK MENTAL ILLNESS,05/11/2024,00146591,609442,686.00,Central/East MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,KEY 2 CARE LIMITED,05/11/2024,00146254,609443,547.02,West Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/11/2024,00147151,609445,"3,777.90",Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/11/2024,00147151,609446,"2,266.74",Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/11/2024,00147151,609447,"5,468.96",Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/11/2024,00147151,609448,"3,517.36",Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/11/2024,00147151,609449,"1,821.82",Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,EBENEZER (STONE OF HELP) LTD,05/11/2024,00147151,609450,632.06,Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PROFAD CARE AGENCY LIMITED,05/11/2024,00147401,609454,508.07,South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PROFAD CARE AGENCY LIMITED,05/11/2024,00147401,609455,508.07,South OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PROFAD CARE AGENCY LIMITED,05/11/2024,00147401,609460,"1,135.40",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,PROFAD CARE AGENCY LIMITED,05/11/2024,00147401,609462,859.61,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609464,517.15,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609465,835.80,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609466,956.16,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609467,"1,135.40",West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609468,"1,212.60",West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609471,537.99,West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609472,"1,002.70",West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609473,"1,156.76",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609474,"1,156.76",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609477,851.55,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609478,851.55,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609480,711.60,West/South MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609484,"1,180.93",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609486,"1,119.22",West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609488,564.28,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609489,938.24,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609490,938.24,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609491,"1,414.00",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609492,"1,414.00",East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609493,864.54,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609494,"1,195.40",West OP (over 65) Mental Health - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609495,935.83,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609497,592.79,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609498,592.79,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609499,681.73,West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609500,681.73,West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609502,877.04,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609505,"1,692.60",West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609506,"1,692.60",West Adults (under 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609508,787.17,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609509,"1,284.92",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609510,"1,284.92",Central OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609511,578.20,West OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,MEDILINE HOME CARE LIMITED,05/11/2024,00147358,609512,557.20,East OP (over 65) Physical - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609513,"1,100.40",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609514,"2,518.60",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609515,"3,885.84",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609516,"2,518.60",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609517,"1,100.40",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609518,"2,806.44",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609519,"1,100.40",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609520,"2,962.59",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609522,"2,590.56",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609523,"1,100.40",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609524,"3,070.53",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609526,"1,650.60",South OP (over 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609527,"3,777.90",South OP (over 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609530,"1,100.40",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609531,"5,756.80",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609533,559.16,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609536,"1,583.12",South Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609537,"1,888.95",Central Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609538,824.36,Central Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609539,"1,439.20",Central Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609541,"2,518.60",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609542,"2,518.60",Preparing for Adulthood MH Support - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609544,"1,888.95",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609545,824.36,Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609547,"1,888.95",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609548,824.36,Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609551,"1,007.44",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609552,"1,888.95",Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609553,824.36,Ordinary Lives LD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,LIFEWAYS COMMUNITY CARE LTD,05/11/2024,00146489,609555,"1,007.44",Central Adults (under 65) LD - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,I CARE GB LTD,05/11/2024,00146950,609556,"1,104.75",East OP (over 65) Physical - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,I CARE GB LTD,05/11/2024,00146950,609558,642.80,East OP (over 65) Physical - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609560,780.78,West/South MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609561,"1,457.46",West/South MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609562,588.00,West/South MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609565,557.70,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609566,585.60,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,FOSSE HEALTHCARE LTD,05/11/2024,00146923,609568,"4,684.68",Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,FOSSE HEALTHCARE LTD,05/11/2024,00146923,609569,"1,412.84",Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,FOSSE HEALTHCARE LTD,05/11/2024,00146923,609570,980.96,Ordinary Lives LD Support (under 65) - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,I CARE GB LTD,05/11/2024,00146950,609573,"1,240.75",Central Adults (under 65) Physical - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,I CARE GB LTD,05/11/2024,00146950,609574,"1,240.75",Central Adults (under 65) Physical - DP/Mgd,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609577,"1,598.74",West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609578,"1,115.40",West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,ROSE MOUNT SUPPORTED LIVING LTD,05/11/2024,00146944,609579,"1,171.17",West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
