DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TINY TOTS PRIVATE DAY NURSERY,04/06/2024,106731,451220,"3,300.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ASH CROFT PRIMARY ACADEMY,04/06/2024,106640,451221,"1,500.00",Nursery Education Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 3/4,ZAYAN PROPERTIES LIMITED,04/06/2024,106752,451223,650,Unsupported Foreign Nationals,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WONDERWORKS PRESCHOOL,04/06/2024,106785,451225,"1,100.00",Nursery Education Grant,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,CONNECT ROADS DERBY LTD,04/06/2024,106584,451226,"138,500.00",LED bulb conversion,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,OFSTED,04/06/2024,106314,451235,"2,471.00",Adoption,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,QUESTECH RECRUITMENT LIMITED,04/06/2024,107121,451248,"3,717.00",Vehicle Maintenance,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,PRIM SHORT STAYS LTD,04/06/2024,107246,451252,"13,530.00",Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,WOODLANDS NURSERY,04/06/2024,106227,451257,"1,000.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,RYDALE CHILDRENS NURSERY LTD,04/06/2024,106739,451310,"1,700.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SHELTON LOCK PRESCHOOL,04/06/2024,106224,451323,"1,900.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,OSMASTON DAY NURSERY LIMITED,04/06/2024,107265,451329,800,Nursery Education Grant,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,AQUA JET,04/06/2024,106168,451337,"1,500.00",Pumping Station Asset Management,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,SINFIN COMMUNITY CHILDCARE,04/06/2024,106203,451340,"2,600.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,PLAYCORNER PRIVATE DAY NURSERY,04/06/2024,106947,451341,"1,500.00",Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Regulatory Services,Bereavement Services,ZAGOTA CREATIONS LTD,04/06/2024,106322,451348,625,Cemeteries,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,POSITIVE STEPS DAYCARE,04/06/2024,106210,451357,"2,400.00",Nursery Education Grant,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,EAST MIDLANDS EDUCATION TRUST OAK GRANGE NURSERY AND PRIMARY SCHOOL,04/06/2024,106768,451358,"1,200.00",Nursery Education Grant,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,MICKLEOVER METHODIST PRESCHOOL,04/06/2024,106125,451359,"1,100.00",Nursery Education Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ADFAN LIMITED,04/06/2024,106528,451360,850,Housing Options (Private),40 - SME,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,THE WORKSHOP DERBY LIMITED,04/06/2024,106601,451361,933.3,Appointeeships (SSGA0088),40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Inclusion & Intervention,DERBY MUSEUMS,04/06/2024,106334,451364,560,Inclusion,40 - SME,SME
