DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
Communities & Place,"Trading Standards, Food and Safety, Bereavement Services and Building Consultanc",Public Protection and Streetride,B & K PROPERTY SERVICES LTD,187862,02/02/2023,4155384,"1,590.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BELIEVE ACADEMY TRUST,1718476,02/02/2023,4154331,"17,975.10",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BELIEVE ACADEMY TRUST,1718476,02/02/2023,4154200,"6,321.39",0.00,N/A,N/A
Corporate Resources,Facilities Management,Property,BH PR AND COMMUNICATIONS LTD,483,02/02/2023,4154559,"2,912.09",0.00,Friargate Studios,Management and Business Professionals an
Corporate Resources,Facilities Management,Property,BH PR AND COMMUNICATIONS LTD,483,02/02/2023,4154558,"1,000.00",0.00,Friargate Studios,Management and Business Professionals an
Corporate Resources,Facilities Management,Property,BH PR AND COMMUNICATIONS LTD,483,02/02/2023,4154559,"1,204.57",0.00,Riverside Chambers,Management and Business Professionals an
Corporate Resources,Facilities Management,Property,BH PR AND COMMUNICATIONS LTD,483,02/02/2023,4154559,"4,216.67",0.00,Innovation Centre,Management and Business Professionals an
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BISHOP LONSDALE CE AIDED PRIMARY SCHOOL AND NURSERY,932526,02/02/2023,4154418,"13,150.50",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BIZZY KIDZ,933490,02/02/2023,4154437,"19,593.46",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BIZZY KIDZ,933490,02/02/2023,4154175,"3,782.03",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BOULTON LANE PRE-SCHOOL PLAYGROUP,932483,02/02/2023,4154438,"1,249.97",0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,BRADFORD COUNCIL,551465,02/02/2023,4148360,"1,277.02",0.00,Leaving & After Care,Politics and Civic Affairs Services
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BRAMBLEBROOK PRE SCHOOL PLAYGROUP,932518,02/02/2023,4154463,"12,959.83",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BRAMBLEBROOK PRE SCHOOL PLAYGROUP,932518,02/02/2023,4154188,"2,481.43",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BREADSALL HILLTOP PRIMARY SCHOOL,937484,02/02/2023,4154401,"15,282.96",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BREADSALL HILLTOP PRIMARY SCHOOL,937484,02/02/2023,4154237,"1,654.29",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BUSY BEES DAY NURSERY AT DERBY OAKWOOD,1881503,02/02/2023,4154420,"7,653.09",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BUSY BEES DAY NURSERY AT DERBY OAKWOOD,1881503,02/02/2023,4154190,"1,562.38",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,BUSY BEES PLAYGROUP,932529,02/02/2023,4154382,"14,184.99",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,CARLTON PRIVATE DAY NURSERY,932481,02/02/2023,4154371,"10,133.83",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,CARLTON PRIVATE DAY NURSERY,932481,02/02/2023,4154198,"1,373.01",0.00,N/A,N/A
Communities & Place,"Waste, Street Cleansing & Fleet",Public Protection and Streetride,CERTAS ENERGY UK LIMITED,1725489,02/02/2023,4154688,"45,285.21",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,CHADDESDEN PARK PRIMARY SCHOOL,937517,02/02/2023,4154444,"11,573.30",0.00,N/A,N/A
People Services - Children & Young People,Commissioning - Schools Block,Schools Block,CHILDRENS CHOICE THERAPY SERVICE LTD,1015476,02/02/2023,4154691,"1,540.00",0.00,Out of Authority Education Placements,Healthcare Services
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,CHUCKLES PLAYGROUP,932503,02/02/2023,4154372,825.99,0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,CHUCKLES PLAYGROUP,932503,02/02/2023,4154238,"1,102.86",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,COTTAGE PRIVATE  DAY NURSERY,932497,02/02/2023,4154396,"11,822.58",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,COTTAGE PRIVATE  DAY NURSERY,932497,02/02/2023,4154210,"2,361.96",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,COTTAGE PRIVATE DAY NURSERY DE3 9AX (INTERFACE),943468,02/02/2023,4154474,"12,304.96",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,COTTAGE PRIVATE DAY NURSERY DE3 9AX (INTERFACE),943468,02/02/2023,4154181,551.43,0.00,N/A,N/A
Communities & Place,"Culture, Business Development & Tourism","Leisure, Culture and Tourism",COVERGOLD LTD,1255,02/02/2023,4152234,"1,060.00",0.00,Derby Local Studies Library,Office Equipment and Accessories and Sup
Communities & Place,"Waste, Street Cleansing & Fleet",Public Protection and Streetride,DENNIS EAGLE LTD,1121,02/02/2023,4154718,559.00,0.00,Vehicle Maintenance,Commercial and Military and Private Vehi
People Services - Adults and Health,Public Health,Public Health,DERBY CITY MISSION LIMITED,1408479,02/02/2023,4153999,"12,000.00",0.00,N/A,N/A
People Services - Adults and Health,Public Health,Public Health,DERBY CITY MISSION LIMITED,1408479,02/02/2023,4153998,"47,579.00",0.00,N/A,N/A
People Services - Adults and Health,Public Health,Public Health,DERBY COUNTY COMMUNITY TRUST,178343,02/02/2023,4148246,"20,000.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERBY DIOCESAN ACADEMY TRUST 2,996478,02/02/2023,4154415,"26,349.84",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERBY DIOCESAN ACADEMY TRUST 2,996478,02/02/2023,4154174,"11,855.74",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERBY EDUCATION GROUP,932533,02/02/2023,4154358,"2,176.02",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERBY HIGH SCHOOL,1317470,02/02/2023,4154386,"14,670.81",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERBY MONTESSORI SCHOOL,932513,02/02/2023,4154387,"4,154.33",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERBY MONTESSORI SCHOOL,932513,02/02/2023,4154199,"3,425.00",0.00,N/A,N/A
People Services - Children & Young People,Integrated Services,Non-Schools,DERBYSHIRE COUNTY COUNCIL,1042479,02/02/2023,4152165,754.88,0.00,N/A,N/A
People Services - Adults and Health,Public Health,Public Health,DERBYSHIRE COUNTY COUNCIL,1042479,02/02/2023,4152200,"15,000.00",0.00,N/A,N/A
People Services - Adults and Health,Public Health,Public Health,DERBYSHIRE LOCAL PHARMACEUTICAL COMMITTEE,2053473,02/02/2023,4144261,"14,000.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERWENT STEPPING STONES,1247468,02/02/2023,4154388,"10,228.53",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERWENT STEPPING STONES,1247468,02/02/2023,4154362,"9,822.54",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERWENT STEPPING STONES,1247468,02/02/2023,4154239,"7,628.11",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DERWENT STEPPING STONES,1247468,02/02/2023,4154240,"4,962.87",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DIAMOND DAY NURSERY,933489,02/02/2023,4154422,"14,870.79",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,DIAMOND DAY NURSERY,933489,02/02/2023,4154201,"2,757.15",0.00,N/A,N/A
People Services - Children & Young People,Early Help & Children’s Safeguarding,Non-Schools,EAGLE CITY CARS,100198,02/02/2023,4154666,"1,520.00",0.00,N/A,N/A
People Services - Children & Young People,Early Help & Children’s Safeguarding,Non-Schools,EAGLE CITY CARS,100198,02/02/2023,4154665,"1,805.00",0.00,N/A,N/A
People Services - Children & Young People,Early Help & Children’s Safeguarding,Non-Schools,EAGLE CITY CARS,100198,02/02/2023,4147557,"1,430.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,EAST MIDLANDS EDUCATION TRUST DE73 5NY (INTERFACE),1589480,02/02/2023,4154337,"13,538.56",0.00,N/A,N/A
Communities & Place,Traffic & Transportation,Planning & Transportation,EDWARDS AND EDWARDS CONSULTANCY LIMITED,1618478,02/02/2023,4154663,"1,534.50",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,EMMANUEL SCHOOL,932506,02/02/2023,4154390,"6,733.78",0.00,N/A,N/A
Corporate Resources,Facilities Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154608,"5,730.75",0.00,Council House,Defense and Law Enforcement and Security
Corporate Resources,Facilities Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154610,"8,150.40",0.00,Council House,Defense and Law Enforcement and Security
Corporate Resources,Facilities Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154611,"3,537.50",0.00,Council House,Defense and Law Enforcement and Security
Corporate Resources,Facilities Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154612,661.51,0.00,Council House,Defense and Law Enforcement and Security
Corporate Resources,Facilities Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154609,"8,624.00",0.00,Council House,Defense and Law Enforcement and Security
People Services - Children & Young People,Integrated Services,Non-Schools,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154624,976.40,0.00,The Willows,Defense and Law Enforcement and Security
Corporate Resources,Strategic Asset Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154613,"1,000.00",0.00,Surplus Properties,Defense and Law Enforcement and Security
Corporate Resources,Strategic Asset Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154618,719.00,0.00,Surplus Properties,Defense and Law Enforcement and Security
Corporate Resources,Strategic Asset Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154627,568.50,0.00,Surplus Properties,Defense and Law Enforcement and Security
Corporate Resources,Strategic Asset Management,Property,EMS SECURITY SERVICES LTD,471442,02/02/2023,4154615,"1,100.00",0.00,N/A,N/A
People Services - Children & Young People,Commissioning,Non-Schools,ENDORPHINS GROUP,1939468,02/02/2023,4154675,"2,800.00",0.00,N/A,N/A
Neighbourhoods,Neighbourhoods,Neighbourhoods,EVERYONE ACTIVE,1852483,02/02/2023,4154619,"1,000.00",0.00,N/A,N/A
Neighbourhoods,Neighbourhoods,Neighbourhoods,EVERYONE ACTIVE,1852483,02/02/2023,4154622,"5,000.00",0.00,N/A,N/A
Neighbourhoods,Neighbourhoods,Neighbourhoods,EVERYONE ACTIVE,1852483,02/02/2023,4118928,"45,000.00",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,FAITHFUL AND GOULD LIMITED,1915474,02/02/2023,4155402,"4,718.56",0.00,N/A,N/A
Communities & Place,"Trading Standards, Food and Safety, Bereavement Services and Building Consultanc",Public Protection and Streetride,FEDERATION OF BURIAL CREMATION AUTHORITIES,2042469,02/02/2023,4148210,"1,100.00",0.00,N/A,N/A
Communities & Place,"Trading Standards, Food and Safety, Bereavement Services and Building Consultanc",Public Protection and Streetride,FEDERATION OF BURIAL CREMATION AUTHORITIES,2042469,02/02/2023,4148210,"1,028.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FIELD LANE PLAYGROUP,932489,02/02/2023,4154447,"12,967.68",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FIELD LANE PLAYGROUP,932489,02/02/2023,4154227,"1,010.95",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FIRS PRIMARY SCHOOL,937511,02/02/2023,4154448,"16,546.83",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FIRST FRIENDS PRIVATE DAY NURSERY,932504,02/02/2023,4154334,"7,983.98",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FIRST FRIENDS PRIVATE DAY NURSERY,932504,02/02/2023,4154176,"7,252.14",0.00,N/A,N/A
Communities & Place,"Waste, Street Cleansing & Fleet",Public Protection and Streetride,FUCHS LUBRICANTS UK PLC,1937,02/02/2023,4154744,"1,800.00",0.00,Vehicle Maintenance,Chemicals including Bio Chemicals and Ga
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FUN TIME NURSERY LTD,936504,02/02/2023,4154373,"12,858.12",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,FUN TIME NURSERY LTD,936504,02/02/2023,4154177,"4,870.96",0.00,N/A,N/A
Corporate Resources,Strategic Asset Management,Property,G2V RECRUITMENT GROUP LIMITED,886471,02/02/2023,4151507,"2,294.00",0.00,Property Rationalisation Costs,Management and Business Professionals an
Corporate Resources,Strategic Asset Management,Property,G2V RECRUITMENT GROUP LIMITED,886471,02/02/2023,4148982,"2,480.00",0.00,Property Rationalisation Costs,Management and Business Professionals an
Corporate Resources,Strategic Asset Management,Property,G2V RECRUITMENT GROUP LIMITED,886471,02/02/2023,4144157,"2,480.00",0.00,Property Rationalisation Costs,Management and Business Professionals an
Corporate Resources,Strategic Asset Management,Property,G2V RECRUITMENT GROUP LIMITED,886471,02/02/2023,4139682,"3,596.00",0.00,Property Rationalisation Costs,Management and Business Professionals an
Corporate Resources,Property Design & Maintenance,Property,G2V RECRUITMENT GROUP LTD G2 RECRUITMENT (INTERFACE),1664490,02/02/2023,4155354,955.83,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,G2V RECRUITMENT GROUP LTD G2 RECRUITMENT (INTERFACE),1664490,02/02/2023,4155479,"1,850.00",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,G2V RECRUITMENT GROUP LTD G2 RECRUITMENT (INTERFACE),1664490,02/02/2023,4155382,"1,924.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,GRIFFE FIELD PRIMARY SCHOOL,946488,02/02/2023,4154449,"11,373.57",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,HARDWICK PRIMARY SCHOOL,937512,02/02/2023,4154403,"19,077.96",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,HEATHERTON PRE SCHOOL,933476,02/02/2023,4154364,"2,748.17",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,HEATHERTON PRE SCHOOL,933476,02/02/2023,4154203,735.24,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,HIGHFIELD JOINERY AND BUILD SERVS LTD,215391,02/02/2023,4155506,"1,170.00",0.00,N/A,N/A
Communities & Place,"Highways, Gounds Maintenance and Flood Defence",Public Protection and Streetride,HUWS GRAY LIMITED,181330,02/02/2023,4153969,"1,352.00",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,HYDRO X WATER TREATMENT LTD,1291473,02/02/2023,4155378,850.00,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,HYDRO X WATER TREATMENT LTD,1291473,02/02/2023,4155459,850.00,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,HYDRO X WATER TREATMENT LTD,1291473,02/02/2023,4155460,637.50,0.00,N/A,N/A
Corporate Resources,"Legal, Procurement and Democratic Services","Legal, Procurement and Democratic Services",IDOX SOFTWARE LTD,857453,02/02/2023,4154024,"1,000.00",0.00,Land Charges,Information Technology Broadcasting and
Corporate Resources,"Legal, Procurement and Democratic Services","Legal, Procurement and Democratic Services",IDOX SOFTWARE LTD,857453,02/02/2023,4142922,"2,100.00",0.00,Land Charges,Information Technology Broadcasting and
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,INCREDIBLE KIDS DERBY LTD,936501,02/02/2023,4154467,"17,717.52",0.00,N/A,N/A
Neighbourhoods,Neighbourhoods,Neighbourhoods,JBA BENTLEY LTD,1759502,02/02/2023,4143908,"186,254.69",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,JIGSAW PSYCHOLOGY LTD,1125477,02/02/2023,4154000,875.00,0.00,High Needs Contingency,Management and Business Professionals an
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,KING GEORGE V PRE SCHOOL,1867471,02/02/2023,4154376,"10,842.08",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,KINGFISHER DAY NURSERY SPONDON,932491,02/02/2023,4154338,"24,384.97",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,KINGFISHER DAY NURSERY SPONDON,932491,02/02/2023,4154169,"3,324.18",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LA PETITE ACADEMY,1465488,02/02/2023,4154468,"14,157.14",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LA PETITE ACADEMY,1465488,02/02/2023,4154178,"2,910.32",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LEAPFROG DAY NURSERIES DE23 3TZ (INTERFACE),943470,02/02/2023,4154441,"29,662.83",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LEAPFROG DAY NURSERIES DE23 3TZ (INTERFACE),943470,02/02/2023,4154189,"2,573.34",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LEARNERS TRUST,1123469,02/02/2023,4154464,"9,936.04",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE ANGELS DAY NURSERY,937481,02/02/2023,4154470,"16,480.50",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE ANGELS PLAYSCHOOL,936489,02/02/2023,4154339,"8,180.70",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE ANGELS PLAYSCHOOL,936489,02/02/2023,4154218,"5,698.11",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE OWLS NURSERY,1347468,02/02/2023,4154391,"14,881.20",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE OWLS NURSERY,1347468,02/02/2023,4154193,"7,720.02",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE POPPIES PLAYGROUP,932494,02/02/2023,4154426,"7,539.18",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE SCHOLARS LTD,936475,02/02/2023,4154427,"12,753.38",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE SCHOLARS LTD,936475,02/02/2023,4154228,"2,049.77",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE SCHOLARS NURSERY,1867470,02/02/2023,4154340,"15,799.81",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,LITTLE SCHOLARS NURSERY,1867470,02/02/2023,4154219,"3,788.16",0.00,N/A,N/A
People Services - Adults and Health,Social Care Activities,Mental Health,LKP ASSOCIATES LIMITED,2038471,02/02/2023,4148986,600.00,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MANOR ELECTRICAL SERVICES,1799473,02/02/2023,4155432,620.00,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MANOR ELECTRICAL SERVICES,1799473,02/02/2023,4155454,"2,457.00",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,MARY POPPINS NURSERY,932482,02/02/2023,4154428,"7,674.36",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,MICKLEOVER METHODIST PLAYGROUP,932487,02/02/2023,4154451,"9,118.23",0.00,N/A,N/A
People Services - Children & Young People,Non Delegated Schools Budget,Schools Block,MICKLEOVER METHODIST PLAYGROUP,932487,02/02/2023,4154194,551.43,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155415,"3,881.35",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155419,865.54,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155407,996.49,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155370,818.74,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155372,694.71,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155435,724.24,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155482,958.99,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155359,650.51,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155380,958.99,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155485,666.21,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155477,"1,281.71",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155471,658.13,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155461,639.04,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155483,603.28,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155462,611.90,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155440,720.00,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155412,554.10,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155439,"1,311.27",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155379,"1,441.00",0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MIDLAND COUNTIES HEATING SERVICES,188123,02/02/2023,4155346,735.44,0.00,N/A,N/A
Corporate Resources,Property Design & Maintenance,Property,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,188130,02/02/2023,4155352,"16,294.01",0.00,N/A,N/A
