DCC Supplier Payments Over �500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526940,705,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526941,-708.32,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526942,"-1,043.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526943,"-1,043.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526944,"-1,043.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526945,"-1,043.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526946,"-1,043.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY DIOCESAN ACADEMY TRUST,03/09/2024,00130412,526947,"-1,043.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527176,"1,059.48",High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527177,777.68,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527178,"1,105.60",High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527179,"1,074.84",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527180,"1,086.36",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527181,"1,213.28",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527182,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527184,708.44,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527185,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527186,"1,128.68",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527187,708.44,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527188,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527189,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527190,"2,337.60",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527191,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527192,672.88,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527194,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527195,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527196,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527197,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527198,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527199,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527200,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527201,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527202,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527204,-839.28,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527205,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527206,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527207,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527208,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527209,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527210,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527211,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527212,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527213,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527214,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527215,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527216,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527217,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527218,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527219,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD. VILLAGE PRIMARY ACADEMY,03/09/2024,00130422,527220,-903.84,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527462,625.48,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527463,591.36,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527464,"2,377.00",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527466,-965.84,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527468,"-1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527469,"-1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527470,"-1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,03/09/2024,00130508,527471,"-1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Adults and Health,Adult Social Care,Community Support,Physical Support,REDACTED,03/09/2024,00131149,531149,"1,190.86",Central OP (Over 65) Physical - R/N,20 - Public/Government Agency,Public/Government Agency
Chief Executives,Corporate Management,"Comms, Website & Engagement",Communication,SOCIALSIGNIN LTD,03/09/2024,00130256,531185,"5,000.00",Corporate Communications,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,REVIVE HEALTHY LIVING CENTRE,03/09/2024,00130096,532487,975,Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,ASPIRE WRESTLING ALLIANCE,03/09/2024,00130324,537943,"1,000.00",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,ASPIRE WRESTLING ALLIANCE,03/09/2024,00130324,538212,"1,000.00",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,ASPIRE WRESTLING ALLIANCE,03/09/2024,00130324,538218,"1,000.00",Neighbourhood Boards,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Residential Children's Homes,SILLY SIDS,03/09/2024,00130031,538646,556.67,Transition Homes,40 - SME,SME
Corporate,Corporate,Corporate,Corporate Resources Other,DERBYSHIRE COUNTY COUNCIL,03/09/2024,00130045,538772,"1,795.00",Compensatory Added Years,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Traffic & Transportation,Parking Services,SMART PLATFORM RENTAL LTD,03/09/2024,00130175,539827,531,Parking Services,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Waste Disposal,BIFFA WASTE SERVICES LTD,03/09/2024,00130020,540013,"42,892.56",Waste Disposal,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Residential Children's Homes,SILLY SIDS,03/09/2024,00130031,540129,812.5,Transition Homes,40 - SME,SME
People Services - Adults and Health,Public Health,Public Health,Sexual Health,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,03/09/2024,00130162,541211,"249,500.00",Genitourinary Medicine Services (GUM),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542628,"2,277.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542636,"2,139.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542638,"1,173.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542643,"2,291.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542646,"2,133.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542650,"2,070.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,03/09/2024,00130069,542662,"2,070.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,542695,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,542697,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,542700,700,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,542701,980,Housing Options (Private),40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",UTOPIA FESTIVALS LIMITED,03/09/2024,00131005,543545,"1,727.75",Derby Live - Outdoor Events,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/09/2024,00131124,543678,900,Legal Fees,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,REDACTED,03/09/2024,00130565,543687,"1,550.00",Legal Fees,40 - SME,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,REDACTED,03/09/2024,00131102,543785,"10,000.00",REFCUS - Disabled Facilities Grant 96 Act,30 - Individual (Non Business),Individual (Non Business)
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543899,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543903,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543907,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543908,560,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543912,560,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130539,543926,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543937,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543940,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543942,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543949,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,543958,840,Housing Options (Private),40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Network Mgmnt & Highway Dev Control,DERBYSHIRE COUNTY COUNCIL,03/09/2024,00130044,543977,"1,223,123.28",Network Management,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,544000,560,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,544007,980,Housing Options (Private),40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,ITSO LTD,03/09/2024,00130187,544008,"1,269.00",Central Traffic Management,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,03/09/2024,00130540,544009,"1,260.00",Housing Options (Private),40 - SME,SME
