DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,YORKSHIRE ENERGY SERVICES CIC,01/10/2024,138154,567234,"24,547.40",Fuel Poverty Scheme,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,YORKSHIRE ENERGY SERVICES CIC,01/10/2024,138154,567235,"18,907.00",Fuel Poverty Scheme,40 - SME,SME
Chief Executives,Finance & Business Support,Finance,TSC & Revenue Collection,CATHEDRAL QUARTER CO LTD,01/10/2024,137438,567998,"8,849.79",Non Domestic Rates Billing & Recovery,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,JOURNEO PASSENGER SYSTEMS LTD,01/10/2024,138201,568192,"1,064.00",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,10 - Company,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,ARCADIS CONSULTING UK LTD,01/10/2024,137895,570041,"7,991.23",UPRN 10150 - Our City Our River,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,01/10/2024,137483,570332,"17,500.00",Adoption,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,01/10/2024,137483,570338,"7,500.00",Adoption,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,SUNBELT RENTALS LIMITED,01/10/2024,137922,570488,"5,852.73",Highways Maintenance Works,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TECH TONIC VEHICLE REPAIR LIMITED,01/10/2024,137980,570540,701,Vehicle Maintenance,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TETRA TECH LIMITED,01/10/2024,138254,570567,"37,625.00",Our City Our River - Package 2,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 3/4,ARRIVA MIDLANDS LTD,01/10/2024,137471,570605,975,Food Vouchers,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,TIP TRAILER SERVICES UK LTD,01/10/2024,138315,570619,755,Fleet Hire,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SPLICE CREATIVE LTD,01/10/2024,138489,570627,550,DASH Project,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SPLICE CREATIVE LTD,01/10/2024,138489,570643,550,DASH Project,10 - Company,Company
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,YMCA,01/10/2024,137385,570656,"6,900.78",Leaving & After Care,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,BLUE MOUNTAIN HOMES LTD,01/10/2024,138492,570683,585.9,Home To School Transport - SEN,10 - Company,Company
Communities & Place,Communities,Streetpride,Cleansing,BROXAP LTD,01/10/2024,137379,570744,"4,040.00",Street Cleaning,40 - SME,SME
Communities & Place,Communities,Streetpride,Refuse Collection,IPL PLASTICS (UK) LIMITED,01/10/2024,137841,570777,"22,200.00",Refuse Collection,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138316,570859,"1,561.84",Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138482,570865,585.9,Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138490,570867,585.9,Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138297,570869,"1,249.92",Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Public Health,Public Health,Sexual Health,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,01/10/2024,137428,570946,"3,336.29",Genitourinary Medicine Services (GUM) - Out Of Area,20 - Public/Government Agency,Public/Government Agency
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,TURNER & TOWNSEND PROJECT MANAGEMENT LIMITED,01/10/2024,138079,571944,"2,000.00",Holbrook Park Bellway,10 - Company,Company
Chief Executives,Chief Executives,Chief Executives,Chief Executives,BINNIES UK LIMITED,01/10/2024,138377,571980,"3,219.05",UPRN 10150 - Our City Our River,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,REDACTED,01/10/2024,138155,572973,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,137689,573064,652.5,Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138346,573066,526.68,Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138496,573069,"1,662.03",Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138405,573070,"1,543.95",Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138498,573072,585.9,Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Commissioning,Home to School Transport,REDACTED,01/10/2024,138330,573073,579.42,Home To School Transport - SEN,30 - Individual (Non Business),Individual (Non Business)
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573080,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573089,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/10/2024,137870,573109,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573138,720,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573168,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573179,980,Housing Options (Private),60 - Sole Trader,Sole Trader
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NOTTINGHAMSHIRE COUNTY COUNCIL,01/10/2024,137364,573181,"1,118.88",TCF Tranche 2 - Bus & Rapid Transit Links: DRT for Infinity,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573182,"1,960.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Children and Young People,Children and Young People,Children and Young People,Children and Young People,FIELD LANE PLAYGROUP,01/10/2024,137350,573187,"7,500.00",Childcare Expansion Capital Grant,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573188,"1,820.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573193,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573199,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Children and Young People,Children and Young People,Children and Young People,Children and Young People,CENTRAL NURSERY SCHOOL FUND.,01/10/2024,137393,573203,"3,125.00",Childcare Expansion Capital Grant,20 - Public/Government Agency,Public/Government Agency
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573206,"1,960.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573209,980,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573213,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573215,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573217,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573218,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573219,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Community Safety & Localities,Neighbourhood Boards,DEFIB4LIFE LTD,01/10/2024,138049,573227,"1,344.00",Neighbourhood Boards,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573228,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573230,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573231,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573232,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573234,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573237,700,Housing Options (Private),40 - SME,SME
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Regeneration Projects,"PRECISION RESOURCE GROUP LIMITED PANORAMIC ASSOCIATES, IO ASSOCIATES, PANORAMIC ",01/10/2024,138304,573239,970,Regeneration Projects,10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573240,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573241,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573242,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573243,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573252,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573253,700,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573254,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573256,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573257,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573259,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,PRISM MEDICAL UK,01/10/2024,137686,573260,"1,451.65",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573269,840,Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Integrated Services,Children In Care,REDACTED,01/10/2024,137781,573281,"3,600.00",Kedleston Team,60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573282,700,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,DERBY GUESTHOUSE LTD,01/10/2024,137620,573284,"1,400.00",Housing Options (Private),40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 1/5,FIRST AID SOLUTIONS,01/10/2024,137518,573287,750,L1/5 Childrens Centres Staffing,60 - Sole Trader,Sole Trader
Chief Executives,"Corporate Governance, Procurement & Property",Estates & Property Review,Strategic Asset Management,G2V RECRUITMENT GROUP LIMITED VIVID RESOURCING,01/10/2024,137800,573290,"2,150.83",Valuation,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573300,840,Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573301,"1,680.00",Housing Options (Private),60 - Sole Trader,Sole Trader
Communities & Place,Communities,Strategic Housing,Housing and Advice,SJT PROPERTY SERVICES,01/10/2024,138139,573302,"1,260.00",Housing Options (Private),60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 1/5,INSTITUTE OF HEALTH VISITING,01/10/2024,138268,573308,900,Family Hubs,10 - Company,Company
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,TARBY CONSTRUCTION LTD,01/10/2024,137578,573309,"2,644.50",Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,01/10/2024,137870,573311,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Streetpride,Refuse Collection,IPL PLASTICS (UK) LIMITED,01/10/2024,137841,573313,"11,100.00",Refuse Collection,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,WJ NORTH LTD,01/10/2024,137767,573363,"3,606.14",Highways Maintenance - General,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,NISAI VIRTUAL ACADEMY LTD,01/10/2024,137506,573371,"2,266.00",Post 16 LDD,10 - Company,Company
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,WORLD OF WATER AQUATIC CENTRES LIMITED POND SUPERSTORES,01/10/2024,138488,573373,"1,129.18",Outdoor Amenities,10 - Company,Company
Communities & Place,City Sustainability,Traffic & Transportation,Network Mgmnt & Highway Dev Control,YUNEX LIMITED,01/10/2024,138096,573383,"1,224.96",Network Management,40 - SME,SME
Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,Adults Health and Housing,J & K DEVELOPMENTS LTD,01/10/2024,137416,573394,"6,000.00",REFCUS - Disabled Facilities Grant 96 Act,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,01/10/2024,137846,573421,591.36,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST PORTWAY JUNIOR SCHOOL,01/10/2024,137846,573422,"2,377.00",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ALVASTON JUNIOR ACADEMY,01/10/2024,137763,573424,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ALVASTON JUNIOR ACADEMY,01/10/2024,137763,573425,"1,132.76",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ALVASTON JUNIOR ACADEMY,01/10/2024,137763,573426,794.64,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ALVASTON JUNIOR ACADEMY,01/10/2024,137763,573429,567.56,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ALVASTON JUNIOR ACADEMY,01/10/2024,137763,573431,513.57,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD ALVASTON JUNIOR ACADEMY,01/10/2024,137763,573435,788.23,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD CARLYLE INFANT AND NURSERY SCHOOL,01/10/2024,137762,573440,"1,293.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,THE HARMONY TRUST LTD CARLYLE INFANT AND NURSERY SCHOOL,01/10/2024,137762,573442,"1,198.02",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST,01/10/2024,137823,573444,531.64,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,TRANSFORM TRUST,01/10/2024,137823,573445,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST ASTERDALE PRIMARY SCHOOL,01/10/2024,137843,573447,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST ASTERDALE PRIMARY SCHOOL,01/10/2024,137843,573448,860.84,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST ASTERDALE PRIMARY SCHOOL,01/10/2024,137843,573450,567.56,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573457,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573458,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573459,"1,059.44",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573461,786.44,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573462,692.84,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573464,669.44,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573468,501.19,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST SPRINGFIELD PRIMARY SCHOOL,01/10/2024,137845,573471,515.1,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,01/10/2024,137768,573473,"1,555.80",High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,01/10/2024,137768,573474,708.44,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,01/10/2024,137768,573475,745.96,Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,01/10/2024,137768,573477,"1,679.62",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,01/10/2024,137768,573479,"1,574.80",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,CHADDESDEN PARK PRIMARY SCHOOL,01/10/2024,137768,573480,"1,611.52",Element 3 Funding,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,01/10/2024,137847,573481,963.24,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,01/10/2024,137847,573482,"1,020.48",High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,01/10/2024,137847,573483,887.76,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,01/10/2024,137847,573484,996.32,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST OAKWOOD JUNIOR SCHOOL,01/10/2024,137847,573485,607.04,High Needs Contingency,20 - Public/Government Agency,Public/Government Agency
