DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417878,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417882,"1,120.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417883,560,Housing Options (Private),40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AGGREGATE INDUSTRIES UK LTD,02/05/2024,98706,417909,"1,736.38",Highways Maintenance Works,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417964,"1,400.00",Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417968,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417973,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417979,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,417993,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ICE HOTELS LTD T/A TYGER INN,02/05/2024,98881,417995,"1,280.00",Housing Options (Private),10 - Company,Company
Communities & Place,Communities,Strategic Housing,Housing and Advice,VICTORIA PARK HOTEL,02/05/2024,98664,417996,"1,518.00",Housing Options (Private),40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Traffic and Transport other,TETRA TECH LIMITED,02/05/2024,98872,418002,"18,464.50",Passenger Transport Procurement & Operations,10 - Company,Company
Chief Executives,Human Resources and Organisational Devel,Human Resources and Workforce Development,Occupational Health,THE NOISE CHAP LTD,02/05/2024,98835,418017,"2,681.50",Occupational Health,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,TINY TOTS PRIVATE DAY NURSERY,02/05/2024,98786,418020,998,Arboretum Under 11's Team,40 - SME,SME
Communities & Place,Communities,Regulatory Services,Bereavement Services,BT PLC S98 1BT,02/05/2024,98639,418023,"1,214.72",Crematorium,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,UNICORN METALS LIMITED,02/05/2024,98855,418027,"4,200.00",Vehicle Maintenance,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Accommodation Buildings,VEOLIA.,02/05/2024,98739,418029,"3,021.82",Kedleston Road,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,TARBY CONSTRUCTION LTD,02/05/2024,98735,418057,845,Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,418068,980,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,418075,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Regulatory Services,Bereavement Services,FACULTATIEVE TECHNOLOGIES,02/05/2024,98631,418168,"4,596.33",Crematorium,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,LITTLE SCHOLARS LTD,02/05/2024,98641,418203,528,Early Years Quality Assurance,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,OSMASTON DAY NURSERY LIMITED,02/05/2024,98885,418210,800,Early Years Quality Assurance,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,BRAMBLEBROOK PRE SCHOOL PLAYGROUP,02/05/2024,98676,418213,800,Early Years Quality Assurance,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,KING GEORGE V PRE SCHOOL,02/05/2024,98821,418221,600,Early Years Quality Assurance,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,WHITE HOUSE DAY NURSERY ALVASTON,02/05/2024,98717,418229,"1,400.00",Early Years Quality Assurance,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,MICKLEOVER METHODIST PRESCHOOL,02/05/2024,98642,418241,816,Early Years Quality Assurance,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,CERTAS ENERGY UK LIMITED,02/05/2024,98847,418294,"1,193.89",Fleet Hire,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,LOCAL PAD,02/05/2024,98715,418334,"16,874.00",DASH Project,40 - SME,SME
People Services - Adults and Health,Integration & Prevention,Home First,Social Care Activities,CAREIUM UK LIMITED,02/05/2024,98896,418335,"1,835.00",Carelink,10 - Company,Company
People Services - Children & Young People,Schools Block,Learning & Inclusion - Schools Block,Learning & Inclusion - Schools Block,EXPERIENCED PSYCHOLOGY LTD,02/05/2024,98852,418342,"3,150.00",Primary FAP,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,02/05/2024,98756,418345,978.18,IT Infrastructure,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,02/05/2024,98756,418346,536.8,IT Infrastructure,10 - Company,Company
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Children Centres Locality 3/4,ASI SECURITY SYSTEMS LTD,02/05/2024,98703,418376,750,Early Help Children Centres Locality 3/4,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98848,418591,-833.56,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418592,-583.4,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418593,-583.4,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418594,-583.4,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98722,418596,-586.8,Central Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98722,418597,-586.8,Central Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418600,-583.4,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98699,418601,500.47,West Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98848,418603,937.36,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,REDACTED,02/05/2024,98784,418605,"4,248.64",East Adults (under 65) Sensory - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98699,418606,"1,401.32",West Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,REDACTED,02/05/2024,98784,418608,"-4,058.44",East Adults (under 65) Sensory - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98834,418609,-873.12,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98834,418610,-873.12,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98699,418612,"-1,154.44",West Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,REDACTED,02/05/2024,98784,418613,"-1,739.33",East Adults (under 65) Sensory - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98848,418614,937.36,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,REDACTED,02/05/2024,98784,418615,"1,820.85",East Adults (under 65) Sensory - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418616,608.04,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98834,418618,995.4,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418619,608.04,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98722,418620,872.2,Central Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418622,608.04,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418623,608.04,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98850,418624,608.04,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Transitions and Ordinary Lives,Learning Disability Support,REDACTED,02/05/2024,98834,418627,995.4,Preparing for adulthood 18-24 LD ? DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98722,418628,872.2,Central Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98897,418630,600,South Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98897,418631,600,South Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,REDACTED,02/05/2024,98897,418632,600,South Adults (under 65) LD - DP/Mgd,30 - Individual (Non Business),Individual (Non Business)
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,FOOTSTEPS NURSERY AND FOREST SCHOOL,02/05/2024,98887,419506,668.18,Sinfin Team,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,SAFE ZONE SECURITY SERVICES,02/05/2024,98831,419507,"1,306.00",Repair & Maintenance Works,60 - Sole Trader,Sole Trader
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,HAYS SPECIALIST RECRUITMENT LTD,02/05/2024,98630,419510,"5,081.44",Property Maintenance,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,02/05/2024,98655,419529,"1,062.50",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,02/05/2024,98655,419530,661.4,Building Services,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,MIDLAND COUNTIES HEATING SERVICES,02/05/2024,98655,419533,"-1,062.50",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,KONE PLC,02/05/2024,98683,419535,"2,775.38",Repair & Maintenance Works,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,ADT FIRE & SECURITY PLC.,02/05/2024,98647,419539,"2,262.06",Repair & Maintenance Works,40 - SME,SME
Chief Executives,"Corporate Governance, Procurement & Property",Property and Consultancy Services,Building - Repairs & Maintenance,ADT FIRE & SECURITY PLC.,02/05/2024,98647,419540,"2,262.06",Repair & Maintenance Works,40 - SME,SME
People Services - Children & Young People,Non-Schools,Integrated Services,Integrated Disabled Children's Service,EMPOWERING U HEALTHCARE LTD,02/05/2024,98823,419571,912.8,IDCS Direct Payments,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,L AND R FRUITS,02/05/2024,98865,419634,892.1,LLDD & Skills Curriculum,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Early Help Services Locality 1/5,MELLOW PARENTING LIMITED,02/05/2024,98882,419652,"15,180.00",Family Hubs,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,HUWS GRAY LIMITED,02/05/2024,98725,419682,"1,995.00",Newark Road - road widening,40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,419684,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Strategic Housing,Housing and Advice,ZAYAN PROPERTIES LIMITED,02/05/2024,98791,419690,840,Housing Options (Private),40 - SME,SME
Communities & Place,Communities,Streetpride,Cleansing,BUNZL CLEANING AND HYGIENE SUPPLIES,02/05/2024,98632,419747,775.17,Building Cleaning Derby Homes,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",AC EVENTS CREWING LTD,02/05/2024,98797,419776,"2,310.00",Derby Live - Presented,40 - SME,SME
Communities & Place,Communities,Regulatory Services,Bereavement Services,ATLOW CONTRACTING LIMITED.,02/05/2024,98769,419792,"2,313.25",Cemeteries,40 - SME,SME
Children and Young People,Children and Young People,Children and Young People,Children and Young People,ATLOW CONTRACTING LIMITED.,02/05/2024,98769,419794,"13,688.50",Oakwood Park Improvements,40 - SME,SME
Communities & Place,City Sustainability,Climate & Environment,Parks & Outdoor Recreation,ATLOW CONTRACTING LIMITED.,02/05/2024,98769,419805,981.5,Outdoor Amenities,40 - SME,SME
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,SCARAB SWEEPERS LTD,02/05/2024,98779,419818,850,Vehicle Maintenance,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,TARBY CONSTRUCTION LTD,02/05/2024,98735,419854,"5,002.32",Highways Maintenance Works,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,TARBY CONSTRUCTION LTD,02/05/2024,98735,419856,"4,526.60",Highways Maintenance Works,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,TARBY CONSTRUCTION LTD,02/05/2024,98735,419857,"5,550.00",Highways Maintenance Works,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Accommodation Buildings,VEOLIA.,02/05/2024,98739,419861,"2,171.82",Kedleston Road,40 - SME,SME
People Services - Children & Young People,Non-Schools,Early Help & Children?s Safeguarding,Children's Safeguarding Services Localit,FOOTSTEPS NURSERY AND FOREST SCHOOL,02/05/2024,98887,419865,603.83,Sinfin Team,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,REDACTED,02/05/2024,98775,419867,"3,600.00",Early Years Quality Assurance,60 - Sole Trader,Sole Trader
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,OSCOTT MANOR SCHOOL,02/05/2024,98901,419868,"29,754.50",Other Local Authority Education Placements,10 - Company,Company
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,BLESSED JOHN HENRY NEWMAN RC COLLEGE,02/05/2024,98826,419869,"9,200.00",Other Local Authority Education Placements,20 - Public/Government Agency,Public/Government Agency
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Economic Growth,DERVENTIO EDUCATION LIMITED.,02/05/2024,98766,419872,"1,000.00",Ascend Revenue,20 - Public/Government Agency,Public/Government Agency
People Services - Adults and Health,Adult Social Care,Mental Health,Social Care Activities,MH 24 LIMITED,02/05/2024,98892,419874,740,Deprivation Of Liberty Safeguards,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,"Accommodation, Facilities and H&S",Accommodation Buildings,KILLIS LTD.,02/05/2024,98862,419875,"8,994.00",Council House,40 - SME,SME
