DCC Supplier Payments Over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,ODYSSEY COLLABORATIVE TRUST. CHERRY TREE HILL PRIMARY SCHOOL,02/07/2024,00114369,481741,"4,760.00",Pupil Premium Grant,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Early Years Quality Assurance,MICKLEOVER METHODIST PRESCHOOL,02/07/2024,00113808,481742,784.00,Early Years Quality Assurance,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,GUILSBOROUGH MULTI ACADEMY TRUST GUILSBOROUGH ACADEMY,02/07/2024,00114886,481744,"3,000.00",Pupil Premium Grant,20 - Public/Government Agency,Public/Government Agency
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBYSHIRE COUNTY COUNCIL BRACKENFIELD SEND SCHOOL,02/07/2024,00113813,481747,"2,645.00",Pupil Premium Grant,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Learning Disability Support,BEECHTREE DAY SERVICES LTD,02/07/2024,00114376,481748,"1,924.02",Central OP (over 65) LD - DP/Mgd,40 - SME,SME
People Services - Children & Young People,Schools Block,Non Delegated Schools Budget,Non Delegated School Expenditure,DERBY CATHEDRAL SCHOOL,02/07/2024,00114349,481755,"1,584.00",Pupil Premium Grant,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,BOLINDA UK LTD,02/07/2024,00114100,481761,"8,225.22",City Book Fund,40 - SME,SME
Communities & Place,Communities,Community Safety & Localities,Libraries,BOLINDA UK LTD,02/07/2024,00114100,481762,"1,537.93",City Book Fund,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,"Culture, Business Development & Tourism",ENTERTAINERS MAGIC OF MOTOWN LTD,02/07/2024,00114065,481785,"5,683.38",Derby Live - Presented,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,CDW LTD,02/07/2024,00114191,481788,"13,866.67",IT Infrastructure,10 - Company,Company
