Directorate,PROCESSING DATE,MERCHANT NAME,GROSS AMOUNT,MERCHANT CATEGORY CODE DESCRIPTION
People Services,16/05/2023,AMZNMKTPLACE,£53.74,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,17/05/2023,AMZNMKTPLACE,£299.94,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,17/05/2023,AMZNMKTPLACE,£298.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,17/05/2023,AMZNMKTPLACE,£49.65,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,01/06/2023,AMZNMKTPLACE,£229.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,01/06/2023,AMAZON.CO.UK KF3OT92T5,£16.80,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,02/06/2023,AMZNMKTPLACE,£0.34,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/06/2023,AMZNMKTPLACE,£17.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,AMZNMKTPLACE,£356.72,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,08/06/2023,AMAZON.CO.UK 9J8IO51P5,£549.00,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,19/06/2023,AMZNMKTPLACE AMAZON.CO,£16.05,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE AMAZON.CO,£22.82,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE AMAZON.CO,£45.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE AMAZON.CO,£6.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,20/06/2023,AMZNMKTPLACE AMAZON.CO,£24.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,20/06/2023,AMZNMKTPLACE AMAZON.CO,£14.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,29/06/2023,AMZNMKTPLACE AMAZON.CO,£11.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMAZON.CO.UK 7J2GN4TX5,£196.97,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,17/05/2023,HM PASSPORT OFFICE,£87.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,12/04/2023,BKG HOTEL AT BOOKING.C,49.00,TRAVEL AGENCIES AND TOUR OPERATORS
People Services,13/04/2023,BKG HOTEL AT BOOKING.C,43.65,TRAVEL AGENCIES AND TOUR OPERATORS
People Services,06/06/2023,TRAVELODGE,£39.76,TRAVELODGE
People Services,04/04/2023,FCDO,95.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,04/04/2023,FCDO,95.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,04/04/2023,FCDO,35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,18/04/2023,HM PASSPORT OFFICE,53.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,18/04/2023,HM PASSPORT OFFICE,82.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,18/04/2023,FCDO,35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,18/04/2023,FCDO,35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,23/05/2023,FCDO,£35.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,23/05/2023,HM PASSPORT OFFICE,£58.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,31/05/2023,HM PASSPORT OFFICE,£87.50,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,05/06/2023,FCDO,-£95.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,05/04/2023,HAWK CYCLES,52.38,BICYCLE SHOPS-SALES AND SERVICE
People Services,05/04/2023,TENPIN.CO.UK,25.80,BOWLING ALLEYS
People Services,05/04/2023,AMZNMKTPLACE,5.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/04/2023,MIPERMIT,2.80,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,05/04/2023,WATERWORLD 2000 LIMITE,88.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,06/04/2023,SHOWCASE DERBY,21.40,MOTION PICTURE THEATERS
People Services,11/04/2023,DRAYTON MANOR,38.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,12/04/2023,ALDI,100.50,"GROCERY STORES, SUPERMARKETS"
People Services,12/04/2023,SHOWCASE DERBY,43.70,MOTION PICTURE THEATERS
People Services,12/04/2023,CEX LTD,195.00,ELECTRICAL PARTS AND EQUIPMENT
People Services,13/04/2023,FANTASY ISLAND,50.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,13/04/2023,MCDONALDS,28.14,FAST FOOD RESTAURANTS
People Services,13/04/2023,EAST_LINDSEY_DC_PARKIN,8.00,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,17/04/2023,ALDI,85.10,"GROCERY STORES, SUPERMARKETS"
People Services,18/04/2023,AMZNMKTPLACE,36.48,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/04/2023,AMZNMKTPLACE,344.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/04/2023,EE TOPUP  VESTA,30.00,TELECOM INCL PREPAID/RECURRING PHONE SVCS
People Services,19/04/2023,EE TOPUP  VESTA,30.00,TELECOM INCL PREPAID/RECURRING PHONE SVCS
People Services,19/04/2023,SPORTSDIRECT.COM,87.99,"SPORTS APPAREL, RIDING APPAREL STORES"
People Services,20/04/2023,AMZNMKTPLACE,85.49,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/04/2023,AMZNMKTPLACE,123.77,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/04/2023,BOOTS UK ECOMM,-25.00,"DRUG STORES, PHARMACIES"
People Services,28/04/2023,AMZNMKTPLACE,35.32,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/05/2023,AMZNMKTPLACE,218.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/05/2023,AMZNMKTPLACE,75.08,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/05/2023,B&M 465 - HS DERBY,£173.76,SUNDRY GENERAL MERCHANDISE
People Services,04/05/2023,ASDA GEORGE COM LEEDS,£177.00,"GROCERY STORES, SUPERMARKETS"
People Services,04/05/2023,AMZNMKTPLACE,£8.81,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/05/2023,AMZNMKTPLACE,£31.88,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/05/2023,AMZNMKTPLACE,£8.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/05/2023,B&M 465 - HS DERBY,£143.49,SUNDRY GENERAL MERCHANDISE
People Services,04/05/2023,AMZNMKTPLACE,£52.96,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/05/2023,THE RANGE,£110.85,SUNDRY HOUSE FURNISHING SPECIALTY SHOPS
People Services,05/05/2023,B&M 465 - HS DERBY,£161.38,SUNDRY GENERAL MERCHANDISE
People Services,05/05/2023,AMZNMKTPLACE,£30.88,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/05/2023,B&Q LTD,£72.00,"BUILDING MATERIALS, LUMBER STORES"
People Services,09/05/2023,DUNELM LTD,£83.20,"DRAPERY, UPHOLSTERY AND WINDOW COVERINGS SHOPS"
People Services,09/05/2023,WEST MIDLAND SAFARI PA,£44.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,09/05/2023,JB GLOBAL LTD,£149.99,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
People Services,09/05/2023,B & Q 1328,£7.10,HOME SUPPLY WAREHOUSE STORES
People Services,09/05/2023,B&M 574 - SPONDON,£169.31,SUNDRY GENERAL MERCHANDISE
People Services,11/05/2023,IKEA LTD 263 NOTTINGHA,£65.00,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
People Services,11/05/2023,IKEA LTD 263 NOTTINGHA,£495.00,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
People Services,19/05/2023,AMZNMKTPLACE,£23.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/05/2023,THE RANGE,£237.92,SUNDRY HOUSE FURNISHING SPECIALTY SHOPS
People Services,19/05/2023,B&M 006 - DARLEY,£19.96,SUNDRY GENERAL MERCHANDISE
People Services,19/05/2023,IKEA LTD 263 NOTTINGHA,£745.50,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
People Services,22/05/2023,CO-OP GROUP FOOD,£3.35,"GROCERY STORES, SUPERMARKETS"
People Services,22/05/2023,CO-OP GROUP FOOD,£6.85,"GROCERY STORES, SUPERMARKETS"
People Services,23/05/2023,TVLICENSING.CO.UK,£159.00,"CONSULTING, MANAGEMENT AND PUBLIC RELATIONS SVCS"
People Services,24/05/2023,OFSTED INTERNET,£910.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,24/05/2023,WWW.ARGOS.CO.UK,£11.99,DEPARTMENT STORES
People Services,24/05/2023,AMZNMKTPLACE AMAZON.CO,£14.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/05/2023,AMZNMKTPLACE AMAZON.CO,£68.77,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE AMAZON.CO,£5.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE AMAZON.CO,£95.88,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE,£14.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/05/2023,AMZNMKTPLACE AMAZON.CO,£9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/05/2023,AMZNMKTPLACE,£37.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£23.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£6.85,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE AMAZON.CO,£6.85,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/06/2023,B&Q LTD,£28.00,"BUILDING MATERIALS, LUMBER STORES"
People Services,06/06/2023,ASDA SUPERSTORE,£17.75,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,THE RANGE,£132.37,SUNDRY HOUSE FURNISHING SPECIALTY SHOPS
People Services,07/06/2023,SUPERDRUG STORES PLC,£4.49,"DRUG STORES, PHARMACIES"
People Services,07/06/2023,REVOLVE,£23.10,MEN'S AND WOMEN'S CLOTHING STORES
People Services,07/06/2023,BOOTS 0023,£40.28,"DRUG STORES, PHARMACIES"
People Services,08/06/2023,PRIMARK 546,£33.80,FAMILY CLOTHING STORES
People Services,09/06/2023,AMAZON.CO.UK 2P6JW3TZ5,£32.00,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,09/06/2023,BOOTS 6566,£57.96,"DRUG STORES, PHARMACIES"
People Services,09/06/2023,HERON FOODS OSMASTON R,£7.77,"GROCERY STORES, SUPERMARKETS"
People Services,12/06/2023,AMAZON.CO.UK ZQ2DV3OZ5,£199.68,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,13/06/2023,WWW.THERANGE.CO.UK,£201.99,SUNDRY HOUSE FURNISHING SPECIALTY SHOPS
People Services,13/06/2023,ASDA GROCERIES ONLINE,£104.55,"GROCERY STORES, SUPERMARKETS"
People Services,13/06/2023,AMZNMKTPLACE AMAZON.CO,£123.44,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,13/06/2023,ASDA GROCERIES ONLINE,-£2.09,"GROCERY STORES, SUPERMARKETS"
People Services,14/06/2023,AMZNMKTPLACE,£103.90,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,AMZNMKTPLACE,£6.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,AMZNMKTPLACE,£10.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/06/2023,DERBION CENTRE,£2.50,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,15/06/2023,KASPAS DESSERTS,£4.50,"EATING PLACES, RESTAURANTS"
People Services,15/06/2023,KASPAS DESSERTS,£41.10,"EATING PLACES, RESTAURANTS"
People Services,15/06/2023,TESCO STORE,£40.00,"GROCERY STORES, SUPERMARKETS"
People Services,19/06/2023,HALFORDS 0709,£450.00,BICYCLE SHOPS - SALES AND SERVICE
People Services,19/06/2023,AMZNMKTPLACE,£188.85,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,DERBY C CNCL/ASSEMBLY,£3.00,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,19/06/2023,GREGGS PLC,£2.70,"EATING PLACES, RESTAURANTS"
People Services,27/06/2023,AMZNMKTPLACE,£33.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE,6.37,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/04/2023,TEAM SPORT KARTING,63.18,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
People Services,06/04/2023,AMZNMKTPLACE,20.48,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/04/2023,AMZNMKTPLACE,30.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/04/2023,NW LEICESTER,65.80,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,11/04/2023,AMZNMKTPLACE,45.89,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/04/2023,AMZNMKTPLACE,21.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/04/2023,ASDA STORES LTD,100.00,"GROCERY STORES, SUPERMARKETS"
People Services,11/04/2023,AMZNMKTPLACE,5.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/04/2023,ASDA STORES LTD,-100.00,"GROCERY STORES, SUPERMARKETS"
People Services,12/04/2023,HOBBYCRAFT TRADING LIM,100.00,"ARTIST SUPPLY STORES, CRAFT SHOPS"
People Services,13/04/2023,CLIPNCLIMBDERBY,27.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,14/04/2023,ALTON TOWERS,59.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
People Services,17/04/2023,ALTON TOWERS,44.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
People Services,18/04/2023,AMZNMKTPLACE,9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/04/2023,AMAZON.CO.UK 4D9KO5QY5,23.96,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,24/04/2023,COOLMED LIMITED,515.99,DENTAL/LAB/MED/OPHTHALMIC HOSP EQUIP & SUPPLIES
People Services,24/04/2023,VICTORIAN PLUMBING LTD,28.39,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS
People Services,24/04/2023,FIRSTAID4LESS,110.28,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
People Services,25/04/2023,PARENTPAY E-COM R,20.00,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES"
People Services,25/04/2023,BUYATAB - ALDI,100.00,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS"
People Services,26/04/2023,VOUCHER EXPRESS,150.00,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,26/04/2023,B&Q LTD,34.01,"BUILDING MATERIALS, LUMBER STORES"
People Services,02/05/2023,DISPLATE COM,48.15,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)"
People Services,03/05/2023,AMZNMKTPLACE AMAZON.CO,£8.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/05/2023,AMZN MKTP UK ZJ82L6U55,£14.60,BOOK STORES
People Services,04/05/2023,AMZNMKTPLACE AMAZON.CO,£7.32,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/05/2023,DUNELM LTD,£169.00,"DRAPERY, UPHOLSTERY AND WINDOW COVERINGS SHOPS"
People Services,05/05/2023,AO RETAIL LIMITED,£40.00,HOUSEHOLD APPLIANCE STORES
People Services,05/05/2023,B&M 465 - HS DERBY,£186.47,SUNDRY GENERAL MERCHANDISE
People Services,05/05/2023,WWW.ARGOS.CO.UK,£245.00,DEPARTMENT STORES
People Services,09/05/2023,BUYATAB - ALDI,£100.00,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS"
People Services,09/05/2023,AMZNMKTPLACE AMAZON.CO,£16.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/05/2023,HOBBYCRAFT TRADING LIM,£55.00,"ARTIST SUPPLY STORES, CRAFT SHOPS"
People Services,12/05/2023,SAINSBURYS SMKT,£58.64,"GROCERY STORES, SUPERMARKETS"
People Services,26/05/2023,AMZNMKTPLACE,£33.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,31/05/2023,ALTON TOWERS,£49.00,"THEATRICAL PRODUCERS(EXCL MOTION PIX),TICKET AGNCY"
People Services,01/06/2023,ARAMARK ALTON TOWERS,£11.50,CATERERS
People Services,01/06/2023,MERLIN ATTRACTIONS OPE,£3.00,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,01/06/2023,FOREST FEAST,£16.94,"EATING PLACES, RESTAURANTS"
People Services,02/06/2023,ODEON CINEMAS,£25.00,MOTION PICTURE THEATRES
People Services,02/06/2023,AMZNMKTPLACE,£13.55,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/06/2023,CLIPNCLIMBDERBY,£27.00,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,07/06/2023,AMZNMKTPLACE,£25.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,07/06/2023,TED BAKER,£37.95,FAMILY CLOTHING STORES
People Services,08/06/2023,AMZNMKTPLACE,£10.29,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/06/2023,AMZNMKTPLACE AMAZON.CO,£10.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,22/06/2023,CURRYS ONLINE,£349.00,ELECTRONIC SALES
People Services,22/06/2023,SP NO SAUCE THE PLUG,£259.98,MEN'S AND WOMEN'S CLOTHING STORES
People Services,23/06/2023,NIKE GBP,£109.95,"SPORTS APPAREL, RIDING APPAREL STORES"
People Services,26/06/2023,BUYATAB - ALDI,£100.00,"GIFT, CARD, NOVELTY AND SOUVENIR SHOPS"
People Services,28/06/2023,SP FRESHTODEATH UK,£29.99,ACCESSORY AND APPAREL SHOPS - MISCELLANEOUS
People Services,28/06/2023,ODEON CINEMAS,£28.00,MOTION PICTURE THEATRES
People Services,30/06/2023,WWW.ARGOS.CO.UK,£49.99,DEPARTMENT STORES
People Services,30/06/2023,BIRDS BAKERY,£2.05,BAKERIES
People Services,03/07/2023,AMZNMKTPLACE,£4.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMZNMKTPLACE,£8.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,DERBY COUNTY FOOTBALL,£199.50,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF"
People Services,03/07/2023,WWW.ARGOS.CO.UK,£69.99,DEPARTMENT STORES
People Services,03/07/2023,SP TRAPSTAR LONDON,£190.45,MEN'S AND WOMEN'S CLOTHING STORES
Corporate Resources,04/04/2023,AWS EMEA,78.29,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
Corporate Resources,24/04/2023,AMZNMKTPLACE,107.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,24/04/2023,AMZNMKTPLACE AMAZON.CO,35.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,02/05/2023,ZOHO-DESK,182.97,COMPUTER SOFTWARE STORES
Corporate Resources,02/05/2023,,5.03,
Corporate Resources,03/05/2023,AWS EMEA,£74.14,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
Corporate Resources,03/05/2023,AMZNMKTPLACE AMAZON.CO,£18.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,09/05/2023,AMZNMKTPLACE,£38.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,17/05/2023,AMZNMKTPLACE,£35.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,18/05/2023,AMZNMKTPLACE AMAZON.CO,£35.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,23/05/2023,RICS COM GBP CYBS,£60.00,"ORGANISATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED"
Corporate Resources,24/05/2023,AMAZON.CO.UK UC2S07SX5,£20.96,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,26/05/2023,AMAZON.CO.UK 1Y0W76N15,£32.40,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,30/05/2023,AMZNMKTPLACE AMAZON.CO,£13.18,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,30/05/2023,HTTP://WWW.SHEILDS,£170.00,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES"
Corporate Resources,30/05/2023,AMZNMKTPLACE AMAZON.CO,£19.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,30/05/2023,AMZNMKTPLACE,£13.18,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,30/05/2023,AMZNMKTPLACE,£13.18,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,31/05/2023,AMZNMKTPLACE AMAZON.CO,£13.18,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,31/05/2023,AMZNMKTPLACE,£35.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
