Body Name,Body,Date,Department,Beneficiary,Summary of Purpose (SeRCOP),Amount SUM,Merchant Code,Transaction Number,Supplier ID
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CITIZENS ADVICE SANDWELL & WALSALL,Childrens Services,1825.53,Grants,2324P12_CR00071,01760899
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CLB MUSIC SERVICES LTD,Childrens Services,600.00,Externally Purchased Professional Services ,2324P12_CR00072,163924
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CLB MUSIC SERVICES LTD,Childrens Services,600.00,Externally Purchased Professional Services ,2324P12_CR00073,163924
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,2550.65,Public Transport,2324P12_CR00074,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,06-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,309870.61,Public Transport,2324P12_CR00075,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,18-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,131323.96,Public Transport,2324P12_CR00076,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,18-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,166891.00,Public Transport,2324P12_CR00077,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,128019.51,Public Transport,2324P12_CR00078,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,466303.75,Public Transport,2324P12_CR00079,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,20-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,89615.12,Public Transport,2324P12_CR00080,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,20-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,322121.30,Public Transport,2324P12_CR00081,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,20-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,104326.86,Public Transport,2324P12_CR00082,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,20-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,23226.41,Public Transport,2324P12_CR00083,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,20-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,72541.24,Public Transport,2324P12_CR00084,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,26533.26,Public Transport,2324P12_CR00085,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,99908.64,Public Transport,2324P12_CR00086,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,22-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,81396.03,Public Transport,2324P12_CR00087,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,COUNTY CARS (2003) LIMITED,Childrens Services,345243.97,Public Transport,2324P12_CR00088,06002387
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CPC TRAINING CONSULTANTS LTD,Childrens Services,916.65,Discretionary Awards,2324P12_CR00089,91345
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CPC TRAINING CONSULTANTS LTD,Childrens Services,549.99,Discretionary Awards,2324P12_CR00090,91345
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CPC TRAINING CONSULTANTS LTD,Childrens Services,549.99,Discretionary Awards,2324P12_CR00091,91345
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CPC TRAINING CONSULTANTS LTD,Childrens Services,916.65,Discretionary Awards,2324P12_CR00092,91345
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CPC TRAINING CONSULTANTS LTD,Childrens Services,916.65,Discretionary Awards,2324P12_CR00093,91345
Sandwell Metropolitan Borough Council,http://www.sandwell.gov.uk/info/200202/performance_and_spending/1079/payments_over_500,01-Mar-2024,Childrens Services,CUSTODIAN GROUP LTD,Childrens Services,630.00,Rents,2324P12_CR00094,151637
