Nov-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Fostering - Hull City Council,Safeguarding
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Permanency Teams,Safeguarding
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Virtual School for LAC,Learning and Skills
HCC,Hull City Council,01/11/2023,11798155,13.9,A B ROOMS & SON LIMITED,01180091,Youth Offending Team Manager,Early Intervention
HCC,Hull City Council,10/11/2023,11819686,20,A B ROOMS & SON LIMITED,01180091,Day Services,Adults Social Care
HCC,Hull City Council,13/11/2023,11819986,24,A B ROOMS & SON LIMITED,01180091,R&M - Citywide,Neighbourhoods & Housing
HCC,Hull City Council,14/11/2023,11821359,704,A B ROOMS & SON LIMITED,01180091,Grounds & Open Spaces Development,Street Scene Services
HCC,Hull City Council,15/11/2023,11817666,4.2,A B ROOMS & SON LIMITED,01180091,Expenditure,Corporate Finance
HCC,Hull City Council,16/11/2023,11831411,62.27,A B ROOMS & SON LIMITED,01180091,Community Initatives Budget,CAPITAL
HCC,Hull City Council,17/11/2023,11837559,10.5,A B ROOMS & SON LIMITED,01180091,Early Years & Childcare,Early Intervention
HCC,Hull City Council,20/11/2023,11813306,35,A B ROOMS & SON LIMITED,01180091,Allocations Team,Neighbourhoods & Housing
HCC,Hull City Council,24/11/2023,11851567,395,A B ROOMS & SON LIMITED,01180091,Ferensway/Treasury - Refurbishment,CAPITAL
HCC,Hull City Council,27/11/2023,11848405,15,A B ROOMS & SON LIMITED,01180091,Learner Services,Economic Development and Regeneration
HCC,Hull City Council,27/11/2023,11851726,149,A B ROOMS & SON LIMITED,01180091,Grounds & Open Spaces Development,Street Scene Services
HCC,Hull City Council,28/11/2023,11846049,3.5,A B ROOMS & SON LIMITED,01180091,Expenditure,Corporate Finance
HCC,Hull City Council,29/11/2023,11857804,70,A B ROOMS & SON LIMITED,01180091,Grounds & Open Spaces Development,Street Scene Services
HCC,Hull City Council,23/11/2023,11844987,174.25,A C ENTERTAINMENT TECHNOLOGIES LTD,01300992,Expenditure,Corporate Finance
HCC,Hull City Council,20/11/2023,11838379,366.64,A FLETCHER & SONS,01270396,Coroner's Office,Customer Services
HCC,Hull City Council,17/11/2023,11837562,3830,A FLOWERS DECORATORS,01060349,Early Years & Childcare,Early Intervention
HCC,Hull City Council,03/11/2023,11409278,400,A1 EDUCATION & TRAINING LTD,10157566,Training - ASC,Organisation Development & Human Resources
HCC,Hull City Council,17/11/2023,11837548,747,A1 EDUCATION & TRAINING LTD,10157566,Training - Health and Safety,Organisation Development & Human Resources
