Aug-23,,,,,,,,
Body,Body Name,Effective Date,Transaction Number,Amount,Supplier Name,Supplier Number,Expense Area,Service Area
HCC,Hull City Council,17/08/2023,11409406,£39.24,A B ROOMS & SON LIMITED,01180091,Domestic Refuse Collection,Street Scene Services
HCC,Hull City Council,10/08/2023,11380941,£1.09,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,10/08/2023,11380942,£0.82,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,10/08/2023,11380944,£1.09,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,10/08/2023,11380945,£1.64,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,10/08/2023,11380946,£2.73,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,10/08/2023,11381927,£1.64,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,17/08/2023,11409405,£1.59,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,17/08/2023,11409783,£2.12,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,18/08/2023,11409788,£5.29,A B ROOMS & SON LIMITED,01180091,Highways Operations,Street Scene Services
HCC,Hull City Council,03/08/2023,11357630,"£1,089.33",REDACTED,10022713,Fostering - Hull City Council,Safeguarding
HCC,Hull City Council,17/08/2023,11409908,"£1,381.72",REDACTED,10022713,Fostering - Hull City Council,Safeguarding
HCC,Hull City Council,31/08/2023,11444429,£830.00,REDACTED,10022713,Fostering - Hull City Council,Safeguarding
HCC,Hull City Council,17/08/2023,11409909,£234.00,REDACTED,10022713,"Staying Put ""In House""",Safeguarding
HCC,Hull City Council,02/08/2023,11352975,£100.88,A FLETCHER & SONS,01270396,Coroner's Office,Customer Services
HCC,Hull City Council,23/08/2023,11387195,£280.00,A FLOWERS DECORATORS,01060349,Preston Road High Dependency Unit,Adults Social Care
HCC,Hull City Council,23/08/2023,11388195,£210.00,A FLOWERS DECORATORS,01060349,Preston Road High Dependency Unit,Adults Social Care
HCC,Hull City Council,23/08/2023,11361321,"£1,720.00",A FLOWERS DECORATORS,01060349,Capital Repairs - Contingency,CAPITAL
HCC,Hull City Council,23/08/2023,11389197,"£1,980.00",A FLOWERS DECORATORS,01060349,Capital Repairs - Contingency,CAPITAL
HCC,Hull City Council,23/08/2023,11391195,£685.00,A FLOWERS DECORATORS,01060349,Capital Repairs - Contingency,CAPITAL
HCC,Hull City Council,31/08/2023,11433360,"£1,480.00",A FLOWERS DECORATORS,01060349,Capital Repairs - Contingency,CAPITAL
HCC,Hull City Council,09/08/2023,11375316,"£1,160.00",A FLOWERS DECORATORS,01060349,Early Years & Childcare,Early Intervention
HCC,Hull City Council,24/08/2023,11435601,"£4,770.00",A FLOWERS DECORATORS,01060349,Early Years & Childcare,Early Intervention
HCC,Hull City Council,24/08/2023,11435603,"£1,900.00",A FLOWERS DECORATORS,01060349,Early Years & Childcare,Early Intervention
HCC,Hull City Council,24/08/2023,11424231,"£3,470.00",A FLOWERS DECORATORS,01060349,Managed Workspace Centres - General,Property & Assets
HCC,Hull City Council,07/08/2023,11357509,£380.00,A FLOWERS DECORATORS,01060349,R & M Commercial Portfolio,Property & Assets
HCC,Hull City Council,23/08/2023,11389195,£390.00,A FLOWERS DECORATORS,01060349,R & M Commercial Portfolio,Property & Assets
HCC,Hull City Council,16/08/2023,11235584,£250.00,A FLOWERS DECORATORS,01060349,R & M HCAL,Property & Assets
HCC,Hull City Council,03/08/2023,11357451,£660.00,A FLOWERS DECORATORS,01060349,R & M HCAL,Property & Assets
HCC,Hull City Council,23/08/2023,11361304,£570.00,A FLOWERS DECORATORS,01060349,R & M HCAL,Property & Assets
HCC,Hull City Council,23/08/2023,11390195,£390.00,A FLOWERS DECORATORS,01060349,R & M Other Corporate Property,Property & Assets
HCC,Hull City Council,09/08/2023,11349969,£680.00,A FLOWERS T/A RON FLOWERS.,01280287,Capital Repairs - Contingency,CAPITAL
HCC,Hull City Council,03/08/2023,11254895,£292.00,A FLOWERS T/A RON FLOWERS.,01280287,R & M Other Corporate Property,Property & Assets
HCC,Hull City Council,31/08/2023,11459320,£570.00,A FLOWERS T/A RON FLOWERS.,01280287,R & M Other Corporate Property,Property & Assets
HCC,Hull City Council,17/08/2023,11409892,£219.79,REDACTED,10017538,Residence General - (Care First),Safeguarding
HCC,Hull City Council,03/08/2023,11357617,£152.08,REDACTED,10017842,Residence General - (Care First),Safeguarding
HCC,Hull City Council,03/08/2023,11357618,£544.30,REDACTED,10017842,Residence General - (Care First),Safeguarding
HCC,Hull City Council,17/08/2023,11409893,£277.27,REDACTED,10017842,Residence General - (Care First),Safeguarding
HCC,Hull City Council,17/08/2023,11409894,£585.00,REDACTED,10017842,Residence General - (Care First),Safeguarding
HCC,Hull City Council,31/08/2023,11444417,£161.96,REDACTED,10017842,Residence General - (Care First),Safeguarding
HCC,Hull City Council,31/08/2023,11444418,£585.00,REDACTED,10017842,Residence General - (Care First),Safeguarding
HCC,Hull City Council,03/08/2023,11357652,£218.80,REDACTED,10031545,Residence General - (Care First),Safeguarding
HCC,Hull City Council,17/08/2023,11409935,£372.87,REDACTED,10031545,Residence General - (Care First),Safeguarding
HCC,Hull City Council,31/08/2023,11444450,£233.02,REDACTED,10031545,Residence General - (Care First),Safeguarding
HCC,Hull City Council,17/08/2023,11345686,£325.00,A STAR REMOVALS,10083003,Localities North - Team 1,Safeguarding
HCC,Hull City Council,22/08/2023,11422352,"£1,236.48",REDACTED,01313143,Shared Lives,Adults Social Care
HCC,Hull City Council,03/08/2023,11357572,£924.20,REDACTED,01318695,Residence General - (Care First),Safeguarding
HCC,Hull City Council,17/08/2023,11409844,"£1,382.86",REDACTED,01318695,Residence General - (Care First),Safeguarding
HCC,Hull City Council,31/08/2023,11444372,£966.40,REDACTED,01318695,Residence General - (Care First),Safeguarding
HCC,Hull City Council,02/08/2023,11357117,"£7,221.18",AA GAS SERVICES,10058174,Disabled Facilities Grant,CAPITAL
HCC,Hull City Council,18/08/2023,11414195,"£12,138.80",AA GLOBAL LANGUAGES SERVICES LTD,10035259,Interpretation & Translation Service,Digital & ICT
HCC,Hull City Council,01/08/2023,11356003,£70.00,REDACTED,10157601,Care Leavers,Safeguarding
HCC,Hull City Council,08/08/2023,11374994,£70.00,REDACTED,10157601,Care Leavers,Safeguarding
HCC,Hull City Council,15/08/2023,11393242,£70.00,REDACTED,10157601,Care Leavers,Safeguarding
HCC,Hull City Council,03/08/2023,11358379,£518.40,REDACTED,10151977,Residence General - (Care First),Safeguarding
HCC,Hull City Council,17/08/2023,11410735,£879.94,REDACTED,10151977,Residence General - (Care First),Safeguarding
HCC,Hull City Council,31/08/2023,11445165,£550.00,REDACTED,10151977,Residence General - (Care First),Safeguarding
HCC,Hull City Council,03/08/2023,11361007,£312.00,ABBEY COURT SCHOOL,10143561,Virtual School for LAC,Learning and Skills
HCC,Hull City Council,31/08/2023,11449206,£80.00,ABBEY GLEN LIMITED,10107955,Food Health & Safety,Health and Wellbeing
HCC,Hull City Council,28/08/2023,11444701,£495.00,ABBEY TRAVEL LTD,01270005,Early Years & Childcare,Early Intervention
