Proclass,Proclass(T),Supplier,Supplier(T) ,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054119,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054428,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054631,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054379,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054379,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20053910,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054152,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054152,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20053910,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20053910,202301,04/04/2023,531.61,
321017,Residential Care,405760,Abbey House,People,11947,OP Residential Care Placements,R5008,Other agencies,20054428,202301,04/04/2023,531.61,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054429,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054511,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054230,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054189,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053893,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053893,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054230,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054230,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054429,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054429,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054189,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054189,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053973,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053973,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053893,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054511,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20054511,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053973,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053969,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053969,202301,04/04/2023,510.27,
321017,Residential Care,405761,Abbeyfield Coventry Society,People,11947,OP Residential Care Placements,R5008,Other agencies,20053969,202301,04/04/2023,510.27,
181100,Forensic & Laboratory,408575,Abbott Toxicology Limited,People,10558,FDAC - Family Drug and Alcohol Court,R4401,Services - Fees and Charges,3684770,202301,31/03/2023,3265.65,
261520,Training,417398,Ability Smart Limited,People,10876,"SEN - Outreach, Casework & Supported Internships",R1651,Training (Employer Costs),3684585,202301,07/11/2022,1968,
391111,Buildings Repair & Maintenance,421505,AC Building Services Ltd,Place,11288,Compliance,R2079,Property Repairs & Maintenance - Servicing,3680091,202301,30/03/2023,1650,
391111,Buildings Repair & Maintenance,421505,AC Building Services Ltd,Place,11288,Compliance,R2077,Property Repairs & Maintenance - Reactive,3680237,202301,30/03/2023,1264.1,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054019,202301,04/04/2023,1728.72,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054019,202301,04/04/2023,1728.72,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054019,202301,04/04/2023,1234.8,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054293,202301,04/04/2023,610.46,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054349,202301,04/04/2023,976.05,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054447,202301,04/04/2023,522.74,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054447,202301,04/04/2023,522.74,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054447,202301,04/04/2023,522.74,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054293,202301,04/04/2023,2136.6,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054349,202301,04/04/2023,976.05,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054349,202301,04/04/2023,697.18,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054293,202301,04/04/2023,2136.6,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054293,202301,04/04/2023,1526.14,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054293,202301,04/04/2023,2136.6,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054246,202301,04/04/2023,1019.96,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054349,202301,04/04/2023,976.05,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054019,202301,04/04/2023,1728.72,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054246,202301,04/04/2023,1019.96,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054246,202301,04/04/2023,1019.96,
321017,Residential Care,416401,Accomplish Group Ltd,People,11301,MH Residential Care Placements,R5008,Other agencies,20054246,202301,04/04/2023,728.54,
321017,Residential Care,416401,Accomplish Group Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20054392,202301,04/04/2023,696.04,
321017,Residential Care,416401,Accomplish Group Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20054392,202301,04/04/2023,696.04,
321017,Residential Care,416401,Accomplish Group Ltd,People,11947,OP Residential Care Placements,R5008,Other agencies,20054392,202301,04/04/2023,696.04,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054082,202301,04/04/2023,2484.52,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054082,202301,04/04/2023,2484.52,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054082,202301,04/04/2023,1774.66,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054082,202301,04/04/2023,709.86,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054036,202301,04/04/2023,1860.68,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054036,202301,04/04/2023,1329.06,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054036,202301,04/04/2023,531.62,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054036,202301,04/04/2023,1860.68,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054036,202301,04/04/2023,1860.68,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054082,202301,04/04/2023,2484.52,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054028,202301,04/04/2023,2058.06,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054028,202301,04/04/2023,1470.04,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054028,202301,04/04/2023,588.02,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054028,202301,04/04/2023,2058.06,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054028,202301,04/04/2023,2058.06,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054033,202301,04/04/2023,1749.56,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054030,202301,04/04/2023,2694.28,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054030,202301,04/04/2023,2694.28,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054030,202301,04/04/2023,1924.49,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054030,202301,04/04/2023,769.79,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054030,202301,04/04/2023,2694.28,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054033,202301,04/04/2023,1749.56,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054033,202301,04/04/2023,1749.56,
321017,Residential Care,416401,Accomplish Group Ltd,People,10257,LD Residential Care Placements,R5008,Other agencies,20054033,202301,04/04/2023,1249.69,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055071,202301,04/04/2023,1971.59,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055071,202301,04/04/2023,1971.59,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055071,202301,04/04/2023,1408.28,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055071,202301,04/04/2023,563.31,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055071,202301,04/04/2023,1971.59,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055102,202301,04/04/2023,631.59,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055102,202301,04/04/2023,631.59,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,11851,MH Supported and other Accommodation,R5008,Other agencies,20055102,202301,04/04/2023,631.59,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20053802,202301,04/04/2023,595.01,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,587.51,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,-681.45,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,-681.45,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,-681.45,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055050,202301,04/04/2023,657.2,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055050,202301,04/04/2023,657.2,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055050,202301,04/04/2023,657.2,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20053802,202301,04/04/2023,2082.54,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20053802,202301,04/04/2023,2082.54,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20053802,202301,04/04/2023,1487.53,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,-681.45,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,-681.45,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,-681.45,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20055121,202301,04/04/2023,571.85,
320000,Social Community Care Supplies & Services,405766,Accord Housing Association Ltd,People,10789,OP Supported and other Accommodation,R5008,Other agencies,20053802,202301,04/04/2023,2082.54,
321014,Domiciliary Care,405767,Accord Housing Association Ltd,People,10722,OP Home Care,R5008,Other agencies,20053798,202301,04/04/2023,682.2,
321014,Domiciliary Care,405767,Accord Housing Association Ltd,People,10722,OP Home Care,R5008,Other agencies,20053798,202301,04/04/2023,11998.35,
321014,Domiciliary Care,405767,Accord Housing Association Ltd,People,10722,OP Home Care,R5008,Other agencies,20053798,202301,04/04/2023,2387.7,
321014,Domiciliary Care,405767,Accord Housing Association Ltd,People,10722,OP Home Care,R5008,Other agencies,20053798,202301,04/04/2023,1705.5,
