Proclass,Proclass(T),Supplier,Supplier (T),Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,327.17"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,982.66"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,729.74"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,807.06
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,729.74"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,729.74"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,982.66"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,327.17"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,982.66"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,11043,Central Social Worker Caseholding Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,729.74"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10232,Children´s Disability,R1100,Agency Staff,20143074,202311,29/02/2024,681.52
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10232,Children´s Disability,R1100,Agency Staff,20143074,202311,29/02/2024,"1,327.17"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10232,Children´s Disability,R1100,Agency Staff,20143074,202311,29/02/2024,"1,076.08"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10300,Internal Fostering Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,518.09"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10300,Internal Fostering Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,518.09"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10300,Internal Fostering Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,518.09"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10300,Internal Fostering Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,518.09"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,380.16"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,395.06"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,377.76"
261400,Temporary & Agency Staff,402374,Hays Specialist Recruitment Ltd,People,10317,MH Community Mental Health Team,R1100,Agency Staff,20143074,202311,29/02/2024,"1,355.29"
