Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,427437,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126828,202310,07/01/2024,540,
320000,Social Community Care Supplies & Services,414758,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126698,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,414758,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126698,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,414758,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126698,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,414758,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126698,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,407207,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126565,202310,07/01/2024,907.04,
320000,Social Community Care Supplies & Services,407207,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126565,202310,07/01/2024,907.04,
320000,Social Community Care Supplies & Services,407207,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126565,202310,07/01/2024,907.04,
320000,Social Community Care Supplies & Services,407207,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126565,202310,07/01/2024,907.04,
320000,Social Community Care Supplies & Services,427732,REDACTED PERSONAL DATA,People,11844,MH Direct Payments,R6290,Client Support,20126720,202310,07/01/2024,999.92,
320000,Social Community Care Supplies & Services,427732,REDACTED PERSONAL DATA,People,11844,MH Direct Payments,R6290,Client Support,20126720,202310,07/01/2024,999.92,
320000,Social Community Care Supplies & Services,427732,REDACTED PERSONAL DATA,People,11844,MH Direct Payments,R6290,Client Support,20126720,202310,07/01/2024,999.92,
320000,Social Community Care Supplies & Services,427732,REDACTED PERSONAL DATA,People,11844,MH Direct Payments,R6290,Client Support,20126720,202310,07/01/2024,999.92,
320000,Social Community Care Supplies & Services,418443,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126700,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,418443,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126700,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,418443,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126700,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,418443,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126700,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,427574,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126712,202310,07/01/2024,820,
320000,Social Community Care Supplies & Services,427574,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126712,202310,07/01/2024,820,
320000,Social Community Care Supplies & Services,427574,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126712,202310,07/01/2024,820,
320000,Social Community Care Supplies & Services,427574,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126712,202310,07/01/2024,820,
320000,Social Community Care Supplies & Services,423011,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126674,202310,07/01/2024,630,
320000,Social Community Care Supplies & Services,423011,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126674,202310,07/01/2024,630,
320000,Social Community Care Supplies & Services,423011,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126674,202310,07/01/2024,630,
320000,Social Community Care Supplies & Services,423011,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126674,202310,07/01/2024,630,
320000,Social Community Care Supplies & Services,427733,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126730,202310,07/01/2024,770,
320000,Social Community Care Supplies & Services,427733,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126730,202310,07/01/2024,770,
320000,Social Community Care Supplies & Services,427733,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126730,202310,07/01/2024,770,
320000,Social Community Care Supplies & Services,427733,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126730,202310,07/01/2024,770,
320000,Social Community Care Supplies & Services,413073,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126824,202310,07/01/2024,805.51,
320000,Social Community Care Supplies & Services,413073,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126824,202310,07/01/2024,805.51,
320000,Social Community Care Supplies & Services,413073,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126824,202310,07/01/2024,805.51,
320000,Social Community Care Supplies & Services,413073,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126824,202310,07/01/2024,805.51,
320000,Social Community Care Supplies & Services,407320,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126696,202310,07/01/2024,2080,
320000,Social Community Care Supplies & Services,407320,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126696,202310,07/01/2024,2080,
320000,Social Community Care Supplies & Services,407320,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126696,202310,07/01/2024,2080,
320000,Social Community Care Supplies & Services,407320,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126696,202310,07/01/2024,2080,
320000,Social Community Care Supplies & Services,427200,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126787,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,427200,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126787,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,427200,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126787,202310,07/01/2024,700,
320000,Social Community Care Supplies & Services,427200,REDACTED PERSONAL DATA,People,11174,OP Direct Payments,R6290,Client Support,20126787,202310,07/01/2024,700,
