Authority,Departments,Spending area,Expense type,Posting date,Doc ref,Amount,Cap / Rev,Supplier name (Amended)
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45180,2216153884,1120,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45180,2216153884,570,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45180,2216153884,702.6,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Equipment,45180,2216153884,1089,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Rent,45191,4510274272,16000,R,DTZ DTL Ltd
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Hamilton Rd Site,Uniform Business Rates,45195,3500255993,3635,R,BASINGSTOKE & DEANE BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Disability Aids and Equipment,45183,2216159587,1250,R,ROMA MEDICAL AIDS LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Disability Aids and Equipment,45183,2216159587,1420,R,ROMA MEDICAL AIDS LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45183,2216159712,780,R,DAVID COVER & SON LTD
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45197,2216184679,1410,R,Hall & Pickles
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45197,2216184679,735,R,Hall & Pickles
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45197,2216184679,660,R,Hall & Pickles
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45194,2216180063,824,R,MID CHESHIRE FIXING PRODUCTS
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45194,2216180063,832,R,MID CHESHIRE FIXING PRODUCTS
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Materials,45194,2216180063,2970,R,MID CHESHIRE FIXING PRODUCTS
Hampshire County Council,Adults' Health and Care,Hamp Equip Service - Technicians,Uniform Business Rates,45195,3500256046,1262,R,FAREHAM BOROUGH COUNCIL
Hampshire County Council,Adults' Health and Care,Hampshire Adults Safeguarding Board,Hired and Contracted Services,45187,2216166598,1500,R,Personal Payments
Hampshire County Council,Adults' Health and Care,Hampshire Adults Safeguarding Board,Hired and Contracted Services,45181,2216155019,1500,R,Invigor consulting Ltd.
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45175,2216147629,510,R,Blueleaf Limited
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45176,2216148531,2590.5,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179529,2795.63,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179534,4341.32,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179536,3147.72,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179538,1902.21,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179542,1207.97,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179544,929.63,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Cleaning Materials,45194,2216179799,2711.02,R,UltraV Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216149866,1865,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216149942,1700,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45191,2216178760,750,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45191,2216178768,840,R,Aidapt Bathrooms Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45177,2216152506,761,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45187,2216166556,540.2,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45187,2216166556,836.6,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45187,2216166556,1523,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45187,2216166556,1007.1,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45187,2216166560,4444,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45187,2216166560,757.5,R,Cefndy Healthcare & Manufacturing
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45182,2216158373,10000,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45182,2216158373,10000,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45197,2216183858,5400,R,Direct Healthcare Group
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216148400,1057,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45191,2216177168,3100,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45195,2216181676,840,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45195,2216181676,2584,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45190,2216176552,1356.28,R,Invacare Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216149929,1995,R,LIFTECH SYSTEMS (SE) LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216148429,1362.5,R,OTS LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45195,2216180914,2725,R,OTS LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45194,2216179651,731.7,R,Performance Health International Lt
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45184,2216162647,512.6,R,Polybags Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216148344,5929,R,Pressure Care Management Limited
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216143155,1209.21,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216143838,1361.53,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45175,2216147537,1248.66,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45176,2216148403,1497.6,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45177,2216152332,1225.65,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45180,2216154487,2269.02,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45181,2216156231,1756.25,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45181,2216156239,1054.99,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45182,2216158343,1848.57,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45182,2216158392,1224.67,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45184,2216161966,1224.67,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45189,2216174620,1625.11,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45189,2216174631,1224.63,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45191,2216177014,1396.58,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45191,2216178786,1351.36,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45196,2216183160,1224.67,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45196,2216183161,1582.01,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45197,2216184865,1194.65,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45198,2216186582,1098.06,R,PRISM MEDICAL UK
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144217,2237.5,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144217,915.2,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144217,572.8,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144217,972,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144230,804.6,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144230,682.5,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45173,2216144230,2265,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45174,2216145658,1557,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45174,2216145658,1510,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45174,2216145658,505.5,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45174,2216145658,972,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45180,2216154295,972,R,SMITCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Disability Aids and Equipment,45190,2216176801,577.5,R,THE OXFORD CENTRE FOR ENABLEMENT
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45180,2216154286,882.5,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45191,2216177159,662.6,R,DRIVE DEVILBISS HEALTHCARE LTD
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45176,2216149639,562.6,R,Invacare Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45176,2216149639,1071.42,R,Invacare Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45182,2216157198,1143.4,R,Invacare Ltd
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45181,2216155049,776.8,R,IVANHOE BATTERIES
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45197,2216183944,1295,R,IVANHOE BATTERIES
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Equipment,45190,2216176830,1539.6,R,JOERNS HEALTHCARE
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Non System - Electricity,45195,3111333858,1690.96,R,NPOWER
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Non System - Electricity,45195,3111333866,999.16,R,NPOWER
Hampshire County Council,Adults' Health and Care,Hampshire Equipment Service Store,Rent,45191,4510274251,37150,R,MJ MAPP LTD
Hampshire County Council,Adults' Health and Care,HCC Care Trans & Bus Mgmnt,Agency Staff,45174,3111320441,3744.46,R,AMBITION 24 HOURS
Hampshire County Council,Adults' Health and Care,HCC Care Trans & Bus Mgmnt,IT Software,45182,2216158067,3979.5,R,Nourish Care Systems Ltd
Hampshire County Council,Adults' Health and Care,HCC Care Trans & Bus Mgmnt,IT Software,45182,2216158067,19669,R,Nourish Care Systems Ltd
Hampshire County Council,Adults' Health and Care,HCC Care Trans & Bus Mgmnt,IT Software,45182,2216158067,5736.69,R,Nourish Care Systems Ltd
Hampshire County Council,Adults' Health and Care,HCC Care Trans & Bus Mgmnt,Research,45177,2216152670,900,R,Easy Read Online Limited
Hampshire County Council,Adults' Health and Care,Health Check Support,Other Services,45177,2216150420,3960,R,EGGU LIMITED
Hampshire County Council,Adults' Health and Care,Health Watch Contracts,Other Services,45170,2216141018,30000,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Health Watch Contracts,Other Services,45197,2216183926,30000,R,VoiceAbility
Hampshire County Council,Adults' Health and Care,Healthy Settings (schools only),Provision of Courses,45198,2216186777,1360.47,R,No Limits (South) Ltd
Hampshire County Council,Adults' Health and Care,HICES - Continuing Health Care,Disability Aids and Equipment,45181,2216155774,1495,R,Pressure Care Management Limited
Hampshire County Council,Adults' Health and Care,HICES - Continuing Health Care,Disability Aids and Equipment,45182,2216157205,3115,R,Pressure Care Management Limited
Hampshire County Council,Adults' Health and Care,HICES - Early Years,Disability Aids and Equipment,45177,2216152328,877,R,G & S SMIRTHWAITE LTD
Hampshire County Council,Adults' Health and Care,HICES - Early Years,Disability Aids and Equipment,45190,2216176627,754,R,JAMES LECKEY DESIGN LTD
Hampshire County Council,Adults' Health and Care,HICES - Education,Disability Aids and Equipment,45170,2216142398,1798,R,Etac Limited
Hampshire County Council,Adults' Health and Care,HICES - Education,Disability Aids and Equipment,45176,2216148541,2566,R,Etac Limited
Hampshire County Council,Adults' Health and Care,HICES - Education,Disability Aids and Equipment,45176,2216148544,2566,R,Etac Limited
Hampshire County Council,Adults' Health and Care,HICES - Education,Disability Aids and Equipment,45197,2216184811,2370,R,Etac Limited
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45191,2216178787,845,R,AAT (GB) LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45195,2216181801,845,R,AAT (GB) LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45174,2216145461,3090,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45176,2216149298,3395,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45177,2216150414,1960,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45180,2216153990,1745,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45184,2216162408,1410,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45188,2216172853,1865,R,ACCORA LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45175,2216147589,2732.2,R,Advanced Seating Solutions
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45190,2216176272,1618.8,R,Advanced Seating Solutions
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45198,2216186994,1856,R,ARJO LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45198,2216187016,1856,R,ARJO LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45198,2216187037,928,R,ARJO LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45198,2216187018,920,R,Attainability UK Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45198,2216187018,920,R,Attainability UK Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45197,2216184827,1276.4,R,BES REHAB
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45176,2216148416,550,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45176,2216148439,1840,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45176,2216148537,587.1,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45177,2216152343,500,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45177,2216152461,587.1,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45184,2216162550,625.1,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45195,2216181632,501.5,R,Care & Independence Ltd
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45188,2216173110,13844.25,R,CENTROBED LTD
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45170,2216142159,599.29,R,D M ORTHOTICS
Hampshire County Council,Adults' Health and Care,HICES - Non-Contractural Referrals,Disability Aids and Equipment,45174,2216145456,599.29,R,D M ORTHOTICS
