Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   3,,,,,,
Start Date:  28 May 2023,,,,,,
End Date:   24 June 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110289708,21 Jun 2023,"1,870,767.82",
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006\1900048985,09 Jun 2023,"1,789,531.84",
LONDON UNDERGROUND LTD,SCHUNK CARBON TECHNOLOGY LIMITED,Exchange Loss Realised,1005\2000771246,15 Jun 2023,"1,747,002.00",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,Road Maintenance,1002\5110287440,14 Jun 2023,"1,730,000.00",
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5110272050,07 Jun 2023,"1,719,668.08",
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004\1901694823,07 Jun 2023,"1,690,195.69",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Civil Engineering Construction Works,1002\5110280971,01 Jun 2023,"1,637,291.53",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004\800048188,02 Jun 2023,"1,549,301.40",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Road Maintenance,1002\5110287828,21 Jun 2023,"1,505,514.31",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110281681,02 Jun 2023,"1,496,043.98",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900048972,09 Jun 2023,"1,438,627.86",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110281309,02 Jun 2023,"1,418,962.05",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900049063,23 Jun 2023,"1,396,739.22",
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES,Maintenance of Plant & Equipment,1020\5110275096,13 Jun 2023,"1,384,660.72",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900049075,23 Jun 2023,"1,382,590.19",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110287734,19 Jun 2023,"1,371,473.37",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900049077,23 Jun 2023,"1,294,435.80",
DOCKLANDS LIGHT RAILWAY,EDF ENERGY,Electricity,1012\5110277377,30 May 2023,"1,251,917.21",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900049066,23 Jun 2023,"1,221,358.11",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110284979,14 Jun 2023,"1,210,912.74",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Computer Software,1005\5110278062,21 Jun 2023,"1,135,711.07",
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005\5110280072,21 Jun 2023,"1,133,017.85",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Office Cleaning,1005\5110275019,30 May 2023,"1,131,458.89",
LUL NOMINEE BCV LIMITED,OTIS LIMITED,Escalators,1033\5110284255,14 Jun 2023,"1,122,101.00",
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012\5110280033,14 Jun 2023,"1,113,461.34",
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110283042,21 Jun 2023,"1,112,882.01",
SURFACE TRANSPORT CORP,TTC 2000 LIMITED,CCS Service Contract,1002\5110286838,14 Jun 2023,"1,112,507.76",
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Road Maintenance,1002\5110289706,21 Jun 2023,"1,106,650.31",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Signalling Systems,1005\5110280052,21 Jun 2023,"1,104,093.20",
TTL PROPERTIES LTD,CLL (BTR) LIMITED,1st Outgoing CHAPS,1040\1900005262,02 Jun 2023,"1,095,460.00",
SURFACE TRANSPORT CORP,RINGWAY INFRASTRUCTURE SERVICES LTD,Road Maintenance,1002\5110288317,21 Jun 2023,"1,047,477.21",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110281968,21 Jun 2023,"1,039,551.46",
DOCKLANDS LIGHT RAILWAY,BUCKINGHAM GROUP CONTRACTING LTD,Franchise/Concession Fixed Fee,1012\5110282929,14 Jun 2023,"1,031,404.36",
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005\5110269899,31 May 2023,"1,028,843.00",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002\5110287863,21 Jun 2023,"1,017,228.66",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110281265,21 Jun 2023,"972,677.77",
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5110277370,13 Jun 2023,"969,882.66",
LUL NOMINEE SSL LIMITED,GROUND TRANSPORTATION SYSTEMS UKLTD,Civil Engineering Construction Works,1031\5110287191,23 Jun 2023,"924,201.54",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006\1900049072,23 Jun 2023,"920,301.56",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005\5110272748,06 Jun 2023,"897,443.24",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARKING & DAGENHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900074925,06 Jun 2023,"857,000.00",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110278077,20 Jun 2023,"852,880.89",
TFL CORPORATE,Derwent London plc,Property development costs,1001\1900170785,02 Jun 2023,"849,532.00",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110275597,31 May 2023,"843,500.48",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280490,21 Jun 2023,"834,347.30",
TFL CORPORATE,ESRI (UK) LIMITED,Computer Software,1001\5110281803,21 Jun 2023,"833,125.00",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110290219,21 Jun 2023,"814,900.94",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110280363,21 Jun 2023,"808,409.98",
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005\5110277195,20 Jun 2023,"803,240.17",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006\1900048983,09 Jun 2023,"788,177.18",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110290122,21 Jun 2023,"786,572.02",
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033\5110265715,31 May 2023,"784,435.98",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Building Maintenance & Repairs,1005\5110285185,09 Jun 2023,"770,014.18",
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Road Maintenance,1002\5110289659,21 Jun 2023,"739,857.62",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110278080,20 Jun 2023,"735,101.46",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110277501,14 Jun 2023,"733,430.16",
RAIL FOR LONDON LIMITED,VOLKERRAIL SPECIALIST BUSINESSES LTD,Track General Maintenance,1020\5110278114,05 Jun 2023,"713,346.44",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110279037,21 Jun 2023,"711,551.00",
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900049073,23 Jun 2023,"687,814.12",
LUL NOMINEE BCV LIMITED,GALLDRIS SERVICES LIMITED,Civil Engineering Construction Works,1033\5110291493,23 Jun 2023,"684,314.53",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280578,21 Jun 2023,"683,418.77",
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005\5110285041,09 Jun 2023,"670,122.52",
LONDON UNDERGROUND LTD,EQUANS SERVICES LIMITED,Fire and Safety Equipment,1005\5110272904,06 Jun 2023,"670,080.31",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110277640,14 Jun 2023,"656,411.05",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280573,21 Jun 2023,"646,813.41",
LONDON UNDERGROUND LTD,BALFOUR BEATTY GROUP LTD,MR Construction Costs,1005\5110284625,14 Jun 2023,"635,009.56",
LONDON UNDERGROUND LTD,UK POWER NETWORKS LTD,MR Construction Costs,1005\5110282118,14 Jun 2023,"630,725.56",
RAIL FOR LONDON LIMITED,VINCI CONSTRUCTION UK LTD,Civil Engineering Construction Works,1020\5110254193,21 Jun 2023,"623,721.30",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280576,21 Jun 2023,"610,995.62",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110279038,31 May 2023,"605,555.90",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110272761,07 Jun 2023,"605,555.90",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004\1901694666,31 May 2023,"595,189.00",
LONDON UNDERGROUND LTD,DYER & BUTLER LTD,Civil Engineering Construction Works,1005\5110272993,07 Jun 2023,"591,411.00",
SURFACE TRANSPORT CORP,F M CONWAY LTD,Road Maintenance,1002\5110289685,21 Jun 2023,"589,319.07",
LONDON BUS SERVICES LTD,STAGECOACH LONDON,Bus Contract Payments,1006\1900049069,23 Jun 2023,"584,358.84",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006\1900048995,09 Jun 2023,"581,963.79",
PUBLIC CARRIAGE OFFICE,MARSTON HOLDINGS,Management & Support Consultancy,1003\5110290253,23 Jun 2023,"572,318.00",
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005\5110284457,21 Jun 2023,"567,117.97",
DOCKLANDS LIGHT RAILWAY,OCTAVIUS INFRASTRUCTURE LTD,Professional Engineering Services,1012\5110283717,07 Jun 2023,"559,753.37",
SURFACE TRANSPORT CORP,COSTAIN LTD,Road Maintenance,1002\5110289652,21 Jun 2023,"558,895.41",
RFL (IINFRASTRUCTURE) LTD,MOTT MACDONALD LIMITED,Professional Engineering Services,1025\5110283686,21 Jun 2023,"538,103.34",
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5110284367,22 Jun 2023,"535,228.96",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110272678,07 Jun 2023,"531,785.65",
TFL CORPORATE,VCCP GROUP LLP,Production Artwork And Design For Marketing,1001\5110280233,21 Jun 2023,"525,000.00",
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Traffic Signals,1002\5110284356,14 Jun 2023,"518,119.72",
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Cameras,1005\5110286678,13 Jun 2023,"517,991.74",
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Traffic Signals,1002\5110284392,14 Jun 2023,"499,613.67",
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARKING & DAGENHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900074926,06 Jun 2023,"493,000.00",
SURFACE TRANSPORT CORP,SIEMENS MOBILITY LIMITED,Computer Software,1002\5110273155,07 Jun 2023,"489,573.00",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900048976,09 Jun 2023,"486,184.80",
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Civil Engineering Construction Works,1002\5110288398,21 Jun 2023,"470,611.17",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Office Cleaning,1005\5110277014,30 May 2023,"470,410.14",
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004\5110277194,21 Jun 2023,"457,134.34",
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Traffic Signals,1002\5110280059,07 Jun 2023,"446,232.11",
RAIL FOR LONDON LIMITED,ALSTOM ENGINEERING & SERVICES LTD,Vehicle Repairs & Maintenance,1020\5110284988,14 Jun 2023,"438,584.23",
TFL CORPORATE,CDW LIMITED,Computer Hardware,1001\5110272138,14 Jun 2023,"437,090.18",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280465,21 Jun 2023,"432,930.97",
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900048973,09 Jun 2023,"432,718.73",
DOCKLANDS LIGHT RAILWAY,VOESTALPINE RAIL TECHNOLOGY GMBH,Civil Engineering Construction Works,1012\5110253860,30 May 2023,"428,383.80",
TFL CORPORATE,BOXXE LTD,Computer Software,1001\5110281950,06 Jun 2023,"427,627.25",
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5110277363,13 Jun 2023,"423,886.09",
DOCKLANDS LIGHT RAILWAY,MACE MACRO LTD,Franchise/Concession Fixed Fee,1012\5110278983,21 Jun 2023,"420,388.93",
TRANSPORT TRADING LTD,GBM SERVICES LTD,Office Cleaning,1004\5110275036,30 May 2023,"413,076.87",
TFL CORPORATE,COMPUTACENTER PLC,Software Maintenance,1001\5110277472,20 Jun 2023,"406,067.97",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280474,21 Jun 2023,"406,009.68",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110272521,22 Jun 2023,"405,756.55",
TRANSPORT TRADING LTD,NOVACROFT DIRECT LTD,Cubic Oyster Contract Costs,1004\5110281795,12 Jun 2023,"405,727.98",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110272684,07 Jun 2023,"405,346.49",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5110284276,14 Jun 2023,"404,414.72",
LONDON UNDERGROUND LTD,CLESHAR CONTRACT SERVICES,Track General Maintenance,1005\5110280099,07 Jun 2023,"395,090.88",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5110280481,21 Jun 2023,"393,536.84",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110281165,21 Jun 2023,"390,758.00",
LONDON UNDERGROUND LTD,GT GETTAXI (UK) LTD,PCO Outsourced Services,1005\5110284635,13 Jun 2023,"390,634.47",
LONDON UNDERGROUND LTD,GT GETTAXI (UK) LTD,PCO Outsourced Services,1005\5110290062,21 Jun 2023,"388,137.13",
LONDON UNDERGROUND LTD,HAYLEY GROUP PLC,Materials - Contractor,1005\5110286752,13 Jun 2023,"387,743.17",
TFL CORPORATE,MEDIAEDGE,Management & Support Consultancy,1001\5110280475,12 Jun 2023,"386,336.00",
DOCKLANDS LIGHT RAILWAY,RTI LTD,Civil Engineering Construction Works,1012\5110281708,15 Jun 2023,"384,910.35",
SURFACE TRANSPORT CORP,SIEMENS TRAFFIC CONTROLS,Traffic Signals,1002\5110277072,05 Jun 2023,"381,280.14",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5110272520,30 May 2023,"378,654.12",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM ,Rates,1004\1901694637,31 May 2023,"372,400.00",
LUL NOMINEE BCV LIMITED,SIEMENS MOBILITY LIMITED,Signalling Systems,1033\5110265713,31 May 2023,"367,382.05",
