Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  8,,,,,,,,,
Start Date: 15 October 2023,,,,,,,,,
End Date: 11 November 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110339679,20/10/2023,"£1,719,668.08",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110357602,08/11/2023,"£1,642,823.34",,,,
SURFACE TRANSPORT CORP,Yunex Limited,Management & Support Consultancy,1002/5110336887,25/10/2023,"£1,541,857.22",,,,
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Signalling Systems,1031/5110352411,10/11/2023,"£1,537,001.11",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110340017,16/10/2023,"£1,526,247.62",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Computer Hardware,1005/5110333240,19/10/2023,"£1,476,099.00",,,,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049604,10/11/2023,"£1,469,871.59",,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800049048,19/10/2023,"£1,455,425.70",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049592,10/11/2023,"£1,454,008.08",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110345083,24/10/2023,"£1,438,407.17",,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049606,10/11/2023,"£1,409,071.12",,,,
SURFACE TRANSPORT CORP,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1002/5110347325,19/10/2023,"£1,394,904.00",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049595,10/11/2023,"£1,365,710.48",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110357528,08/11/2023,"£1,329,688.72",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110335528,18/10/2023,"£1,287,533.89",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110342100,01/11/2023,"£1,283,265.76",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110355930,08/11/2023,"£1,281,786.31",,,,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110355888,08/11/2023,"£1,226,597.13",,,,
SURFACE TRANSPORT CORP,TTC 2000 Limited,CCS Service Contract,1002/5110352665,01/11/2023,"£1,212,481.24",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900270615,25/10/2023,"£1,205,251.72",,,,
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110344639,02/11/2023,"£1,174,439.36",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110349503,09/11/2023,"£1,168,977.12",,,,
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110337211,27/10/2023,"£1,160,489.28",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110338255,24/10/2023,"£1,152,809.69",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110336063,25/10/2023,"£1,135,711.07",,,,
LONDON UNDERGROUND LTD,Boldyn Networks UK Limited,Maintenance of Telecommunications Equipment,1005/5110341822,10/11/2023,"£1,108,440.00",,,,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110350326,01/11/2023,"£1,043,614.23",,,,
SURFACE TRANSPORT CORP,TAYLOR WOODROW INFRASTRUCTURE LTD,Road Maintenance,1002/5110357564,08/11/2023,"£1,031,643.85",,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049601,10/11/2023,"£974,998.01",,,,
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110342758,24/10/2023,"£973,524.74",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110349495,09/11/2023,"£972,859.17",,,,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110345463,27/10/2023,"£972,401.82",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110338509,24/10/2023,"£959,789.50",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110344615,08/11/2023,"£931,327.07",,,,
TRANSPORT TRADING LTD,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1004/5110341248,16/10/2023,"£928,247.27",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110357562,10/11/2023,"£913,752.86",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110338965,25/10/2023,"£866,777.26",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110344744,08/11/2023,"£837,032.07",,,,
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110349561,08/11/2023,"£836,255.89",,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110345904,24/10/2023,"£805,167.07",,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110350611,25/10/2023,"£788,502.88",,,,
TFL CORPORATE,HCL Technologies UK Ltd,Manage IT Services,1001/5110345049,06/11/2023,"£775,000.00",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110355450,03/11/2023,"£757,184.20",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049602,10/11/2023,"£699,781.75",,,,
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110348644,10/11/2023,"£688,630.41",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049598,10/11/2023,"£680,697.20",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110351200,30/10/2023,"£678,527.12",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110343950,01/11/2023,"£665,150.89",,,,
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110333001,16/10/2023,"£664,026.71",,,,
SURFACE TRANSPORT CORP,P Ducker Systems Ltd,Computer Software,1002/5110318486,17/10/2023,"£663,115.50",,,,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002/5110346332,08/11/2023,"£655,393.13",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110346296,08/11/2023,"£646,813.41",,,,
LONDON UNDERGROUND LTD,Ashurst LLP Client Account,Legal Fees,1005/1900269756,16/10/2023,"£642,372.89",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110355434,03/11/2023,"£638,246.39",,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT MANAGEMEN,Professional Engineering Services,1001/5110309582,03/11/2023,"£628,099.41",,,,
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012/5110345464,06/11/2023,"£620,603.72",,,,
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110346080,07/11/2023,"£605,851.68",,,,
TFL CORPORATE,Kantar Public UK Ltd,Research & Study Fees,1001/5110335494,18/10/2023,"£600,000.00",,,,
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901698458,01/11/2023,"£595,189.00",,,,
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900077136,20/10/2023,"£590,812.28",,,,
LONDON BUS SERVICES LTD,Volker Fitzpatrick Ltd,Infrastructure Maintenance and Repair,1006/5110357570,08/11/2023,"£583,805.60",,,,
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110332869,17/10/2023,"£583,433.00",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110346313,08/11/2023,"£574,001.54",,,,
TFL CORPORATE,Dynatrace Ltd,Computer Software,1001/5110339728,24/10/2023,"£570,264.15",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Signalling Systems,1005/5110352658,10/11/2023,"£559,813.96",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110340003,16/10/2023,"£547,956.89",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110348637,23/10/2023,"£544,873.83",,,,
LONDON UNDERGROUND LTD,Cleshar Contract Services Limited,Track General Maintenance,1005/5110348647,23/10/2023,"£536,457.52",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110351025,01/11/2023,"£534,014.89",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Operator Costs,1006/5110342250,25/10/2023,"£528,525.00",,,,
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049573,27/10/2023,"£518,166.48",,,,
