Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  09,,,,,,,,,
Start Date:  12 November 2023,,,,,,,,,
End Date: 09 December 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049714,08 December 2023,"1,517,918.67",,,,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Road Maintenance,1002/5110365960,06 December 2023,"1,449,203.18",,,,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049700,08 December 2023,"1,437,142.45",,,,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110363503,20 November 2023,"1,431,050.12",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110367874,06 December 2023,"1,382,216.00",,,,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049703,08 December 2023,"1,375,657.66",,,,
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,Vehicle Repairs & Maintenance,1033/5110364854,22 November 2023,"1,340,193.07",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110357742,15 November 2023,"1,332,844.97",,,,
LONDON UNDERGROUND LTD,Panasonic Marketing Europe GmbH,Contracted Services Buildings,1005/5110350752,20 November 2023,"1,297,217.71",,,,
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800049239,17 November 2023,"1,279,851.60",,,,
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110369267,06 December 2023,"1,278,879.54",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110357666,16 November 2023,"1,276,380.10",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900272934,01 December 2023,"1,260,050.71",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110353157,22 November 2023,"1,250,512.40",,,,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110369377,06 December 2023,"1,217,683.10",,,,
DOCKLANDS LIGHT RAILWAY,Dyer & Butler Ltd,Civil Engineering Construction Works,1012/5110365642,29 November 2023,"1,182,290.27",,,,
SURFACE TRANSPORT CORP,TAYLOR WOODROW INFRASTRUCTURE LTD,Road Maintenance,1002/5110372227,06 December 2023,"1,180,951.75",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110360311,06 December 2023,"1,142,407.71",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Computer Software,1005/5110353315,27 November 2023,"1,135,711.17",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110351305,21 November 2023,"1,086,196.12",,,,
DOCKLANDS LIGHT RAILWAY,UK Power Networks Services (Co) Ltd,Civil Engineering Construction Works,1012/5110348700,04 December 2023,"1,052,633.28",,,,
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110362010,06 December 2023,"1,039,160.63",,,,
