Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  13,,,,,,,,,
Start Date:  03 March 2024,,,,,,,,,
End Date: 31 March 2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
SURFACE TRANSPORT CORP,Yunex Limited,Road Maintenance,1002/5110431024,27 March 2024,"£1,122,861",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Building Maintenance & Repairs,1005/5110407585,11 March 2024,"£1,114,723",,,,
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110428901,22 March 2024,"£1,044,860",,,,
TFL CORPORATE,AXA PPP HEALTHCARE,Management & Support Consultancy,1001/5110430707,26 March 2024,"£1,044,433",,,,
TFL CORPORATE,COMPUTACENTER PLC,IT Consultancy,1001/5110417131,22 March 2024,"£1,038,785",,,,
LUL NOMINEE BCV LIMITED,Alstom Engineering & Services LTD,Maintenance Materials,1033/5110423867,26 March 2024,"£1,036,541",,,,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900050149,28 March 2024,"£1,036,521",,,,
LONDON UNDERGROUND LTD,ELEPHANT & CASTLE PROPERTIES CO LTD,Civil Engineering Construction Works,1005/5110385211,06 March 2024,"£1,018,500",,,,
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110418869,22 March 2024,"£987,671",,,,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005/5110414754,22 March 2024,"£972,678",,,,
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110428947,22 March 2024,"£964,247",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110412176,04 March 2024,"£955,723",,,,
SURFACE TRANSPORT CORP,TAYLOR WOODROW INFRASTRUCTURE LTD,Road Maintenance,1002/5110428949,22 March 2024,"£941,330",,,,
DOCKLANDS LIGHT RAILWAY,Pittville Leasing Ltd,Vehicle Operating Leases,1012/5110430718,28 March 2024,"£938,280",,,,
RAIL FOR LONDON LIMITED,Cleshar Contract Services Limited,Fleet,1020/5110405043,04 March 2024,"£931,368",,,,
SURFACE TRANSPORT CORP,L B Hounslow,Civil Engineering Construction Works,1002/5110426728,20 March 2024,"£925,278",,,,
SURFACE TRANSPORT CORP,City of Westminster,Borough Services,1002/1900078143,22 March 2024,"£901,000",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110414577,22 March 2024,"£894,452",,,,
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110416608,22 March 2024,"£888,100",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110426521,22 March 2024,"£887,146",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110414520,22 March 2024,"£867,773",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110414123,22 March 2024,"£866,777",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110414842,22 March 2024,"£866,477",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110414137,22 March 2024,"£865,910",,,,
RFL (IINFRASTRUCTURE) LTD,Crossrail Ltd,Professional Engineering Services,1025/5110415636,22 March 2024,"£854,072",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110414541,22 March 2024,"£851,198",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110414559,22 March 2024,"£841,038",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900050137,28 March 2024,"£836,514",,,,
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110409746,18 March 2024,"£818,023",,,,
TFL CORPORATE,COMPUTACENTER PLC,Computer Software,1001/5110413839,22 March 2024,"£810,208",,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110409081,22 March 2024,"£805,167",,,,
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110410940,21 March 2024,"£784,185",,,,
LONDON UNDERGROUND LTD,Morgan Sindall Con. & Infra JV Bemo,Civil Engineering Construction Works,1005/5110420691,11 March 2024,"£778,879",,,,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM ,Borough Services,1002/1900077617,22 March 2024,"£765,630",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900050055,15 March 2024,"£750,225",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110423839,15 March 2024,"£749,443",,,,
DOCKLANDS LIGHT RAILWAY,RTI LTD,Maintenance Materials,1012/5110430762,27 March 2024,"£736,639",,,,
LONDON UNDERGROUND LTD,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1005/5110421976,20 March 2024,"£720,810",,,,
TFL CORPORATE,Daisy Corporate Services TradingLtd,Telephony Fixed,1001/5110417834,22 March 2024,"£711,701",,,,
SURFACE TRANSPORT CORP,London Borough of Bromley,Borough Services,1002/1900078200,22 March 2024,"£710,000",,,,
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900050146,28 March 2024,"£706,140",,,,
LONDON BUS SERVICES LTD,F M Conway Ltd,Road Maintenance,1006/5110427178,22 March 2024,"£703,512",,,,
LONDON BUS SERVICES LTD,TRUEFORM ENGINEERING LTD,Street Furniture,1006/5110429010,22 March 2024,"£700,000",,,,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,PCN and Penalty Fare Processing,1002/5110414534,22 March 2024,"£681,462",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110425937,22 March 2024,"£677,083",,,,
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110401699,05 March 2024,"£675,207",,,,
LONDON UNDERGROUND LTD,Spoor-Tech Limited,Civil Engineering Construction Works,1005/5110416510,04 March 2024,"£664,959",,,,
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900050150,28 March 2024,"£659,379",,,,
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110414040,22 March 2024,"£655,901",,,,
TFL CORPORATE,Sentrum IV Limited,Manage IT Services,1001/5110418348,22 March 2024,"£650,982",,,,
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110430763,27 March 2024,"£650,425",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900050099,26 March 2024,"£648,868",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900050064,15 March 2024,"£647,912",,,,
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110424517,22 March 2024,"£638,638",,,,
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110405141,08 March 2024,"£631,087",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900050130,28 March 2024,"£630,481",,,,
SURFACE TRANSPORT CORP,GREATER LONDON AUTHORITY ,Section 159 Payments,1002/1900078325,04 March 2024,"£628,931",,,,
TFL CORPORATE,Daisy Corporate Services TradingLtd,Telephony Fixed,1001/5110430464,27 March 2024,"£625,648",,,,
