,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
HC-ONE LIMITED,136812,30-AUG-2023,"1,910.57",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,130695,02-AUG-2023,"1,365.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,759.71",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,229.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,130695,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
HC-ONE LIMITED,130695,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
HC-ONE LIMITED,130695,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,130695,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,130695,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,130695,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"1,486.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136813,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6161,Social Care Activities,
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6161,Social Care Activities,
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Memory & Cognition Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Memory & Cognition Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,520.00,Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,130694,02-AUG-2023,520.00,Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Physical Support - Adults (18-64),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Physical Support - Adults (18-64),
HC-ONE LIMITED,136812,30-AUG-2023,"3,688.76",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"3,688.76",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,512.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"3,359.68",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"1,167.57",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,512.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"3,359.68",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
HC-ONE LIMITED,130694,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
HC-ONE LIMITED,136812,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
HEALTH ACCESS LIMITED,131936,04-AUG-2023,"3,766.20",Adults Care and Health and Strategic Commissioning,S2280,Medical Service Provider,
HEALTH ACCESS LIMITED,134764,18-AUG-2023,"3,991.80",Adults Care and Health and Strategic Commissioning,S2280,Medical Service Provider,
HEALTH ASSURED LIMITED,136795,29-AUG-2023,"4,181.99",Resources,V1150,Medical Service Provider,
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,108.60,Adults Care and Health and Strategic Commissioning,S6111,Physical Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,499.56,Adults Care and Health and Strategic Commissioning,S6111,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"53,335.94",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"4,510.66",Adults Care and Health and Strategic Commissioning,S6121,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,161.36,Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"5,599.21",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"8,714.44",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"4,239.62",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"9,279.22",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"2,521.93",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"12,303.91",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,252.25,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"3,097.54",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"10,800.14",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"12,513.76",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"6,364.41",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"2,542.40",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"2,352.00",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"7,187.61",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"4,169.21",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,132577,09-AUG-2023,"12,513.76",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"1,130.08",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"7,688.88",Adults Care and Health and Strategic Commissioning,S6999,Physical Support - Adults (18-64),
HEALTHCARE HEADHUNTERS T/A LAST MINUTE CARE AND NURSING,133547,16-AUG-2023,"7,710.60",Adults Care and Health and Strategic Commissioning,S6999,Physical Support - Older People (65+),
HEALTHWATCH WIRRAL CIC,132946,11-AUG-2023,"1,532.95",Adults Care and Health and Strategic Commissioning,S6231,Grants Paid,
HEALTHWATCH WIRRAL CIC,132946,11-AUG-2023,"14,478.02",Adults Care and Health and Strategic Commissioning,S6231,Grants Paid,
HEALTHWORK GROUP LIMITED,136796,29-AUG-2023,"14,313.50",Resources,V1150,Medical Service Provider,
HEART OF CARE CONSULTANCY,130567,01-AUG-2023,870.00,Adults Care and Health and Strategic Commissioning,S2280,Medical Service Provider,
HELEN WILSON CONSULTANCY LIMITED,135070,21-AUG-2023,638.04,Regeneration & Place,B7070,Services,
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Adults (18-64),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Adults (18-64),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"1,167.57",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,229.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,530.71,Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Memory & Cognition Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Adults (18-64),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Adults (18-64),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,530.71,Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"1,910.57",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,530.71,Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,137109,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HELMREAL LIMITED,130754,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
HER MAJESTYS PRISON & PROBATION SERVICE (HMPPS/NOMS),133548,16-AUG-2023,"25,854.00","Children, Families & Education",E9510,Hired or Contracted services,
HER MAJESTYS PRISON & PROBATION SERVICE (HMPPS/NOMS),135600,24-AUG-2023,"9,174.00","Children, Families & Education",E9510,Hired or Contracted services,
HERTFORDSHIRE COUNTY COUNCIL,135428,23-AUG-2023,854.00,Finance,F1100,APT&C,
HERTFORDSHIRE COUNTY COUNCIL,135428,23-AUG-2023,"3,074.40",Finance,F1100,APT&C,
HERTFORDSHIRE COUNTY COUNCIL,135428,23-AUG-2023,"4,294.40",Finance,F1100,APT&C,
HESWALL CARE LIMITED,130696,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
HESWALL CARE LIMITED,136814,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
HESWALL CARE LIMITED,136814,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,136814,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,136814,30-AUG-2023,"2,652.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,130696,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,130696,02-AUG-2023,"2,652.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,130696,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,136814,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,130696,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
HESWALL CARE LIMITED,130696,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HESWALL CARE LIMITED,136814,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
HF TRUST LIMITED,130697,02-AUG-2023,"1,837.79",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,136815,30-AUG-2023,"1,837.79",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,136815,30-AUG-2023,"9,768.88",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,130697,02-AUG-2023,"9,768.88",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,136411,29-AUG-2023,"33,509.64",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,132051,07-AUG-2023,"34,061.26",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,132051,07-AUG-2023,"5,227.61",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
HF TRUST LIMITED,136411,29-AUG-2023,"5,325.61",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
HF TRUST LIMITED,136411,29-AUG-2023,"1,332.80",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,132051,07-AUG-2023,"1,372.00",Adults Care and Health and Strategic Commissioning,S6131,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,132051,07-AUG-2023,"4,540.30",Adults Care and Health and Strategic Commissioning,S6131,Social Care Activities,
HF TRUST LIMITED,136411,29-AUG-2023,"4,657.90",Adults Care and Health and Strategic Commissioning,S6131,Social Care Activities,
HF TRUST LIMITED,136411,29-AUG-2023,"7,378.02",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,132051,07-AUG-2023,"7,436.82",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,136816,30-AUG-2023,"4,816.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,130698,02-AUG-2023,"4,816.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,136411,29-AUG-2023,"3,285.57",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
HF TRUST LIMITED,132051,07-AUG-2023,"3,188.77",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Adults (18-64),
HIGSON EDWARDS (STEELSTOCK) LT,135072,21-AUG-2023,943.32,Neighbourhood Services,V1920,"Equipment, Furniture & Materials",
HIGSON EDWARDS (STEELSTOCK) LT,132176,07-AUG-2023,"1,246.96",Neighbourhood Services,V1920,"Equipment, Furniture & Materials",
HI-IMPACT CONSULTANCY LIMITED,131367,03-AUG-2023,"1,200.00",Regeneration & Place,B8464,"Advertising, Publicity & Marketing",
HILBRE HIGH SCHOOL HUMANITIES COLLEGE (ACADEMY),135601,24-AUG-2023,"30,375.00","Children, Families & Education",E5941,Specialist Contracts & Fees,
HILBRE HIGH SCHOOL HUMANITIES COLLEGE (ACADEMY),135601,24-AUG-2023,"70,000.00","Children, Families & Education",E5941,Specialist Contracts & Fees,
HILL CARE1 LIMITED,136619,29-AUG-2023,"2,896.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HILL CARE1 LIMITED,130570,01-AUG-2023,"2,896.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
HIRE SAFE SOLUTIONS LIMITED,131609,03-AUG-2023,961.80,Neighbourhood Services,V1920,Contract Hire & Operating Leases,
HITCH MARKETING LIMITED,132415,08-AUG-2023,"25,000.00",Capital,C5568,Consultants Fees,
