Payments for Publishing for Invoices paid between 01-OCT-2023 and 31-OCT-2023,,,,,,,
Supplier Name,Transaction Number,Paid Date,Paid Amount,Department ,Cost Centre,Description,Irrecoverable VAT
ACCESS HIRE NATIONWIDE LIMITED,152730,26-OCT-2023,750.00,Neighbourhood Services,T4020,Direct Transport Costs,
ACCESS HIRE NATIONWIDE LIMITED,146756,06-OCT-2023,"1,607.14",Neighbourhood Services,T4020,Direct Transport Costs,
ACCESS HIRE NATIONWIDE LIMITED,152730,26-OCT-2023,"1,017.86",Neighbourhood Services,T4020,Direct Transport Costs,
ACCESS HIRE NATIONWIDE LIMITED,146756,06-OCT-2023,"1,607.14",Neighbourhood Services,T4020,Direct Transport Costs,
ACCESS HIRE NATIONWIDE LIMITED,152730,26-OCT-2023,750.00,Neighbourhood Services,T4020,Direct Transport Costs,
ACCESS HIRE NATIONWIDE LIMITED,152730,26-OCT-2023,"1,017.86",Neighbourhood Services,T4020,Direct Transport Costs,
ACHIEVE TOGETHER LIMITED,151915,25-OCT-2023,"10,949.56",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
ACHIEVE TOGETHER LIMITED,151963,25-OCT-2023,"12,979.16",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Adults (18-64),
ACORN CARE & EDUCATION LIMITED,153402,31-OCT-2023,"3,581.95","Children, Families & Education",E5870,Specialist Contracts & Fees,
ACORN CARE & EDUCATION LIMITED,146077,03-OCT-2023,"3,424.63","Children, Families & Education",E5870,Specialist Contracts & Fees,
ACORN CARE & EDUCATION LIMITED,146077,03-OCT-2023,"21,163.39","Children, Families & Education",E7080,Care Provision,
ACORN CARE & EDUCATION LIMITED,153402,31-OCT-2023,"8,007.06","Children, Families & Education",E7080,Care Provision,
ACORN CARE & EDUCATION LIMITED,146077,03-OCT-2023,"15,833.18","Children, Families & Education",E7080,Care Provision,
ACORN CARE & EDUCATION LIMITED,153402,31-OCT-2023,"16,317.79","Children, Families & Education",E7080,Care Provision,
ACORN CARE & EDUCATION LIMITED,146077,03-OCT-2023,"7,748.77","Children, Families & Education",E7080,Care Provision,
ACORN CARE & EDUCATION LIMITED,153402,31-OCT-2023,"21,868.84","Children, Families & Education",E7080,Care Provision,
ACORN CARE & EDUCATION LIMITED,151665,25-OCT-2023,"18,228.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
ACORN HOMES UK LIMITED,153403,31-OCT-2023,"16,828.66","Children, Families & Education",E7080,Care Provision,
ACTION FOR CHILDREN SERVICES LIMITED(COMPANY),153193,30-OCT-2023,"19,862.28",Adults Care and Health and Strategic Commissioning,P4090,"Contracted, Voluntary, Charitable SME Se",
ACTION FOR CHILDREN SERVICES LIMITED(COMPANY),147250,10-OCT-2023,489.78,Adults Care and Health and Strategic Commissioning,P4090,"Contracted, Voluntary, Charitable SME Se",
ACTION FOR CHILDREN SERVICES LIMITED(COMPANY),147250,10-OCT-2023,"19,372.50",Adults Care and Health and Strategic Commissioning,P4090,Contracts With Voluntary Organisations,
ACTIVE 8 SUPPORT SERVICES,149312,16-OCT-2023,"32,358.53","Children, Families & Education",E6540,Hired or Contracted services,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,288.90,"Children, Families & Education",E7034,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,288.90,"Children, Families & Education",E7035,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,288.90,"Children, Families & Education",E7035,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,288.90,"Children, Families & Education",E7037,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,288.90,"Children, Families & Education",E7038,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,288.90,"Children, Families & Education",E7038,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,392.86","Children, Families & Education",E7080,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,285.71","Children, Families & Education",E7080,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,285.71","Children, Families & Education",E7080,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,392.86","Children, Families & Education",E7080,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,0.00,"Children, Families & Education",E7080,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,446.04","Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,107.15,"Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,107.15,"Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,285.71","Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,392.86","Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,681.76","Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,446.04","Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,"1,681.76","Children, Families & Education",E7081,Care Provision,
ACTIVE 8 SUPPORT SERVICES,153404,31-OCT-2023,107.15,"Children, Families & Education",E7081,Care Provision,
ACTIVE REHAB LIMITED T/A BLUE SKIES AHEAD,146161,04-OCT-2023,"2,251.15","Children, Families & Education",E5221,Pupil Premium,
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"1,558.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"1,301.86",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"1,464.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
ACTIVECARE LIMITED T/A WESTWOOD HALL,151964,25-OCT-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
ACUMEN WASTE SERVICES LIMITED,147937,12-OCT-2023,898.00,Neighbourhood Services,L4001,"Repairs, alterations and maintenance",
ACUMEN WASTE SERVICES LIMITED,149585,17-OCT-2023,"1,148.90",Neighbourhood Services,L4971,"Repairs, alterations and maintenance",
ACUMEN WASTE SERVICES LIMITED,147937,12-OCT-2023,907.95,Neighbourhood Services,L4978,"Repairs, alterations and maintenance",
ADAMS & RUSSELL COFFEE ROASTERS,146166,04-OCT-2023,942.62,Neighbourhood Services,L3951,Catering,
