Internal Reference,Statement Period – End Date,Transaction – Transaction Date,Transaction – Transaction Type,Transaction – Billing Amount,Supplier
JB,26/10/2023,24/10/2023,Purchase,189.4,Trainline
JB,26/10/2023,04/10/2023,Purchase,190,Sopra Steria Limited Ukvc
JR,26/10/2023,09/10/2023,Purchase,191.35,Lavazza Pro
AA,26/10/2023,29/09/2023,Purchase,191.72,Travelodge Gb0000
DS,26/10/2023,20/10/2023,Purchase,192,Plastic Centre Telford
AA,26/10/2023,27/09/2023,Purchase,194.9,The White House Hotel
JR,26/10/2023,28/09/2023,Purchase,194.97,Amznbusiness*1k8ch97o4
JB,26/10/2023,17/10/2023,Purchase,195,Halfords E.Comm
JR,26/10/2023,26/09/2023,Purchase,196.24,Health And Care Professio
JR,26/10/2023,27/09/2023,Purchase,196.24,Health And Care Professio
JR,26/10/2023,19/10/2023,Purchase,196.24,Health And Care Professio
JB,26/10/2023,08/10/2023,Purchase,198,Proark UK Hotels Ltd Oper
AA,26/10/2023,24/10/2023,Credit Voucher,198.03,Amznmktplace
JR,26/10/2023,28/09/2023,Purchase,198.81,Booker Ltd - 38598984
JB,26/10/2023,29/09/2023,Purchase,199,Club Central
JR,26/10/2023,06/10/2023,Purchase,200,Telford Timber Supplies
AA,26/10/2023,20/10/2023,Purchase,202.94,Travelodge Gb0000
JB,26/10/2023,18/10/2023,Purchase,204.95,Www.Argos.Co.Uk
AA,26/10/2023,13/10/2023,Purchase,206.79,Welcome Break Days Inn Te
JR,26/10/2023,26/09/2023,Purchase,207.55,Agecoinc.Co.Uk
DS,26/10/2023,02/10/2023,Purchase,208.26,Hire Station Ltd
JB,26/10/2023,20/10/2023,Purchase,209.93,Amazon* 204-0151035-82
JR,26/10/2023,23/10/2023,Purchase,212.5,The White House Hotel
JB,26/10/2023,17/10/2023,Purchase,213,Lewis Taxis* 928xbfc42
AA,26/10/2023,13/10/2023,Purchase,217,Uk Caa Apply Online
AA,26/10/2023,29/09/2023,Purchase,218.24,Travelodge Gb0000
AA,26/10/2023,29/09/2023,Purchase,218.24,Travelodge Gb0000
JB,26/10/2023,02/10/2023,Purchase,221,Www.Annarbor.Co.Uk
JB,26/10/2023,12/10/2023,Purchase,221.5,Asda George Com Leeds
AA,26/10/2023,13/10/2023,Purchase,222,The White House Hotel
JB,26/10/2023,29/09/2023,Purchase,222.27,Bkg*hotel At Booking.C
AA,26/10/2023,10/10/2023,Purchase,223.16,Adobe Systems Software
AA,26/10/2023,24/10/2023,Purchase,223.16,Adobe Systems Software
