Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Voucher Express,10/05/2022,Equipment Furniture & Materials,505.5
Wolseley Uk,10/05/2022,Equipment Furniture & Materials,577
Wolseley Uk,10/05/2022,Equipment Furniture & Materials,1154
Upkeep Training,04/04/2022,Computer Software (Licences & Maintenance),656.25
Chartered Institute Of En,07/02/2023,Equipment Furniture & Materials,613
Northwood Lettings (Bo,10/05/2022,Professional Fees,1162.5
Pass Portable Applian,12/04/2022,Equipment Furniture & Materials,1182
Pp*sunshinehou,10/05/2022,Professional Fees,550
Training 365,12/04/2022,Equipment Furniture & Materials,1434
Wigan And Leigh Pa,12/04/2022,Equipment Furniture & Materials,730
Www Elmhurstenergy Co Uk,04/04/2022,Equipment Furniture & Materials,2175
Wetherby Building Syst,10/05/2022,Repairs & Maintenance (Non CPMF),1345.34
Www.Screwfix.Com,04/04/2022,Equipment Furniture & Materials,1024.32
Next Move 4 U,04/04/2022,Equipment Furniture & Materials,990
United Utilities,04/04/2022,Water Charges,598.37
Www.Britishgas.Co.,04/04/2022,Electricity,646.65
Www.Britishgas.Co.,04/04/2022,Electricity,642.21
Www.Sse.Co.Uk,04/04/2022,Electricity,1337.71
Amznmktplace,22/03/2023,Equipment Furniture & Materials,506.75
Currys Online,04/07/2022,Equipment Furniture & Materials,599
Termtex Ltd,06/04/2022,Equipment Furniture & Materials,1422
Www.Printed4you.Com,15/12/2022,Equipment Furniture & Materials,1005
Regatta,21/02/2023,Equipment Furniture & Materials,623.35
Music Mark,04/10/2022,"Education, Training, Exam Fees",540
Music Mark,03/03/2023,Equipment Furniture & Materials,1080
Ackerman Music,04/07/2022,Equipment Furniture & Materials,750
Band Supplies,04/07/2022,Equipment Furniture & Materials,5700
Sp Normans Musical I,08/08/2022,Equipment Furniture & Materials,1137.32
Sp Band Supplies Uk,07/06/2022,Equipment Furniture & Materials,2697.92
R S Tyrer Limited,08/08/2022,Vehicle and Plant Hire,807.5
Premier Inn44521690,22/06/2022,Payments to Private Contractors,614.52
Paypal *sunkentramp,03/08/2022,Equipment Furniture & Materials,1479
Ol Greater Manchester,04/11/2022,Hospitality,646
Ol Greater Manchester,08/12/2022,Hospitality,684
Ol Greater Manchester,08/12/2022,Hospitality,753
Barcl-24studio,07/10/2022,Equipment Furniture & Materials,893.99
Sp * Timberjacks,09/05/2022,Equipment Furniture & Materials,508.33
Sp Timberjacks,07/09/2022,Equipment Furniture & Materials,611.25
Ikea Ltd Shop Online,06/03/2023,Equipment Furniture & Materials,656.67
Self Pick,18/10/2022,Provisions - Food and Drink,658.1
Best Westrn Forest Hil,04/05/2022,Payments to Private Contractors,825
Forest Hills Hotel,05/05/2022,Equipment Furniture & Materials,825
Holiday Inn Express Leigh,05/05/2022,Equipment Furniture & Materials,636
Premier Inn 44536565,07/06/2022,Payments to Private Contractors,627.08
Premier Inn44017435,04/04/2022,Equipment Furniture & Materials,683
Premier Inn44020535,06/06/2022,Payments to Private Contractors,662.4
Premier Inn44020535,07/06/2022,Payments to Private Contractors,1695.57
Premier Inn44020535,07/06/2022,Payments to Private Contractors,1388.93
Travelodge Gb0000,04/04/2022,Payments to Private Contractors,703.67
Travelodge Gb0000,04/04/2022,Payments to Private Contractors,747.87
Travelodge Gb0000,06/04/2022,Payments to Private Contractors,510.76
Travelodge Gb0000,06/04/2022,Payments to Private Contractors,823.52
Travelodge Gb0000,05/05/2022,Equipment Furniture & Materials,667.47
Travelodge Gb0000,05/05/2022,Equipment Furniture & Materials,710.46
Travelodge Gb0000,05/05/2022,Equipment Furniture & Materials,958.69
Travelodge Gb0000,05/05/2022,Equipment Furniture & Materials,1071.83
Travelodge Gb0000,09/05/2022,Payments to Private Contractors,846.99
Travelodge Gb0000,07/06/2022,Payments to Private Contractors,841.37
Travelodge Gb0000,07/06/2022,Payments to Private Contractors,1371.72
Travelodge Gb0000,08/09/2022,Payments to Private Contractors,605.97
Travelodge Gb0000,21/11/2022,Payments to Private Contractors,795.47
Mount,04/04/2022,Payments to Private Contractors,630.98
Mount,09/05/2022,Payments to Private Contractors,750
Gl-Assesment.Co.Uk,08/11/2022,"Education, Training, Exam Fees",624.93
Gl-Assesment.Co.Uk,08/11/2022,"Education, Training, Exam Fees",802.68
Sp School Wellbeing,06/12/2022,"Books, Publications and Resources",500
Team Teach,09/06/2022,Learning and Development,710
Www.Officefurnitureonline,09/06/2022,Equipment Furniture & Materials,514
Knowledge Exchange Gro,07/10/2022,Conferences,1431.04
Paypal *feel Good Club,22/03/2023,Marketing & Publicity,1200
Mailchimp,06/04/2022,Marketing & Publicity,706.11
Mailchimp,09/05/2022,Equipment Furniture & Materials,714.61
Mailchimp,13/06/2022,Equipment Furniture & Materials,759.38
Mailchimp,11/07/2022,Equipment Furniture & Materials,747.15
Mailchimp,09/08/2022,Equipment Furniture & Materials,854.83
Mailchimp,05/09/2022,Marketing & Publicity,847.5
Mailchimp,05/10/2022,Marketing & Publicity,885.19
Mailchimp,03/11/2022,Marketing & Publicity,1192.68
Mailchimp,14/12/2022,Marketing & Publicity,991.05
Mailchimp,05/01/2023,Marketing & Publicity,911.02
Mailchimp,08/02/2023,Marketing & Publicity,1082.45
Mailchimp,03/03/2023,Marketing & Publicity,1067.66
Www.Ryman.Co.Uk,06/04/2022,Printing & Stationery Supplies,694.09
Haymarket Media Group,21/03/2023,"Books, Publications and Resources",1495
Greenstay Serviced Acc,09/01/2023,Home To School,1053.82
North West Accomm,09/02/2023,Employee Subsistence,674.31
Argos Ltd,06/03/2023,Equipment Furniture & Materials,655
Breeze,10/11/2022,Equipment Furniture & Materials,1068.57
Klarna*breezefurnishings.,04/08/2022,Equipment Furniture & Materials,1068.57
Robert Dyas Ecom,04/08/2022,Equipment Furniture & Materials,629.99
Fernhurst (Blackburn),07/07/2022,Payments to Private Contractors,593.92
Hi Haydock M6 Jct2,09/08/2022,Payments to Private Contractors,1734
Holiday Inn Express Leigh,07/06/2022,Payments to Private Contractors,589.25
