Organisation name,Organisation code,Beneficiary,Date,Department,Summary of Purpose,Merchant Category,Amount (Net of VAT)
Wigan Council,E01000010,THE RANGE           ****,13/10/2014,Housing Revenue Account,Supplies & Services,Professional Fees,834.92
Wigan Council,E01000010,TRFSA  THOMSONREUTER****,13/10/2014,Legal,Supplies & Services,"Books, Publications and Resources",821
Wigan Council,E01000010,WEX PHOTOGRAPHIC    ****,13/10/2014,Legal,Supplies & Services,Equipment Furniture & Materials,1990.98
Wigan Council,E01000010,WWW.MCL-GROUP.CO.UK ****,13/10/2014,Trading,Supplies & Services,Direct Materials,794
Wigan Council,E01000010,WWW.ROYALMAIL.COM   ****,13/10/2014,Wigan and Leigh Housing,Supplies & Services,Postages,620
Wigan Council,E01000010,Amazon Mktplce EU-UK****,14/11/2014,Housing Revenue Account,Premises,HRA Programmed Works,506.08
Wigan Council,E01000010,ASDA  DIRECT WEB 438****,14/11/2014,Education,Supplies & Services,Equipment Furniture & Materials,502.95
Wigan Council,E01000010,ASDA  DIRECT WEB 438****,14/11/2014,Education,Supplies & Services,Equipment Furniture & Materials,802.95
Wigan Council,E01000010,COUNTY COURT        ****,14/11/2014,Housing Revenue Account,Supplies & Services,Professional Fees,500
Wigan Council,E01000010,COUNTY COURT        ****,14/11/2014,Targeted Services,Supplies & Services,Professional Fees,7530
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,14/11/2014,Customer Services,Supplies & Services,Professional Fees,1827
Wigan Council,E01000010,HMCOURTS-SERVICE.G  ****,14/11/2014,Customer Services,Supplies & Services,Professional Fees,3687
Wigan Council,E01000010,PITBITZ LIMITED     ****,14/11/2014,Economic Development & Skills,Supplies & Services,Advertising (Non Employee),624.56
Wigan Council,E01000010,R N I B             ****,14/11/2014,Corporate,Capital Expenditure,GF Capital Expenditure,594
Wigan Council,E01000010,VIRGINTRAINS.CO.UK  ****,14/11/2014,Strategy & Partnerships,Transport,Employee Transport Costs,630
Wigan Council,E01000010,VIRGINTRAINS.CO.UK  ****,14/11/2014,Infrastructure,Supplies & Services,Equipment Furniture & Materials,629.6
Wigan Council,E01000010,WWW.NEOPOST.CO.UK   ****Credifon Topup,14/11/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1800
Wigan Council,E01000010,WWW.ROYALMAIL.COM   ****,14/11/2014,Wigan and Leigh Housing,Supplies & Services,Postages,575
Wigan Council,E08000010,COUNTY COURT        ****,12/12/2014,Targeted Services,Supplies & Services,Professional Fees,3875
Wigan Council,E08000010,COUNTY COURT        ****,12/12/2014,Targeted Services,Supplies & Services,Professional Fees,6165
Wigan Council,E08000010,COUNTY COURT        ****,12/12/2014,Targeted Services,Supplies & Services,Professional Fees,6620
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,12/12/2014,Customer Services,Supplies & Services,Professional Fees,1623
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,12/12/2014,Customer Services,Supplies & Services,Professional Fees,4026
Wigan Council,E08000010,MSFT   MICROSOFTSTOR****,12/12/2014,Wigan and Leigh Housing,Supplies & Services,Computer Equipment,748.99
Wigan Council,E08000010,NPOWER ENERGY SAVING****,12/12/2014,Corporate,Capital Expenditure,GF Capital Expenditure,548.97
Wigan Council,E08000010,POST OFFICE COUNTER ****,12/12/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1400
Wigan Council,E08000010,R N I B             ****,12/12/2014,Corporate,Capital Expenditure,GF Capital Expenditure,931.73
Wigan Council,E08000010,RYDER TRUCK RENTAL  ****,12/12/2014,Trading,Transport,MOT Certificates/DOT Plating,1000
Wigan Council,E08000010,TRAINLINE.COM       ****,12/12/2014,Early Intervention and Prevention (Children),Transport,Home To School,886.48
Wigan Council,E08000010,TRAVELODGE WEBSITE  ****,12/12/2014,Early Intervention and Prevention (Children),Supplies & Services,Hospitality,826.21
Wigan Council,E08000010,WEST COAST TRAINS   ****,12/12/2014,Public Health,Transport,Employee Transport Costs,505.5
Wigan Council,E08000010,WWW.NEOPOST.CO.UK   ****Credifon Topup,12/12/2014,Wigan and Leigh Housing,Supplies & Services,Postages,1900
Wigan Council,E08000010,COUNTY COURT        ****,14/01/2015,Housing Revenue Account,Supplies & Services,Professional Fees,560
Wigan Council,E08000010,COUNTY COURT        ****,14/01/2015,Targeted Services,Supplies & Services,Professional Fees,10275
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,14/01/2015,Customer Services,Supplies & Services,Professional Fees,4755
Wigan Council,E08000010,HOMEBASE.CO.UK      ****,14/01/2015,Targeted Services,Supplies & Services,Payments to Carers,758.93
Wigan Council,E08000010,OAKFURNITURELAND.C  ****,14/01/2015,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,582.5
Wigan Council,E08000010,R N I B             ****,14/01/2015,Corporate,Capital Expenditure,GF Capital Expenditure,594
Wigan Council,E08000010,SCS                 ****,14/01/2015,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,1060
Wigan Council,E08000010,WIGAN WALLGATE STN T****,14/01/2015,Adults - Departmental Overheads,Transport,Employee Transport Costs,630.8
Wigan Council,E08000010,WWW.EUROSPANBOOKSTOR****,14/01/2015,Education,Supplies & Services,Printing & Stationery Supplies,732.11
Wigan Council,E08000010,WWW.UCLAN.AC.UK     ****,14/01/2015,Human Resources and Organisational Development,Supplies & Services,Professional Fees,500
Wigan Council,E08000010,BRITANNIA           ****,10/02/2015,Education,Supplies & Services,Equipment Furniture & Materials,643.75
Wigan Council,E08000010,BRITANNIA           ****,10/02/2015,Education,Supplies & Services,Equipment Furniture & Materials,643.75
Wigan Council,E08000010,CONSTRUCTION LINE   ****,10/02/2015,Trading,Supplies & Services,Grants to External Bodies,650
Wigan Council,E08000010,COUNTY COURT        ****,10/02/2015,Housing Revenue Account,Supplies & Services,Professional Fees,545
Wigan Council,E08000010,COUNTY COURT        ****,10/02/2015,Housing Revenue Account,Supplies & Services,Professional Fees,545
Wigan Council,E08000010,COUNTY COURT        ****,10/02/2015,Targeted Services,Supplies & Services,Professional Fees,9345
Wigan Council,E08000010,COUNTY COURT        ****,10/02/2015,Targeted Services,Supplies & Services,Professional Fees,10275
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,10/02/2015,Customer Services,Supplies & Services,Professional Fees,798
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,10/02/2015,Customer Services,Supplies & Services,Professional Fees,1431
Wigan Council,E08000010,RYDER TRUCK RENTAL  ****,10/02/2015,Trading,Transport,MOT Certificates/DOT Plating,3776
Wigan Council,E08000010,SCS                 ****,10/02/2015,Provider Management & Market Development,Supplies & Services,Equipment Furniture & Materials,636.58
Wigan Council,E08000010,SETON               ****,10/02/2015,Wigan and Leigh Housing,Supplies & Services,Printing & Stationery Supplies,1206.4
Wigan Council,E08000010,TRAINLINE.COM       ****,10/02/2015,Childrens - Departmental Overheads,Supplies & Services,Conferences,824.67
Wigan Council,E08000010,VUENCS CITB HSE TEST****,10/02/2015,Wigan and Leigh Housing,Salaries,Learning and Development,822.5
Wigan Council,E08000010,WWW.ICO.GOV.UK      ****,10/02/2015,Legal,Supplies & Services,Subscriptions,500
Wigan Council,E08000010,YORKSHIRE PURCHASING****GRIT BIN,10/02/2015,Housing Revenue Account,Supplies & Services,Equipment Furniture & Materials,606
Wigan Council,E08000010,ARGOS RETAIL GROUP  ****,16/03/2015,Targeted Services,Supplies & Services,Grants to External Bodies,508.93
Wigan Council,E08000010,BRDGEDGTALSERVSLTD  ****,16/03/2015,Corporate,Capital Expenditure,GF Capital Expenditure,863.33
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,16/03/2015,Customer Services,Supplies & Services,Professional Fees,2502
Wigan Council,E08000010,HMCOURTS-SERVICE.G  ****,16/03/2015,Customer Services,Supplies & Services,Professional Fees,5256
Wigan Council,E08000010,PAYPAL VOICEAPPREN  ****,16/03/2015,Wigan and Leigh Housing,Supplies & Services,Conferences,615.12
Wigan Council,E08000010,RYDER TRUCK RENTAL  ****,16/03/2015,Trading,Transport,Repair And Maintenance Transport,1000
Wigan Council,E08000010,RYDER TRUCK RENTAL  ****,16/03/2015,Trading,Transport,Repair And Maintenance Transport,1000
Wigan Council,E08000010,SARABEC LTD         ****,16/03/2015,Corporate,Capital Expenditure,GF Capital Expenditure,533.2
Wigan Council,E08000010,TESCO DIRECT        ****,16/03/2015,Housing Revenue Account,Supplies & Services,Furnished Accomodation,623.33
