Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Crowdfund* Crowdfunder,07/10/2024,Equipment Furniture & Materials,"2,000.00"
St Peters Pavilion Ltd,03/09/2024,Rent,"1,017.50"
Andertoncentre,07/10/2024,Equipment Furniture & Materials,"1,016.00"
Inprint Litho Limited,10/10/2024,Marketing & Publicity,517
Amazon* Wl44w4o45,04/09/2024,Equipment Furniture & Materials,598.76
Hotel At Booking.Com,03/09/2024,Rent,"1,334.00"
Travelodge Gb0000,10/09/2024,Hospitality,826.1
Booking.Com,03/09/2024,Rent,"1,325.05"
Booking.Com,10/09/2024,Employee Transport Costs,688.5
Booking.Com,10/10/2024,Rent,"1,079.00"
Gloveman Supplies Limited,10/10/2024,Equipment Furniture & Materials,626.4
The Mercury Hotel,04/10/2024,Payments to Private Contractors,541.67
The Mercury Hotel,04/10/2024,Payments to Private Contractors,541.67
Tahdah Verified,02/10/2024,"Education, Training, Exam Fees","1,098.00"
"Medals, Coins",09/10/2024,Equipment Furniture & Materials,"1,687.20"
Www.Argos.Co.Uk,04/09/2024,Grants to External Bodies,553.06
Amazon* 204-0273548-37,23/09/2024,Printing & Stationery Supplies,739.05
Amazon* 204-2082549-61,23/09/2024,Printing & Stationery Supplies,"1,031.84"
Www.Amazon* 204-972055,23/09/2024,Printing & Stationery Supplies,684.76
Booking.Com,08/10/2024,Hospitality,708
Booking.Com,08/10/2024,Hospitality,752.73
Booking.Com,10/10/2024,Hospitality,789
Amazon* 8c1v76ad5,03/09/2024,Equipment Furniture & Materials,524.95
Booking.Com,09/10/2024,Hospitality,559.98
Booking.Com,09/10/2024,Hospitality,589.34
Booking.Com,09/10/2024,Hospitality,"1,457.25"
Amazon.Co.Uk*hv7cv5vs5,07/10/2024,Equipment Furniture & Materials,832.5
Amazon.Co.Uk*jk76p7vg5,07/10/2024,Equipment Furniture & Materials,832.5
Johnsons Skoda,04/09/2024,Equipment Furniture & Materials,500
Johnsons Skoda,04/09/2024,Equipment Furniture & Materials,500
Ikea Ltd Shop Online,07/10/2024,Grants to External Bodies,998.1
Www.Argos.Co.Uk,10/10/2024,Equipment Furniture & Materials,712.48
GL Education Group,06/12/2024,"Books, Publications and Resources",714.85
Intuit Ltd Mailchimp,21/11/2024,Equipment Furniture & Materials,541.51
Intuit Ltd Mailchimp,23/12/2024,Equipment Furniture & Materials,546.83
Facebk *x79t9ecsw2,05/12/2024,Advertising (Non Employee),500
Amznmktplace*t34a65wy4,11/11/2024,Grants to External Bodies,774.97
Amznmktplace*t92sz6vv4,11/12/2024,Grants to External Bodies,562.52
Amznmktplace*t93rx2jr4,23/12/2024,Grants to External Bodies,702.04
Amazon* T35c32mi4,11/11/2024,Grants to External Bodies,807.27
Paypal *argosdirect,11/11/2024,Grants to External Bodies,596.95
Paypal *argosdirect,11/11/2024,Grants to External Bodies,764.93
Paypal *argosdirect,11/11/2024,Grants to External Bodies,781.95
Paypal *argosdirect,11/11/2024,Grants to External Bodies,785.85
Paypal *argosdirect,11/12/2024,Grants to External Bodies,578.74
Easyjet 000k87q35c,05/11/2024,Employee Transport Costs,618.38
Ensign Flag Co Ltd,08/11/2024,Equipment Furniture & Materials,712.5
Hqn Limited,08/11/2024,Equipment Furniture & Materials,648
Www.Housingandcare,03/12/2024,Equipment Furniture & Materials,693.72
Reactec Ltd,06/11/2024,Direct Materials,881.63
Www.Cutpricewholesaler,11/12/2024,Equipment Furniture & Materials,748.57
Kilhey Court,11/11/2024,Employee Subsistence,957.6
Www.Pay.Ukcrs.Com,10/12/2024,Payments to Private Contractors,762.02
North West Accomm,05/11/2024,Payments to Private Contractors,532.87
North West Accomm,05/11/2024,Payments to Private Contractors,575.17
North West Accomm,05/12/2024,Payments to Private Contractors,639.45
North West Accomm,05/12/2024,Payments to Private Contractors,639.45
North West Accomm,05/12/2024,Payments to Private Contractors,639.45
North West Accomm,05/12/2024,Payments to Private Contractors,639.45
North West Accomm,05/12/2024,Payments to Private Contractors,690.2
Msft * E0100ttymh,11/11/2024,Computer Equipment,953.28
Msft * E0100uednf,16/12/2024,Computer Equipment,"1,310.40"
Sumup *barwell Bakes,06/11/2024,Provisions - Food and Drink,753.85
Dbs F & Ps,05/12/2024,Equipment Furniture & Materials,913.4
Jak Hanson Shopping Outle,11/11/2024,"Clothing, Uniform and Laundry","1,858.45"
Euroloos,03/12/2024,Electricity,624
Www.Sportline.Com,06/12/2024,Equipment Furniture & Materials,765
Justgiving Alzheimerssoci,06/11/2024,Equipment Furniture & Materials,741.6
Justgiving Alzheimerssoci,06/12/2024,Equipment Furniture & Materials,"1,156.55"
Finsbury Studios Ltd,07/11/2024,Equipment Furniture & Materials,785
Booking.Com,08/11/2024,Employee Transport Costs,688.3
Dignity Funerals,03/12/2024,Equipment Furniture & Materials,500
Gofndme *save St Josep,09/12/2024,Equipment Furniture & Materials,"2,000.00"
Gofundme,05/11/2024,Equipment Furniture & Materials,500
Currys Wigan,10/12/2024,Equipment Furniture & Materials,624.96
Music Mark,04/12/2024,"Education, Training, Exam Fees",531
Mdbrunch.Uk,05/11/2024,Equipment Furniture & Materials,"1,000.00"
The Book Service Ltd Tbs,04/12/2024,Equipment Furniture & Materials,"1,835.00"
Sp Band Supplies Uk,07/11/2024,Equipment Furniture & Materials,631.62
Silentdiscoking.Com,06/12/2024,Equipment Furniture & Materials,"3,219.87"
Booking.Com,04/12/2024,Rent,"1,723.80"
Booking.Com,04/12/2024,Rent,"2,072.06"
Hotel At Booking.Com,05/12/2024,Rent,"1,094.46"
Trainline,11/11/2024,Children�s ITU Contractor Costs,593.79
Trainline,10/12/2024,Children�s ITU Contractor Costs,593.79
The Mercury Hotel,05/11/2024,Payments to Private Contractors,595.83
The Mercury Hotel,05/11/2024,Payments to Private Contractors,595.83
The Mercury Hotel,05/11/2024,Payments to Private Contractors,595.83
The Mercury Hotel,05/11/2024,Payments to Private Contractors,650
The Mercury Hotel,05/11/2024,Payments to Private Contractors,650
Travelodge Gb0000,03/12/2024,Payments to Private Contractors,517.58
One Vision Housing,08/11/2024,Payments to Private Contractors,664.58
Trainline,04/11/2024,Employee Transport Costs,584.2
Tahdah Verified,03/12/2024,"Education, Training, Exam Fees",671
Paypal *harwoodspat,10/12/2024,Provisions - Food and Drink,583.95
Nisbets Ltd,10/12/2024,Equipment Furniture & Materials,"2,999.98"
Thriiver Limited,05/11/2024,Computer Equipment,"3,339.60"
Monster Mesh Ltd,05/12/2024,Equipment Furniture & Materials,683.2
North West Accomm,04/11/2024,Hospitality,639.45
North West Accomm,11/11/2024,Rent,"1,278.90"
The Mercury Hotel,11/12/2024,Payments to Private Contractors,"1,516.67"
Abode Property Managem,11/11/2024,Rent,"1,201.92"
Orlando Village,11/11/2024,Rent,"2,264.00"
Redactive,12/11/2024,Equipment Furniture & Materials,600
Laptops Direct,11/11/2024,Equipment Furniture & Materials,530.21
Laptops Direct,06/12/2024,Equipment Furniture & Materials,524.96
Www.Argos.Co.Uk,11/11/2024,Equipment Furniture & Materials,802.94
Guest 365 Ltd,11/11/2024,Hospitality,"1,338.30"
Facebk *5356mf4tw2,09/01/2025,Advertising (Non Employee),500
Facebk *mmmjjgctw2,06/02/2025,Advertising (Non Employee),500
Paypal *wayfair,06/02/2025,Grants to External Bodies,951.75
Prinsess Carpet Centre Lt,08/01/2025,Grants to External Bodies,600
Paypal *argosdirect,08/01/2025,Grants to External Bodies,553.71
Paypal *argosdirect,08/01/2025,Grants to External Bodies,721.62
Paypal *argosdirect,06/02/2025,Grants to External Bodies,625.83
Rics Subs UK Cybs,05/02/2025,Professional Fees,558
Ability Hotels Liverpool,16/01/2025,Equipment Furniture & Materials,"1,280.00"
Ikea Ltd Shop Online,05/02/2025,Equipment Furniture & Materials,574.17
Easyjet 000k8mdd95,07/01/2025,Employee Transport Costs,862.7
Surveymonkeycore,07/01/2025,Equipment Furniture & Materials,750
Paypal *3b Training,04/02/2025,"Education, Training, Exam Fees","1,080.00"
Paypal *3b Training,04/02/2025,"Education, Training, Exam Fees","1,620.00"
Www.Tradegearltd.Co.Uk,04/02/2025,Direct Materials,"9,200.00"
Reactec Ltd,07/01/2025,Computer Software (Licences & Maintenance),"1,058.40"
Reactec Ltd,07/01/2025,Computer Software (Licences & Maintenance),"1,757.90"
Borron Shaw Management,04/02/2025,Equipment Furniture & Materials,950
Reedsrains.Co.Uk,12/02/2025,Rent,500
Reedsrains.Co.Uk,12/02/2025,Rent,500
Ao Retail Limited,05/02/2025,Equipment Furniture & Materials,782.5
North West Accomm,08/01/2025,Payments to Private Contractors,532.87
North West Accomm,08/01/2025,Payments to Private Contractors,532.87
North West Accomm,08/01/2025,Payments to Private Contractors,532.87
North West Accomm,08/01/2025,Payments to Private Contractors,575.17
Cs *tesco Gc,10/01/2025,Provisions - Food and Drink,"4,166.67"
Cs *tesco Gc,10/01/2025,Provisions - Food and Drink,"4,166.67"
Ena Mill Retail,10/01/2025,Equipment Furniture & Materials,"1,536.00"
Microsoft-G074801952,07/02/2025,Computer Equipment,"1,067.04"
Cs *tesco Gc,07/01/2025,Equipment Furniture & Materials,"4,000.00"
Cs *tesco Gc,07/01/2025,Equipment Furniture & Materials,"4,000.00"
Costco Wholesale #108,07/01/2025,Equipment Furniture & Materials,620.93
Sp Naturewallgroup,04/02/2025,Direct Materials,874.97
Huws Gray - Wigan,04/02/2025,Direct Materials,634.08
Crowdfund* Crowdfunder,09/01/2025,Equipment Furniture & Materials,750
Crowdfund* Crowdfunder,09/01/2025,Equipment Furniture & Materials,"2,000.00"
Www.Salford.Ac.Uk - We,04/02/2025,"Education, Training, Exam Fees","1,320.00"
Ballotbin.Co.Uk,06/02/2025,Marketing & Publicity,"1,089.80"
Hqn Limited,11/02/2025,Equipment Furniture & Materials,"1,500.00"
Rics Subs UK Cybs,08/01/2025,Equipment Furniture & Materials,558
Rics Subs UK Cybs,11/02/2025,Equipment Furniture & Materials,558
Sixty Stores Ltd,19/02/2025,Equipment Furniture & Materials,"1,483.00"
Booking.Com,07/01/2025,Rent,"2,375.83"
Booking.Com,04/02/2025,Rent,"2,584.80"
Skye Mercury Limited,13/01/2025,Payments to Private Contractors,"2,323.33"
Premier Inn,17/01/2025,Hospitality,521.62
Lifestyle Gift Cards,19/02/2025,Provisions - Food and Drink,501.99
Oakmax Limited,09/01/2025,Equipment Furniture & Materials,"2,839.85"
Michaels Civic Robes,07/01/2025,"Clothing, Uniform and Laundry",609
Facebk *va6v3hujv2,14/02/2025,Advertising (Non Employee),500
Tahdah Verified,03/02/2025,"Education, Training, Exam Fees",732
Virginatlairdbeo7p,21/01/2025,Children�s ITU Contractor Costs,"7,001.56"
Holiday Inn Express Wiga,21/02/2025,Hospitality,510
Booking.Com,04/02/2025,Hospitality,510
Dunelm Softfurnishings,04/02/2025,Equipment Furniture & Materials,619.35
Skye Mercury Limited,09/01/2025,Payments to Private Contractors,963.33
Skye Mercury Limited,09/01/2025,Payments to Private Contractors,963.33
Skye Mercury Limited,09/01/2025,Payments to Private Contractors,963.33
Skye Mercury Limited,10/02/2025,Payments to Private Contractors,"1,020.00"
Skye Mercury Limited,10/02/2025,Payments to Private Contractors,"2,380.00"
The Mercury Hotel,09/01/2025,Payments to Private Contractors,900
London Hearts,13/01/2025,Equipment Furniture & Materials,900
Amazon* Uc37u60r5,04/02/2025,Equipment Furniture & Materials,749
Hallgate Beds,15/01/2025,Equipment Furniture & Materials,700
Amazon* Mp8c31ff5,21/02/2025,Equipment Furniture & Materials,990.42
Amazon* Pg67h4r75,21/02/2025,Equipment Furniture & Materials,996.02
Ripencccom,04/03/2025,Equipment Furniture & Materials,"1,500.96"
Crowdfund* Crowdfunder,04/03/2025,Equipment Furniture & Materials,"2,000.00"
Capita Gas,04/03/2025,"Education, Training, Exam Fees",629.19
Holiday Inn Express Leigh,05/03/2025,Equipment Furniture & Materials,866.6
Holiday Inn Express Leigh,05/03/2025,Equipment Furniture & Materials,"1,005.62"
Amazon* R03t02454,05/03/2025,Equipment Furniture & Materials,834.11
Holiday Inn Express Wiga,05/03/2025,Equipment Furniture & Materials,523.8
Htl*holidayinnexpr,06/03/2025,Employee Transport Costs,"1,407.92"
Hotel At Booking.Com,06/03/2025,Employee Transport Costs,674
Allpay *the Riverside Gro,06/03/2025,Rent,705
Allpay *the Riverside Gro,06/03/2025,Rent,705
Bogans Carpets Limited,06/03/2025,Payments to Private Contractors,729.17
Www.Tlcstay.Co.Uk,06/03/2025,Rent,"2,436.00"
Booking.Com,06/03/2025,Hospitality,958.5
Pantone Llc,06/03/2025,Equipment Furniture & Materials,"1,235.00"
Arnold Clark Automobil,06/03/2025,Equipment Furniture & Materials,"1,295.00"
