Beneficiary,Date,Merchant Category,Amount (Net of VAT)
Www.Argos.Co.Uk,14/04/2025,Equipment Furniture & Materials,986.14
Www.Argos.Co.Uk,14/04/2025,Equipment Furniture & Materials,988.14
Lg Comms (2018) Ltd,14/04/2025,"Education, Training, Exam Fees",600
Www.Ypo.Co.Uk,15/04/2025,Printing & Stationery Supplies,541.54
REDACTED,15/04/2025,Provisions - Food and Drink,700
Written Off Publishing,15/04/2025,Marketing & Publicity,877.5
Ballotbin.Co.Uk,15/04/2025,Marketing & Publicity,"1,307.76"
Event* The Uks Real Es,16/04/2025,Computer Software (Licences & Maintenance),895
Event* The Uks Real Es,16/04/2025,Computer Software (Licences & Maintenance),"1,074.00"
Surfturf.Co.Uk,01/05/2025,Equipment Furniture & Materials,752.48
Www.Tlcstay.Co.Uk,01/05/2025,Rent,"2,740.71"
Bkg*hotel At Booking.C,01/05/2025,Hospitality,"2,570.00"
Tahdah Verified,02/05/2025,"Education, Training, Exam Fees",500
Certsure Llp Portal,06/05/2025,"Education, Training, Exam Fees",555
Certsure Llp Portal,06/05/2025,Subscriptions,595
3b Training Ltd,06/05/2025,"Education, Training, Exam Fees",540
Icon Training & Assess,06/05/2025,"Education, Training, Exam Fees","1,380.00"
Crowdfund* Crowdfunder,06/05/2025,Equipment Furniture & Materials,"2,000.00"
Aimproject,06/05/2025,Professional Fees,719
Aimproject,06/05/2025,Professional Fees,"1,760.00"
Cutmy.Co.Uk,06/05/2025,Direct Materials,589.4
Lake District N P,06/05/2025,Equipment Furniture & Materials,"1,200.00"
Surfturf.Co.Uk,07/05/2025,Equipment Furniture & Materials,978
Surfturf.Co.Uk,07/05/2025,Equipment Furniture & Materials,978
Amazon* Rh7gr5mw4,07/05/2025,Equipment Furniture & Materials,"1,200.00"
Dandad.Org,07/05/2025,"Education, Training, Exam Fees",650
REDACTED,07/05/2025,Marketing & Publicity,906
Findel Education,08/05/2025,Equipment Furniture & Materials,994.98
Amazon* Rz71q88u4,08/05/2025,Equipment Furniture & Materials,571.74
Thomann Co Uk,08/05/2025,Equipment Furniture & Materials,522
Tts,08/05/2025,Equipment Furniture & Materials,695.98
Child Poverty Action G,08/05/2025,Equipment Furniture & Materials,566.66
Sp Meglio,08/05/2025,Equipment Furniture & Materials,789.17
Honey Bros,12/05/2025,Equipment Furniture & Materials,500
Wigan Council,14/05/2025,Grants to External Bodies,714.34
Paypal *currysgroup,14/05/2025,Grants to External Bodies,622.5
Paypal *argosdirect,14/05/2025,Grants to External Bodies,525.57
Sp Medtree,14/05/2025,Equipment Furniture & Materials,"3,083.77"
Babymassage,14/05/2025,Equipment Furniture & Materials,733.33
Amazon* Rz9mr95e4,15/05/2025,Grants to External Bodies,619.15
Www.Argos.Co.Uk,15/05/2025,Grants to External Bodies,545.96
Sp Lovesofas,16/05/2025,Equipment Furniture & Materials,569.99
Argos,16/05/2025,Equipment Furniture & Materials,704.96
Holiday Inn Express Wiga,16/05/2025,Equipment Furniture & Materials,562.62
Holiday Inn Express Wiga,16/05/2025,Equipment Furniture & Materials,653.33
Wf *uk4304096104,16/05/2025,Equipment Furniture & Materials,805.97
Argos,20/05/2025,Equipment Furniture & Materials,626.95
Crowdfund* Crowdfunder,03/06/2025,Equipment Furniture & Materials,"1,500.00"
Www.Eric.Uwl.Ac.Uk,03/06/2025,Equipment Furniture & Materials,789
Nisbets Ltd,04/06/2025,Equipment Furniture & Materials,563.95
Hartley Travel Limited,04/06/2025,Equipment Furniture & Materials,600
Dunelm Softfurnishings,04/06/2025,Grants to External Bodies,607.95
Bee Stays Ltd,04/06/2025,Hospitality,"1,470.00"
Bkg*hotel At Booking.C,04/06/2025,Hospitality,670
Bkg*hotel At Booking.C,04/06/2025,Hospitality,919
Bkg*hotel At Booking.C,04/06/2025,Hospitality,"2,570.00"
Facebk *p6yvvpuqw2,04/06/2025,Advertising (Non Employee),500
Icon Training & Assess,04/06/2025,"Education, Training, Exam Fees","1,380.00"
Reactec Ltd,04/06/2025,Equipment Furniture & Materials,"6,000.67"
Omniplas,04/06/2025,Direct Materials,979.75
Www.Tlcstay.Co.Uk,06/06/2025,Rent,"2,355.60"
Www.Tlcstay.Co.Uk,06/06/2025,Rent,"2,759.73"
Cipd.Co.Uk,09/06/2025,Equipment Furniture & Materials,540
RLSSUK,09/06/2025,"Education, Training, Exam Fees",670.9
Airbnb * Inc,10/06/2025,Employee Transport Costs,700
Amazon* Yc79e1f25,10/06/2025,Equipment Furniture & Materials,591.79
Wigan Council,10/06/2025,Grants to External Bodies,960
Wigan Council,10/06/2025,Grants to External Bodies,"1,000.00"
Holiday Inn Express Wiga,12/06/2025,Equipment Furniture & Materials,"1,209.85"
Holiday Inn Express Wiga,12/06/2025,Equipment Furniture & Materials,"1,370.00"
Hi Wakefield M1 Jc,12/06/2025,Employee Subsistence,674
The Society Of Local Auth,12/06/2025,Equipment Furniture & Materials,599.98
Paypal *argosdirect,12/06/2025,Grants to External Bodies,506.62
Paypal *argosdirect,12/06/2025,Grants to External Bodies,622.95
Amazon,13/06/2025,Equipment Furniture & Materials,832.17
Amazon* Fd2x82me5,13/06/2025,Grants to External Bodies,716.64
Amazon* G47ye4085,13/06/2025,Grants to External Bodies,802.68
Paypal *argosdirect,13/06/2025,Grants to External Bodies,563.82
Holiday Inn Express Wiga,13/06/2025,Equipment Furniture & Materials,"5,000.00"
Sumup *sublime Embroider,23/06/2025,"Clothing, Uniform and Laundry","2,422.80"
Furniture@work Ltd,02/07/2025,Equipment Furniture & Materials,"1,809.00"
Omniplas,02/07/2025,Direct Materials,"4,916.61"
Www.Cleverbridge.Net,02/07/2025,Computer Software (Licences & Maintenance),518
Mdbrunch.Uk,03/07/2025,"Education, Training, Exam Fees",583
Velocity Wigan,03/07/2025,Equipment Furniture & Materials,"2,160.00"
Hi Haydock M6 Jct2,04/07/2025,Hospitality,871.06
Holiday Inn Express Wiga,04/07/2025,Hospitality,560
North West Accomm,04/07/2025,Hospitality,"2,617.14"
Bee Stays Ltd,04/07/2025,Hospitality,"2,100.00"
Hotel At Booking.Com,04/07/2025,Hospitality,560
Next Directory,04/07/2025,"Clothing, Uniform and Laundry",723.95
Amazon* 7j0wq3aw5,04/07/2025,Grants to External Bodies,719.83
Amazon* Gc7wh5hx5,04/07/2025,Grants to External Bodies,579.99
Amazon* Th4pw5jf5,04/07/2025,Grants to External Bodies,508.32
Ikea Ltd Shop Online,04/07/2025,Grants to External Bodies,595
Ikea Ltd Shop Online,04/07/2025,Grants to External Bodies,760.83
Ikea Ltd Shop Online,04/07/2025,Grants to External Bodies,807.5
Argos,04/07/2025,Grants to External Bodies,702.07
Dbz,04/07/2025,Grants to External Bodies,503.99
BigDugLtd,04/07/2025,Equipment Furniture & Materials,665.94
Seattle Pioneer Square Op,04/07/2025,Equipment Furniture & Materials,856.24
Seattle Pioneer Square Op,04/07/2025,Equipment Furniture & Materials,856.24
Cds T/A Wilko.Com,04/07/2025,Equipment Furniture & Materials,"1,332.00"
Netflights,04/07/2025,Equipment Furniture & Materials,"1,847.72"
Pricewise Carpets,04/07/2025,Equipment Furniture & Materials,649
Argos,04/07/2025,Grants to External Bodies,501.62
Bkg*hotel At Booking.C,07/07/2025,Hospitality,555
Kilhey Court,07/07/2025,Payments to Private Contractors,650
Winnard Property Group,07/07/2025,Payments to Private Contractors,"1,115.39"
Facebk *9lqe4sqsw2,07/07/2025,Advertising (Non Employee),500
Tahdah Verified,07/07/2025,"Education, Training, Exam Fees",732
Ropeservices Uk,08/07/2025,Equipment Furniture & Materials,595.33
Amazon* W00pd5bt5,08/07/2025,Equipment Furniture & Materials,767.39
Www.Local.Gov.Uk,09/07/2025,Equipment Furniture & Materials,"1,212.00"
Www.Tlcstay.Co.Uk,09/07/2025,Hospitality,"2,842.00"
Lastminutecom,09/07/2025,Children�s ITU Contractor Costs,986.98
Event Durham Cato,10/07/2025,"Education, Training, Exam Fees",725
Holiday Inn Express Leigh,11/07/2025,Hospitality,561.85
Charterediia.Org,15/07/2025,"Education, Training, Exam Fees","1,800.00"
Amazon* Xp10h1ye5,16/07/2025,Equipment Furniture & Materials,629.93
Krklandscapes,17/07/2025,Equipment Furniture & Materials,900
Krklandscapes,17/07/2025,Equipment Furniture & Materials,"2,000.00"
Sumup *krk Landscapes,17/07/2025,Equipment Furniture & Materials,"1,000.00"
Tahdah Verified,01/08/2025,"Education, Training, Exam Fees",732
Justgiving Milltownsound,01/08/2025,Equipment Furniture & Materials,"2,000.00"
D P Coaches Limited,04/08/2025,Equipment Hire,"1,300.00"
Ghe Electrical Fire And S,04/08/2025,Equipment Furniture & Materials,576
Amznmktplace*ry13p51o4,04/08/2025,Equipment Furniture & Materials,536.74
Www.Bannerbuzz.Co.Uk,04/08/2025,Equipment Furniture & Materials,561.43
Hse,04/08/2025,Equipment Furniture & Materials,715
Glenmore Lodge,04/08/2025,Employee Subsistence,"1,322.50"
Www.Marinesuperstore.Com,04/08/2025,Equipment Furniture & Materials,659.4
Sumup *sublime Embroider,04/08/2025,"Clothing, Uniform and Laundry",966
Sumup *sublime Embroider,04/08/2025,"Clothing, Uniform and Laundry",999
Standby Rsg UK Limited,05/08/2025,Equipment Furniture & Materials,756.66
Travis Perkins,05/08/2025,Direct Materials,623.85
Bkg*hotel At Booking.C,05/08/2025,Hospitality,937
Tm *my Chemical Romanc,05/08/2025,Equipment Furniture & Materials,530.87
Currys Online,05/08/2025,Equipment Furniture & Materials,799
Horton Automatics,05/08/2025,Equipment Furniture & Materials,665.65
Holiday Inn Express Wiga,06/08/2025,Hospitality,"1,444.00"
Bee Stays Ltd,06/08/2025,Hospitality,700
Bee Stays Ltd,06/08/2025,Hospitality,"1,400.00"
Bkg*hotel At Booking.C,06/08/2025,Hospitality,"1,350.69"
Bkg*hotel At Booking.C,06/08/2025,Hospitality,"1,819.00"
Facebk *m9yx7vusw2,06/08/2025,Advertising (Non Employee),500
Skye Mercury Limited,06/08/2025,Payments to Private Contractors,793.33
Skye Mercury Limited,06/08/2025,Payments to Private Contractors,793.33
St Peters Pavilion Ltd,06/08/2025,Equipment Furniture & Materials,891
Argos,07/08/2025,Equipment Furniture & Materials,"1,116.95"
Argos,07/08/2025,Equipment Furniture & Materials,"1,441.95"
Argos,07/08/2025,Equipment Furniture & Materials,"1,456.95"
Argos,07/08/2025,Equipment Furniture & Materials,750
The Marine Warehouse Ltd,07/08/2025,Equipment Furniture & Materials,512.45
Sp Electric Mania,07/08/2025,Equipment Furniture & Materials,"6,336.00"
Holiday Inn Express Wiga,08/08/2025,Equipment Furniture & Materials,"3,149.83"
Amazon* 1i5pd2pl5,11/08/2025,Grants to External Bodies,884.98
Amazon* Rc0f16yc4,11/08/2025,Equipment Furniture & Materials,540.81
Paypal *argosdirect,11/08/2025,Grants to External Bodies,603
Paypal *argosdirect,11/08/2025,Grants to External Bodies,759.96
Cs *tesco Gc,11/08/2025,Professional Fees,"3,333.33"
Cs *tesco Gc,11/08/2025,Equipment Furniture & Materials,"5,000.00"
Parkdean Resorts H,11/08/2025,Personal Needs,558
Orrellminit,11/08/2025,Employee Transport Costs,560
Honey Bros,11/08/2025,Equipment Furniture & Materials,500
Honey Bros,11/08/2025,Equipment Furniture & Materials,500
Honey Bros,11/08/2025,Equipment Furniture & Materials,500
North West Accomm,11/08/2025,Employee Subsistence,"2,617.14"
North West Accomm,11/08/2025,Employee Subsistence,"2,617.14"
Www.Tlcstay.Co.Uk,11/08/2025,Employee Subsistence,"3,213.90"
Www.Local.Gov.Uk,11/08/2025,Conferences,505
Easyjet 000k9t8skc,11/08/2025,Equipment Furniture & Materials,560.04
Theonlinesofashop.Co.U,12/08/2025,Grants to External Bodies,549
Amazon* Gb77j04t5,12/08/2025,Grants to External Bodies,578.95
Sp Normans Musical I,12/08/2025,Equipment Furniture & Materials,998.33
Pall Mall Carpets Limi,13/08/2025,Equipment Furniture & Materials,749
Www.Argos.Co.Uk,14/08/2025,Grants to External Bodies,841.95
High Street Vouchers,14/08/2025,Consumable Materials,506.25
One4all,14/08/2025,Consumable Materials,750.99
One4all,14/08/2025,Consumable Materials,750.99
Holiday Inn Express Wiga,18/08/2025,Equipment Furniture & Materials,"2,442.29"
Lodge Appliances,18/08/2025,Equipment Furniture & Materials,"1,935.00"
Bee Stays Ltd,26/08/2025,Hospitality,"1,400.00"
Brighouse Wolff,03/09/2025,Professional Fees,700
Surfturf.Co.Uk,03/09/2025,Equipment Furniture & Materials,669.17
Facebk *yh3n8xusw2,03/09/2025,Advertising (Non Employee),500
Certsure Llp Webshop,03/09/2025,"Books, Publications and Resources",550
Icon Training & Assess,03/09/2025,"Education, Training, Exam Fees",760
Reactec Ltd,03/09/2025,Subscriptions,"3,219.84"
Tahdah Verified,03/09/2025,Computer Software (Licences & Maintenance),732
Bkg*hotel At Booking.C,04/09/2025,Employee Transport Costs,"1,325.53"
4 Ways Cafe & Sandwich,04/09/2025,Provisions - Food and Drink,500
Argos,04/09/2025,Equipment Furniture & Materials,615.95
Posturite,05/09/2025,Equipment Furniture & Materials,"1,555.43"
Seated Furniture Ltd,05/09/2025,Equipment Furniture & Materials,"1,009.82"
Safetysignsup.Couk,08/09/2025,Reprographics,999.85
Kilhey Court,08/09/2025,Payments to Private Contractors,"1,137.50"
Holiday Inn Express Wiga,08/09/2025,Equipment Furniture & Materials,"1,130.72"
Holiday Inn Express Wiga,08/09/2025,Equipment Furniture & Materials,"2,830.85"
Www.Tlcstay.Co.Uk,08/09/2025,Rent,"2,800.00"
Parydisemanagement,08/09/2025,Hospitality,"1,228.80"
Amazon* Rm0ru6bp4,09/09/2025,Grants to External Bodies,670.8
Amazon* Ru53o1q74,09/09/2025,Grants to External Bodies,742.03
Www.Argos.Co.Uk,09/09/2025,Grants to External Bodies,584.96
Amazon* Rf7vg9wt4,09/09/2025,Grants to External Bodies,540.82
Charterediia.Org,09/09/2025,"Education, Training, Exam Fees","3,000.00"
Hqn Limited,09/09/2025,Equipment Furniture & Materials,720
Fernstone Ltd,09/09/2025,Grounds Maintenance,"2,286.41"
The Pavilion,09/09/2025,Equipment Furniture & Materials,"1,250.00"
Sp Electric Mania,09/09/2025,Equipment Furniture & Materials,"4,224.00"
Baker Ross,10/09/2025,Equipment Furniture & Materials,"1,081.54"
Wp Maintain,10/09/2025,Equipment Furniture & Materials,529.2
Apple.Com/Uk,11/09/2025,Private Education Services,"1,299.00"
REDACTED,11/09/2025,Grants to External Bodies,528
Price Right Carpets,11/09/2025,Grants to External Bodies,600
Paypal *ebay Uk,11/09/2025,Grants to External Bodies,699
Sp Barefoot Trading,11/09/2025,Equipment Furniture & Materials,570.83
John Fowler Holidays,11/09/2025,Hospitality,"1,104.15"
Argos,11/09/2025,Equipment Furniture & Materials,516.95
Bkg*hotel At Booking.C,11/09/2025,Hospitality,"1,819.00"
4 Ways Cafe & Sandwich,12/09/2025,Provisions - Food and Drink,833.33
4 Ways Cafe & Sandwich,12/09/2025,Provisions - Food and Drink,833.33
4 Ways Cafe & Sandwich,12/09/2025,Provisions - Food and Drink,833.33
4 Ways Cafe & Sandwich,12/09/2025,Provisions - Food and Drink,833.33
Intuit Ltd Mailchimp,17/09/2025,Marketing & Publicity,523.33
Regal Estate & Letting,22/09/2025,Equipment Furniture & Materials,798
Furniture@work Ltd,02/10/2025,Equipment Furniture & Materials,754
Student Roost,02/10/2025,Equipment Furniture & Materials,"6,786.00"
Parydisemanagement,02/10/2025,Hospitality,"1,405.00"
Sumup *arrivals Star Ltd,02/10/2025,Children�s ITU Contractor Costs,768
Sumup *barwell Bakes,03/10/2025,Provisions - Food and Drink,900
Barton Huxley Management,03/10/2025,Hospitality,504
Www.Tlcstay.Co.Uk,03/10/2025,Hospitality,"1,350.00"
Amazon* Pf8rg91j5,06/10/2025,Equipment Furniture & Materials,539.94
Nisbets Ltd,06/10/2025,Equipment Furniture & Materials,601.18
Ensignflags.Com,06/10/2025,Equipment Furniture & Materials,861.6
M And J Distributors,06/10/2025,Equipment Furniture & Materials,540.33
M And J Distributors,06/10/2025,Equipment Furniture & Materials,683.55
Justgiving Tyldesleyband,06/10/2025,Equipment Furniture & Materials,"2,000.00"
Sta-Awards,06/10/2025,Equipment Furniture & Materials,749.73
Parydisemanagement,07/10/2025,Hospitality,"1,475.00"
North West Accomm,07/10/2025,Hospitality,"2,617.14"
North West Accomm,07/10/2025,Hospitality,"2,617.14"
Parydisemanagement,07/10/2025,Hospitality,"1,218.00"
Www.Tlcstay.Co.Uk,07/10/2025,Hospitality,"1,350.00"
Amazon* Zt15l4cy4,07/10/2025,Equipment Furniture & Materials,667.85
Certsure Llp Portal,07/10/2025,"Education, Training, Exam Fees",830
Icon Training & Assess,07/10/2025,"Education, Training, Exam Fees","1,035.00"
Amazon* Zt0co9co4,07/10/2025,Equipment Furniture & Materials,789.07
Premier Inn,08/10/2025,Equipment Furniture & Materials,994.85
Sp Poppy Shop,08/10/2025,Grants to External Bodies,725
Facebk *yupg82msw2,09/10/2025,Advertising (Non Employee),500
Argos,09/10/2025,Grants to External Bodies,679.96
Amazon* Rk1uj8vs4,10/10/2025,Grants to External Bodies,557.49
Amazon* Z809w5o94,10/10/2025,Grants to External Bodies,559.99
Argos,10/10/2025,Grants to External Bodies,555.96
Argos,10/10/2025,Grants to External Bodies,593.96
Argos,10/10/2025,Grants to External Bodies,692.93
Www.Argos.Co.Uk,10/10/2025,Grants to External Bodies,552.21
The Little Green Platter,10/10/2025,Equipment Furniture & Materials,"1,100.00"
Empire Carpets & Floor,13/10/2025,Grants to External Bodies,774
Prinsess Carpet Centre Lt,13/10/2025,Grants to External Bodies,634
Amazon* Yl6j11wr5,13/10/2025,Grants to External Bodies,727.49
Www.Local.Gov.Uk,15/10/2025,Equipment Furniture & Materials,824.4
Food For Thought Mount,15/10/2025,Employee Subsistence,750
Ao.Com,17/10/2025,Equipment Furniture & Materials,733
Www.Connevans.Com,17/10/2025,Equipment Furniture & Materials,719.34
Allpay *great Places Hous,21/10/2025,Payments to Private Contractors,508.12
Belvoir Wigan,04/11/2025,Professional Fees,800
Paypal *rguarantor,04/11/2025,Equipment Furniture & Materials,667.2
Certsure Llp,04/11/2025,"Education, Training, Exam Fees","1,395.00"
Sp Naturewallgroup,04/11/2025,Direct Materials,568.71
Btas UK Limited,04/11/2025,"Education, Training, Exam Fees",918.75
Web*wybone,04/11/2025,Equipment Furniture & Materials,530.99
Tahdah Verified,04/11/2025,"Education, Training, Exam Fees",854
Yamaha Music London,04/11/2025,Equipment Furniture & Materials,577.5
J Parker Dutch Bulbs Ltd,05/11/2025,Grounds Maintenance,998.5
Uk Insurancenet,05/11/2025,Equipment Furniture & Materials,658.63
Trainline,05/11/2025,Employee Transport Costs,508.99
Kilhey Court,06/11/2025,Payments to Private Contractors,627.75
Amazon* U23az2i55,07/11/2025,Equipment Furniture & Materials,833.23
Amazon* 9j6a19ys5,07/11/2025,Equipment Furniture & Materials,746.27
Sight And Sound Techno,07/11/2025,Computer Equipment,"1,302.00"
Www.Tlcstay.Co.Uk,07/11/2025,Hospitality,"2,862.90"
Craghoppers Ltd,10/11/2025,"Clothing, Uniform and Laundry",599.96
Paypal *currysgroup,11/11/2025,Grants to External Bodies,548
Argos,11/11/2025,Grants to External Bodies,552.5
Argos,11/11/2025,Grants to External Bodies,763.89
Argos,11/11/2025,Grants to External Bodies,786.95
Www.Argos.Co.Uk,11/11/2025,Grants to External Bodies,532.46
Www.Argos.Co.Uk,11/11/2025,Grants to External Bodies,691.5
Ar Pereira Homes,11/11/2025,Hospitality,"2,000.00"
Ar Pereira Homes,11/11/2025,Hospitality,"2,120.00"
Hotel At Booking.Com,11/11/2025,Hospitality,"1,198.27"
Premier Inn,11/11/2025,Equipment Furniture & Materials,517.96
Facebk *na3343msw2,11/11/2025,Advertising (Non Employee),500
Primark Stores Ltd,11/11/2025,"Clothing, Uniform and Laundry",590
Microsoft Payments,12/11/2025,Computer Equipment,744
Eb *housing Data And A,12/11/2025,Professional Fees,800
Event Prop Hire Ltd,12/11/2025,Equipment Furniture & Materials,"5,355.62"
Premier Inn,18/11/2025,Hospitality,602.45
Premier Inn,18/11/2025,Hospitality,756.63
Premier Inn,18/11/2025,Hospitality,791.61
Avanti Groups Smart Pa,18/11/2025,Employee Transport Costs,500
Avanti Groups Smart Pa,18/11/2025,Employee Transport Costs,559
Avanti Groups Smart Pa,18/11/2025,Employee Transport Costs,"1,000.00"
Www.Local.Gov.Uk,20/11/2025,Other MiscellaneousExpenses,505
Dbs F & Ps,01/12/2025,Equipment Furniture & Materials,774.9
Tahdah Verified,01/12/2025,"Education, Training, Exam Fees",671
Lupson Electronics,02/12/2025,Equipment Furniture & Materials,583.32
Gmp Design For Securit,03/12/2025,GF Capital Expenditure,600
Facebk *zaczd6vsw2,03/12/2025,Advertising (Non Employee),500
Bournemouth Marriott,03/12/2025,Equipment Furniture & Materials,"1,213.00"
Paypal *rguarantor,03/12/2025,Equipment Furniture & Materials,858.5
Reedsrains.Co.Uk,03/12/2025,Equipment Furniture & Materials,951.92
Ghe Electrical,03/12/2025,Equipment Furniture & Materials,"1,120.57"
Gfm International Service,03/12/2025,Equipment Furniture & Materials,650
Furniture@work Ltd,03/12/2025,Equipment Furniture & Materials,532.8
Mesnes Street Carpet Ce,03/12/2025,Equipment Furniture & Materials,605
Bournemouth Marriott,03/12/2025,Equipment Furniture & Materials,"1,048.00"
Sp Leachs,03/12/2025,Equipment Furniture & Materials,645.95
Www.Hopesgrovenurserie,03/12/2025,Grounds Maintenance,"1,141.20"
Williamswindells.Co.Uk,03/12/2025,Equipment Furniture & Materials,585.32
Thomann Co Uk,03/12/2025,Equipment Furniture & Materials,915.83
Avenue Dental Centre,04/12/2025,Equipment Furniture & Materials,"1,664.00"
Wigan Nw T/O,04/12/2025,Employee Transport Costs,682
Mesnes Street Carpet Ce,04/12/2025,Equipment Furniture & Materials,566.8
Tiger Furniture Ltd,04/12/2025,Equipment Furniture & Materials,"4,842.00"
High-Spec Ltd,04/12/2025,Equipment Furniture & Materials,"1,884.00"
Allpay *great Places Hous,05/12/2025,Rent,718.94
Indeed Iei25-01706258,05/12/2025,Agency Staff,502.65
Iceland,05/12/2025,Grants to External Bodies,999.9
Post Office Counter,05/12/2025,Postages,765
Carpets 2 Go Ltd,05/12/2025,Equipment Furniture & Materials,750
Msft * E0100y1lae,08/12/2025,Computer Equipment,"1,227.60"
Getjoan.Com,08/12/2025,Computer Software (Licences & Maintenance),515
Argos,09/12/2025,Grants to External Bodies,742.95
Craghoppers Ltd,09/12/2025,Equipment Furniture & Materials,728
Craghoppers Ltd,09/12/2025,Equipment Furniture & Materials,766.67
Bkg*hotel At Booking.C,09/12/2025,Equipment Furniture & Materials,"2,215.19"
Allpay *great Places Hous,09/12/2025,Equipment Furniture & Materials,718.94
Bkg*booking.Com Flight,10/12/2025,Employee Transport Costs,897.98
Amazon* Jx54w6hb5,10/12/2025,Equipment Furniture & Materials,749.5
Paypal *argosdirect,11/12/2025,Grants to External Bodies,549.02
Paypal *argosdirect,11/12/2025,Grants to External Bodies,565.64
Www.Irrv.Org.Uk,11/12/2025,Equipment Furniture & Materials,"2,346.00"
Ar Pereira Homes,11/12/2025,Hospitality,"6,355.00"
Premier Inn,11/12/2025,Furnished Accomodation,543.27
Premier Inn,11/12/2025,Furnished Accomodation,543.27
Premier Inn,11/12/2025,Furnished Accomodation,580.77
Premier Inn,11/12/2025,Furnished Accomodation,700.72
Premier Inn,11/12/2025,Furnished Accomodation,739.88
Allpay *great Places Hous,11/12/2025,Rent,718.94
Premier Inn,12/12/2025,Furnished Accomodation,700.72
Allpay *great Places Hous,12/12/2025,Rent,718.94
Allpay *great Places Hous,12/12/2025,Rent,718.94
Allpay *great Places Hous,12/12/2025,Rent,807.38
Allpay *great Places Hous,12/12/2025,Rent,829.18
Amazon* Z39mm9504,15/12/2025,Grants to External Bodies,599
Justgiving Alzheimerssoci,15/12/2025,Other MiscellaneousExpenses,"1,285.81"
Holiday Inn Express Wiga,18/12/2025,Equipment Furniture & Materials,"5,000.00"
Lgc*uber Giftcard,22/12/2025,Children�s ITU Contractor Costs,750
Www.Tlcstay.Co.Uk,22/12/2025,Hospitality,"2,932.20"
Lgc*uber Giftcard,22/12/2025,Children�s ITU Contractor Costs,600
M And J Distributors,07/01/2026,Equipment Furniture & Materials,612
Rics Subs UK Cybs,07/01/2026,Professional Fees,578
Enviroment Agency,07/01/2026,Waste and Recycling,"4,515.35"
Cnbc Civil Application Fe,07/01/2026,Equipment Furniture & Materials,"1,131.00"
2naa056659654 Td E-Pmt,07/01/2026,Professional Fees,"1,735.00"
The Cumberland Hotel,07/01/2026,Employee Subsistence,672
Up Level Ltd,07/01/2026,Professional Fees,822
Hotel At Booking.Com,07/01/2026,Hospitality,684
Getjoan.Com,07/01/2026,Computer Software (Licences & Maintenance),624.9
Holiday Inn Express Wiga,07/01/2026,Equipment Furniture & Materials,"8,000.00"
Skye Mercury Limited,08/01/2026,Payments to Private Contractors,"1,303.33"
Allpay *great Places Hous,08/01/2026,Rent,700.05
Hqn Limited,08/01/2026,"Education, Training, Exam Fees",600
Chorley Nissan Wigan,08/01/2026,Equipment Furniture & Materials,"1,419.00"
Sp Blazepod,08/01/2026,Equipment Furniture & Materials,524
Sp Meglio,08/01/2026,Equipment Furniture & Materials,674.37
Princess Flooring,08/01/2026,Grants to External Bodies,708
Amazon* Z979241i4,08/01/2026,Grants to External Bodies,813.06
