Payment date,Supplier Name,Purpose,Department,Amount
21/06/2023,THE A TEAM SMALL JOBS PROJECT LTD,Removal Exp - Tenant,"Dir of Adults, Health & Communities",400
21/06/2023,KAAMIL EDUCATION LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",392.65
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",392.56
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",392.56
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",392.56
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",392.56
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",390.2
21/06/2023,EMBRACE UK COMMUNITY SUPPORT CENTRE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",390.2
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",382.12
21/06/2023,RESIDENTIAL CARE SERVICES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",381
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",380
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",380
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",379.52
21/06/2023,STOCKWELLCARE SUPPORT SERVICES LIMI,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",378.64
21/06/2023,PRIMERA ASSISTED LIVING LIMITED T/A,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",378.54
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",378
21/06/2023,NWANDO DOMICILLIARY CARE LIMITED,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",363
