Payment date,Supplier Name,Purpose,Department,Amount
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,1656
02/10/2023,Vivid Resourcing,Legal Services,Assistant Dir Corporate Governance,1620
02/10/2023,Vivid Resourcing,Legal Services,Assistant Dir Corporate Governance,1582.2
02/10/2023,ALLPAY LTD CHILDREN DP,Prv Sctr Care Pkage,Dir of Children's Services,1510.24
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1500
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1500
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1500
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,1496
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,1493
02/10/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1451.66
02/10/2023,LYCIUM LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1408.33
02/10/2023,MEDILINK CONSULTING LTD,Environmental Services,Assistant Dir Corporate Governance,1380
02/10/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1365
02/10/2023,JUNITA LTD T/A STEPHEN GRACEY,Prem - Leasing,"Dir of Adults, Health & Communities",1360
02/10/2023,ANS MANAGEMENT LTD,Prem - Leasing,"Dir of Adults, Health & Communities",1235
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,Housing Revenue Account,1200
02/10/2023,N.J.O SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Dir of Finance,1200
02/10/2023,D&G CONSTRUCTION & ELECTRICAL LIMIT,"Works - Construction, Repair & Maintenance",Dir of Placemaking & Housing,1150
02/10/2023,LYCIUM LIMITED,Prem - Leasing,"Dir of Adults, Health & Communities",1148.33
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,1135
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,1125
02/10/2023,Personal Data Redacted,Prem - Leasing,"Dir of Adults, Health & Communities",1105
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,1051
02/10/2023,MEDILINK CONSULTING LTD,Environmental Services,Assistant Dir Corporate Governance,1035
02/10/2023,GRANT PAYMENTS,Award Discretionary,Dir of Children's Services,1000
02/10/2023,GRANT PAYMENTS,Award Discretionary,Dir of Children's Services,1000
02/10/2023,GRANT PAYMENTS,Award Discretionary,Dir of Children's Services,1000
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,969
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,969
02/10/2023,BOWYER BRYCE,Consultancy,Dir of Placemaking & Housing,950
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,885
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,880
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,792
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,779
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,753
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,753
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,753
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,750
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,750
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,Housing Revenue Account,727.68
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Fees Legal External,Housing Revenue Account,700
02/10/2023,K M S Voice and Fire Systems ltd,Information Communication Technology,Assistant Dir Corporate Governance,699.72
02/10/2023,BVL Scaffolding Co. Ltd,"Works - Construction, Repair & Maintenance",Housing Revenue Account,688
02/10/2023,BVL Scaffolding Co. Ltd,"Works - Construction, Repair & Maintenance",Housing Revenue Account,688
02/10/2023,EDF ENERGY CUSTOMER PLC,Energy - Electric,Housing Revenue Account,674.59
02/10/2023,Personal Data Redacted,Arts & Leisure Services,"Dir of Adults, Health & Communities",610.8
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,600
02/10/2023,NOMINET UK,Information Communication Technology,"Dir of  Culture, Strategy & Engagement",555.28
02/10/2023,BUNZL UK LTD t/a GREENHAM,Stock - Raw Material,Housing Revenue Account,545.61
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,542
02/10/2023,KIRKMAN & JOURDAIN LTD,"Works - Construction, Repair & Maintenance",Dir of Finance,540
02/10/2023,B-MAT SCAFFOLDING LTD,"Works - Construction, Repair & Maintenance",Housing Revenue Account,499
02/10/2023,WRIGHT EVENT SUPPLIES LTD,Facilities & Management Services,Dir of Placemaking & Housing,454
02/10/2023,FORENSIC PATHOLOGY SERVICES,Environmental Services,Assistant Dir Corporate Governance,447.7
02/10/2023,DEVELOPMENT & LEARNING OPPORTUNITIE,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",438.88
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,425
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,381.53
02/10/2023,GRANT PAYMENTS,Fees - Exam,Dedicated Schools Grant Management,380.1
02/10/2023,MEDLOCK ELECTRICAL DISTRIBUTORS LTD,Stock - Raw Material,Housing Revenue Account,379.5
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,378
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,375
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,375
02/10/2023,BUNZL UK LTD t/a GREENHAM,Cleaning & Janitorial,"Dir of Adults, Health & Communities",365.26
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,Housing Revenue Account,359.68
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,"Dir of  Culture, Strategy & Engagement",350
02/10/2023,THE PATHOLOGY GROUP,Environmental Services,Assistant Dir Corporate Governance,350
02/10/2023,MEDILINK CONSULTING LTD,Environmental Services,Assistant Dir Corporate Governance,345
02/10/2023,PITNEY BOWES LTD,Mail Services,"Dir of  Culture, Strategy & Engagement",325
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,315
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,Housing Revenue Account,300
02/10/2023,GRANT PAYMENTS,Vol Sec - Add Supp,Dedicated Schools Grant Management,291.37
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,"Dir of  Culture, Strategy & Engagement",281
02/10/2023,KAMINO HOMECARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",263.74
02/10/2023,EDF ENERGY CUSTOMER PLC,Energy - Electric,Housing Revenue Account,228.6
02/10/2023,AKW MEDICARE LTD,"Material - Purch,Rep",Housing Revenue Account,220.01
02/10/2023,EDF ENERGY CUSTOMER PLC,Energy - Gas,Housing Revenue Account,175.29
02/10/2023,EDF ENERGY CUSTOMER PLC,Energy - Electric,Housing Revenue Account,173.59
02/10/2023,THE CEDARS HEALTHCARE MIDLANDS LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",155.02
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,135
02/10/2023,WOLSELEY UK LIMITED,"Material - Purch,Rep",Housing Revenue Account,121.39
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,108
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,108
02/10/2023,FAYERS PLUMBING AND BUILDING SUPPLI,"Material - Purch,Rep",Housing Revenue Account,103.85
02/10/2023,PROTECTIVE WEAR SUPPLIES LTD T/A PW,Equip - Safety,Housing Revenue Account,99.3
02/10/2023,WOLSELEY UK LIMITED,"Material - Purch,Rep",Housing Revenue Account,93.75
02/10/2023,TOUCAN TOOL COMPANY LTD,"Material - Purch,Rep",Housing Revenue Account,82
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,70
02/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,"Dir of  Culture, Strategy & Engagement",50
02/10/2023,SIG TRADING LIMITED,"Material - Purch,Rep",Housing Revenue Account,49.5
02/10/2023,TRAVIS PERKINS TRADING CO LTD,"Material - Purch,Rep",Housing Revenue Account,48
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,45
02/10/2023,FAYERS PLUMBING AND BUILDING SUPPLI,"Material - Purch,Rep",Housing Revenue Account,39.72
02/10/2023,PROTECTIVE WEAR SUPPLIES LTD T/A PW,Equip - Safety,Housing Revenue Account,39.52
02/10/2023,DEVELOPMENT & LEARNING OPPORTUNITIE,Travel Exp - Client,"Dir of Adults, Health & Communities",36
02/10/2023,TRAVIS PERKINS TRADING CO LTD,"Material - Purch,Rep",Housing Revenue Account,28.58
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,27
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,22.5
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,13.5
02/10/2023,PayPoint Network,Subs - Profess Orgs,"Dir of Adults, Health & Communities",10.14
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,9
02/10/2023,THE DIVINE WATER COMPANY LTD,Building Construction Materials,Dir of Environment & Resident Experience,9
02/10/2023,ASHFORDS LLP,Legal Services,Assistant Dir Corporate Governance,3
02/10/2023,NOMINET UK,IT Serv Infrastruct,"Dir of  Culture, Strategy & Engagement",0.47
02/10/2023,K M S Voice and Fire Systems ltd,Equip - Hire,Assistant Dir Corporate Governance,0.28
02/10/2023,OURRIS PROPERTIES LIMITED,JtFundInc - Health,"Dir of Adults, Health & Communities",-878.84
02/10/2023,OURRIS PROPERTIES LIMITED,JtFundInc - Health,"Dir of Adults, Health & Communities",-16697.96
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Children's Services,182575.49
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Children's Services,180007.99
03/10/2023,NPOWER LIMITED,Energy - Electric,Dir of Placemaking & Housing,178131.24
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Placemaking & Housing,176755.33
03/10/2023,Formation Design and Build Limited,"Works - Construction, Repair & Maintenance",Dir of Finance,170999.1
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,"Dir of Adults, Health & Communities",158589.38
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,"Dir of  Culture, Strategy & Engagement",145869.79
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,"Dir of Adults, Health & Communities",141950.06
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Placemaking & Housing,138830.68
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,"Dir of  Culture, Strategy & Engagement",124358.53
03/10/2023,KHIN FAMILY SERVICES,Priv - Mother & Baby,Dir of Children's Services,113225.14
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Housing Revenue Account,107829.7
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Environment & Resident Experience,103333.76
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Environment & Resident Experience,94232.82
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Housing Revenue Account,89046.83
03/10/2023,HAIL LTD,Priv - Res Long,"Dir of Adults, Health & Communities",62839.2
03/10/2023,CARE 4 EVERY CHILD,Priv - Res Long,Dir of Children's Services,59337.14
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Finance,52171.97
03/10/2023,BUPA CARE HOMES (ANS) LTD,Priv - Res Long,"Dir of Adults, Health & Communities",50193.15
03/10/2023,LINK COMMUNITY CARE LTD,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",49225.08
03/10/2023,ANNA HOUSE LTD,Priv - Res Long,Dir of Children's Services,48400.8
03/10/2023,DMP HEALTHCARE HEATHERBROOK LTD,Priv - Res Long,"Dir of Adults, Health & Communities",47062.32
03/10/2023,WINSBEACH CHILDREN'S HOME,Priv - Res Long,Dir of Children's Services,40800
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Dir of Finance,40621.35
03/10/2023,MULLINVAM LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",36844.6
03/10/2023,MIG HOUSE RESIDENTIAL CARE HOME LTD,Priv - Res Long,Dir of Children's Services,32000
03/10/2023,FOOTSTEPS CARE LIMITED,Priv - Res Long,Dir of Children's Services,31696.49
03/10/2023,TWINGLOBE CARE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",31673.04
03/10/2023,DIAMOND BUILD PLC,"Works - Construction, Repair & Maintenance",Dir of Finance,28364.32
03/10/2023,NEW FOREST CARE LIMITED,Priv - Res Long,Dir of Children's Services,26917.14
03/10/2023,YOUNG GENERATION,Priv - Res Long,Dir of Children's Services,25578
03/10/2023,UNIFIED CARE LTD T/A VICTORIA'S CAR,Priv - Res Long,"Dir of Adults, Health & Communities",25285.52
03/10/2023,HAZELWOOD LODGE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",25025.44
03/10/2023,RIVERSIDE SCHOOL,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",24880
03/10/2023,ALLPAY LTD ADULTS DIRECT PAYMENTS,Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",24187.08
03/10/2023,REFLEXION CARE GROUP LIMITED,Priv - Res Long,Dir of Children's Services,22600
03/10/2023,HILLCREST CHILDRENS SERVICES LTD,Priv - Res Long,Dir of Children's Services,22460
03/10/2023,DMP HEALTHCARE HEATHERBROOK LTD,Priv - Res Long,"Dir of Adults, Health & Communities",22308.64
03/10/2023,Your Chapter Ltd,Priv - Res Long,Dir of Children's Services,22000
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Assistant Dir Corporate Governance,21966.33
03/10/2023,PATERNOSTER HOUSE CARE CENTRE,Priv - Res Long,"Dir of Adults, Health & Communities",21718.08
03/10/2023,SHELL UK OIL PRODUCTS LTD,Vehicle Management,Housing Revenue Account,21029.21
03/10/2023,CARETECH COMMUNITY SERVICES LTD,Priv - Res Long,Dir of Children's Services,20592
03/10/2023,SWAAY CHILD AND ADOLESCENT SERVICES,Priv - Res Long,Dir of Children's Services,20390.44
03/10/2023,CAMBIAN CHILDCARE LIMITED,Priv - Res Long,Dir of Children's Services,20220
03/10/2023,GREEN LANES PROJECTS LTD,Priv - Res Long,"Dir of Adults, Health & Communities",19666.16
03/10/2023,EARLYBIRDCARE LTD T/A ALEXANDRAPARK,Priv - Res Long,"Dir of Adults, Health & Communities",19149.17
03/10/2023,LUKKA CARE HOMES (2010) LTD,Priv - Res Long,"Dir of Adults, Health & Communities",19130.72
03/10/2023,CARE UK COMMUNITY PARTNERSHIPS LTD,Priv - Res Long,"Dir of Adults, Health & Communities",19033.64
03/10/2023,HIGHCROFT CARE HOME,Priv - Res Long,"Dir of Adults, Health & Communities",18523.56
03/10/2023,DIRECT CARE LTD,Priv - Res Long,Dir of Children's Services,17980
03/10/2023,ELYSIUM HEALTHCARE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",17813.12
03/10/2023,MATRIX SCM LTD,SalAgen-Est Post,Assistant Dir Corporate Governance,17136.11
03/10/2023,CAUSEWAY CARE HOMES LTD,Priv - Res Long,Dir of Children's Services,16800
03/10/2023,AREA CAMDEN LTD,Priv - Res Long,Dir of Children's Services,16076
03/10/2023,ACORN HOMES (UK) LTD,Priv - Res Long,Dir of Children's Services,15600
03/10/2023,BAYIS SHELI LTD,Priv - Res Long,Dir of Children's Services,15520
03/10/2023,ABBEY RAVENSCROFT PARK LTD,Priv - Res Long,"Dir of Adults, Health & Communities",15240.88
03/10/2023,SAKTI LTD,Priv - Res Long,"Dir of Adults, Health & Communities",14616.28
03/10/2023,ASPRAY HOUSE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",14520.92
03/10/2023,PEACEFORM (UK) LTD,Priv - Res Long,"Dir of Adults, Health & Communities",14417.6
03/10/2023,YESSS (A) ELECTRICAL LTD,Stock - Raw Material,Housing Revenue Account,13933.5
03/10/2023,BARCHESTER HEALTHCARE HOMES TA WILS,Priv - Res Long,"Dir of Adults, Health & Communities",13898.08
03/10/2023,COMPASS CHILDREN'S SERVICES LTD,Priv - Res Long,Dir of Children's Services,13714.29
03/10/2023,IASPIRE CARE SERVICES LIMITED,Priv - Res Long,Dir of Children's Services,13714.29
03/10/2023,PHILOMENA OKORON T/A 4ACRES DOMICIL,Priv - Res Long,"Dir of Adults, Health & Communities",13276
03/10/2023,ROXWELL CARE GIDEA PARK LIMITED,Priv - Res Long,Dir of Children's Services,13142.86
03/10/2023,MUF ARCHITECTURE / ART LLP,"Works - Construction, Repair & Maintenance",Dir of Finance,12740
03/10/2023,HILTON LODGE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",12737.6
03/10/2023,HUGH MYDDLETON HOUSE,Priv - Res Long,"Dir of Adults, Health & Communities",12474.72
03/10/2023,CARE IN FINANCE LTD (CLIENT),Prv Sctr Care Pkage,"Dir of Adults, Health & Communities",12320.52
03/10/2023,ASHLEY HOUSE,Priv - Res Long,"Dir of Adults, Health & Communities",12216
03/10/2023,THE CONIFERS HEALTHCARE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",12100
03/10/2023,METHODIST HOMES FOR THE AGED,Priv - Res Long,"Dir of Adults, Health & Communities",11808
03/10/2023,REAL LIFE,Priv - Mother & Baby,Dir of Children's Services,11800
03/10/2023,JEWISH CARE,Priv - Res Long,"Dir of Adults, Health & Communities",11232.04
03/10/2023,SOUTHGATE BEAUMOUNT CARE COMMUNITY,Priv - Res Long,"Dir of Adults, Health & Communities",11150.92
03/10/2023,THE FER VIEW RESIDENTIAL CARE HOME,Priv - Res Long,"Dir of Adults, Health & Communities",11092.8
03/10/2023,PJ CARE LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",10642.32
03/10/2023,GRANT PAYMENTS,Priv - Contractor,Dir of Environment & Resident Experience,10450
03/10/2023,BUPA CARE HOMES (GL) LTD,Priv - Res Long,"Dir of Adults, Health & Communities",10256.28
03/10/2023,Emerald Contracts Ltd,"Works - Construction, Repair & Maintenance",Housing Revenue Account,9995
03/10/2023,HC ONE OVAL LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",9886.8
03/10/2023,ASH COURT COMMUNITY LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",9292.12
03/10/2023,GABLE COURT NH LTD,Priv - Res Long,"Dir of Adults, Health & Communities",9096.76
03/10/2023,Ingleton Wood LLP,"Works - Construction, Repair & Maintenance",Dir of Finance,8640
03/10/2023,BUPA CARE HOMES (FFHCARE) LTD,Priv - Res Long,"Dir of Adults, Health & Communities",8619.92
03/10/2023,BROOKDALE HEALTHCARE,Priv - Res Long,"Dir of Adults, Health & Communities",8448.64
03/10/2023,ACORN LODGE CARE HOME,Priv - Res Long,"Dir of Adults, Health & Communities",8389.92
03/10/2023,LITTLE SISTERS OF THE POOR,Priv - Res Long,"Dir of Adults, Health & Communities",8156.4
03/10/2023,HF TRUST LTD,Priv - Res Long,"Dir of Adults, Health & Communities",8112
03/10/2023,16 TO 21 PROJECT LTD,Priv - Contractor,Dir of Children's Services,7971.43
03/10/2023,BRAMLEY HEALTH LTD,Priv - Res Long,"Dir of Adults, Health & Communities",7842.08
03/10/2023,The Huntercombe Group - Conifer Lod,Priv - Res Long,"Dir of Adults, Health & Communities",7691.84
03/10/2023,ABI DEVELOPMENTS 3 LTD TA 1 SEWARDS,Priv - Res Long,"Dir of Adults, Health & Communities",7591.84
03/10/2023,COMPENSATION CLAIMS & LEGAL COSTS,Exp - Compensation,"Dir of  Culture, Strategy & Engagement",7565.4
03/10/2023,Personal Data Redacted,Priv - Res Long,"Dir of Adults, Health & Communities",7537.6
03/10/2023,SENSE,Priv - Res Long,"Dir of Adults, Health & Communities",7428
03/10/2023,The South North CIC,Arts & Leisure Services,Housing Revenue Account,7321
03/10/2023,SUNCARE RECOVERY LTD,Priv - Res Long,"Dir of Adults, Health & Communities",7280
03/10/2023,GABLE COURT NH LTD,Priv - Res Long,"Dir of Adults, Health & Communities",7254.72
03/10/2023,CHITIMALI LOCUM MEDICAL LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",7074.2
03/10/2023,GRESHAM CARE LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",7006.2
03/10/2023,3A CARE (LONDON) LIMITED T/A THE HO,Priv - Res Long,"Dir of Adults, Health & Communities",6817.6
03/10/2023,KARUNA MANOR CARE HOME,Priv - Res Long,"Dir of Adults, Health & Communities",6607.2
03/10/2023,GLENPAT HOMES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",6585.28
03/10/2023,MONREAD LODGE NURSING HOME LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",6538.57
03/10/2023,SUNRISE SENIOR TA GRACEWELL HEALTHC,Priv - Res Long,"Dir of Adults, Health & Communities",6448.48
03/10/2023,BARCHESTER HEALTHCARE  LTD,Priv - Res Long,"Dir of Adults, Health & Communities",6442.08
03/10/2023,LEONARD CHESHIRE DISABILITY,Priv - Res Long,"Dir of Adults, Health & Communities",6297.4
03/10/2023,MUF ARCHITECTURE / ART LLP,Consultancy,Dir of Placemaking & Housing,6250
03/10/2023,EASTBROOK HOUSE RESIDENTIAL HOME,Priv - Res Long,"Dir of Adults, Health & Communities",6132.8
03/10/2023,ROSELOCK LIMITED,Priv - Res Long,"Dir of Adults, Health & Communities",5842.92
03/10/2023,Emerald Contracts Ltd,"Works - Construction, Repair & Maintenance",Housing Revenue Account,5795
03/10/2023,NFC Homes Limited,"Works - Construction, Repair & Maintenance",Dir of Finance,5720.36
03/10/2023,WHITE ROSE CARE,Priv - Res Long,"Dir of Adults, Health & Communities",5701.68
03/10/2023,YAD VOEZER,Priv - Res Long,"Dir of Adults, Health & Communities",5700.08
03/10/2023,Vibrance,Priv - Res Long,"Dir of Adults, Health & Communities",5668.48
03/10/2023,BLACKBERRY HILL LTD,Priv - Res Long,"Dir of Adults, Health & Communities",5642.08
03/10/2023,JANITH HOMES LTD,Priv - Res Long,"Dir of Adults, Health & Communities",5615.16
03/10/2023,WATERFALL HOUSE LTD,Priv - Res Long,"Dir of Adults, Health & Communities",5492.2
03/10/2023,LIVABILITY,Priv - Res Long,"Dir of Adults, Health & Communities",5470.6
