Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,ATRETAIL,5122760040,05.09.2023,REVENUE,"5,625.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,KNIGHT FRANK LLP,5122752308,27.07.2023,REVENUE,"6,290.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,NAYLORS GAVIN BLACK LLP,5122752391,27.07.2023,REVENUE,"6,290.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,SAGGEZZA LTD,5122754344,07.08.2023,REVENUE,"35,943.30"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,APTUS CONSTRUCTION LTD,5122755731,15.08.2023,REVENUE,"16,400.48"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,COMMUNICATIONS & COMPUTING,BRITISH TELECOMMUNICATIONS PLC,5122755984,15.08.2023,REVENUE,"4,435.25"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,SAGGEZZA LTD,5122763071,18.09.2023,REVENUE,"153,263.88"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,WARD HADAWAY,5122760705,07.09.2023,REVENUE,"2,250.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,GREENSPACE HOLDINGS LTD,5122744716,03.07.2023,REVENUE,"35,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,GREENSPACE HOLDINGS LTD,5122757031,23.08.2023,REVENUE,"35,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,"REPAIRS, ALTERATIONS & MAINTENANCE",MACDONALD MARTIN LTD,5122747584,11.07.2023,REVENUE,"1,737.31"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,COMMERCIAL DEVELOPMENT,SERVICES,HACKETT PROPERTY LTD ,5122766212,28.09.2023,REVENUE,"1,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,GMI CONSTRUCTION GROUP PLC,5122757261,04.09.2023,REVENUE,"4,520.11"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,IAMP MANAGEMENT COMPANY LTD,5122763564,20.09.2023,REVENUE,"3,117.93"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,FISHER GERMAN,5122754362,07.08.2023,REVENUE,930.49
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,FISHER GERMAN,5122758319,04.09.2023,REVENUE,930.49
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,FISHER GERMAN,5122762555,14.09.2023,REVENUE,"3,488.13"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,RESIDENTIAL PROPERTIES,"REPAIRS, ALTERATIONS & MAINTENANCE",A.BUCKLER HAULAGE LTD,5122746094,12.07.2023,REVENUE,"181,559.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,COMMERCIAL DEVELOPMENT,SERVICES,MICHAEL HODGSON ESTATE AGENTS & CHARTERED  SURVEYORS,5122761791,12.09.2023,REVENUE,"1,050.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,5122738198,24.08.2023,REVENUE,527.73
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,5122746757,24.08.2023,REVENUE,527.73
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,5122747671,24.08.2023,REVENUE,527.73
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,ASPIRE TECHNOLOGY SOLUTIONS LIMITED,5122754625,24.08.2023,REVENUE,527.73
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,BRADLEY HALL LTD,5122749782,19.07.2023,REVENUE,717.60
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,BRADLEY HALL LTD,5122760510,07.09.2023,REVENUE,"2,521.20"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,BRADLEY HALL LTD,5122765910,27.09.2023,REVENUE,"2,284.40"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,BRADLEY HALL LTD,5122745242,04.07.2023,REVENUE,"2,608.80"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,BRADLEY HALL LTD,5122760513,07.09.2023,REVENUE,"5,577.69"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,BRADLEY HALL LTD,5122760514,07.09.2023,REVENUE,"1,339.84"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,BRADLEY HALL LTD,5122765909,27.09.2023,REVENUE,"1,607.32"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,ORBIS PROTECT LTD,5122745091,04.07.2023,REVENUE,"1,116.22"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,ADT FIRE & SECURITY PLC,5122747313,11.07.2023,REVENUE,"2,083.20"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,ADT FIRE & SECURITY PLC,5122747314,11.07.2023,REVENUE,"-1,787.23"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,SANDERSON WEATHERALL,5122748285,13.07.2023,REVENUE,"1,950.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,ORBIS PROTECT LTD,5122754026,22.08.2023,REVENUE,"1,153.42"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,ORBIS PROTECT LTD,5122759908,05.09.2023,REVENUE,"1,153.42"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,EQUIPMENT/FURNITURE/MATERIALS,BALFOUR BEATTY LIVING PLACES,5122755938,26.09.2023,REVENUE,"2,078.37"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,LOFTHOUSE & PARTNERS,5122754786,09.08.2023,REVENUE,"2,850.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,ART OF PROTEST LTD,5122766384,28.09.2023,REVENUE,"9,500.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,INVESTMENT PROPERTIES,SERVICES,CARDINUS RISK MANAGEMENT LIMITED,5122754797,22.09.2023,REVENUE,750.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,PINNACLE SERVICES (NE) LTD T/A PSL SECURITY SYSTEMS,5122749405,18.07.2023,REVENUE,930.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,GRAYSON'S PROPERTIES LTD,5122756675,18.08.2023,REVENUE,"11,196.86"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,ENVISION DESIGN GROUP LIMITED,5122763714,20.09.2023,REVENUE,"4,895.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,TRIDENT FIRE PROTECTION & TRAINING LTD,5122763790,25.09.2023,REVENUE,"2,880.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,GRAYSON'S PROPERTIES LTD,5122765766,27.09.2023,REVENUE,"1,820.50"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,GRAYSON'S PROPERTIES LTD,5122765996,28.09.2023,REVENUE,"18,618.31"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,CITY DEVELOPMENT,DEVELOPMENT SITES,SERVICES,NORTHERN POWERGRID NORTHEAST,5122752236,28.07.2023,REVENUE,678.65
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,LIBRARIES,PUBLIC TRANSPORT,CLICK TRAVEL,3300313024,11.08.2023,REVENUE,"45,292.89"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,LIBRARIES,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,STATEX PRESS NORTHERN LIMITED,5122756759,22.08.2023,REVENUE,"1,090.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,LIBRARIES,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,BOLINDA DIGITAL LTD,5122750258,20.07.2023,REVENUE,"2,196.67"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,LIBRARIES,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,BOLINDA DIGITAL LTD,5122756283,16.08.2023,REVENUE,740.61
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,LIBRARIES,PRINTING/STATIONERY/GENERAL OFFICE EQUIPMENT,BOLINDA DIGITAL LTD,5122756811,18.08.2023,REVENUE,701.70
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,ARTS AND CREATIVE DEVELOPMENT,SERVICES,MOON IN THE SKY THEATRE COMPANY,5122746459,07.07.2023,REVENUE,845.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,ARTS AND CREATIVE DEVELOPMENT,SERVICES,VINCE COOPER,5122754958,10.08.2023,REVENUE,"3,510.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,ARTS AND CREATIVE DEVELOPMENT,SERVICES,OILY CART THEATRE COMPANY LTD,5122765308,26.09.2023,REVENUE,650.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,AA MEDIA LIMITED VISIT ENGLAND ASSESSMENT SERVICES,5122757822,24.08.2023,REVENUE,524.91
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,CLEANING & DOMESTIC,GREENHAM LIMITED,5122758601,30.08.2023,REVENUE,603.84
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,GRANTS & SUBSCRIPTIONS,THE MUSEUMS ASSOCIATION,5122761559,12.09.2023,REVENUE,982.09
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,PPL PRS LTD,5122761836,12.09.2023,REVENUE,489.92
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,EFSTATHIOS PROFESSIONAL SERVICES,5122759709,06.09.2023,REVENUE,689.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,ZURICH MUNICIPAL,5122752744,31.07.2023,REVENUE,840.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,NORTHERN HERITAGE SERVICES LIMITED,5122745690,05.07.2023,REVENUE,"1,182.35"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,BYZANTIUM COLLECTION LTD,5122748716,14.07.2023,REVENUE,"2,176.85"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,MISCELLANEOUS EXPENSES,CGB GIFTWARE,7003702534,14.07.2023,REVENUE,609.78
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,GARDNERS BOOKS LTD,5122752612,28.07.2023,REVENUE,645.63
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,BILLY ROSS WHOLESALE,5122755226,11.08.2023,REVENUE,"1,233.36"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,MUSEUMS & GALLERIES LTD,5122755225,11.08.2023,REVENUE,564.06
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,KEYCRAFT,5122755796,15.08.2023,REVENUE,"1,462.82"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,MICONEX LTD,5122756042,15.08.2023,REVENUE,"1,095.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,RAVENDSEN PLC,5122755994,15.08.2023,REVENUE,"1,746.90"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,STAR EDITIONS LIMITED,5122755880,15.08.2023,REVENUE,806.78
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,MISCELLANEOUS EXPENSES,BABY BRANDS DIRECT LTD,7003712026,15.08.2023,REVENUE,676.40
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,MISCELLANEOUS EXPENSES,GEM IMPORTS LTD,7003712026,15.08.2023,REVENUE,755.52
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,HOUSE OF MARBLES,5122756048,16.08.2023,REVENUE,697.20
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,SERVICES,NORTHERN SKY DESIGN,5122758068,25.08.2023,REVENUE,564.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,THEATRE,SERVICES,THE AMBASSADOR THEATRE GROUP,5122759250,01.09.2023,REVENUE,"41,659.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,MUSEUMS,PRIVATE CONTRACTORS,NEWCASTLE CITY COUNCIL,3300312713,27.07.2023,REVENUE,"28,907.50"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,HERITAGE,SERVICES,BEAUMONT BROWN ARCHITECTS,5122746301,06.07.2023,REVENUE,"4,925.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,HERITAGE,SERVICES,SUNDERLAND NORTH COMMUNITY BUSINESS CENTRE,5122761831,12.09.2023,REVENUE,"1,060.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,HERITAGE,SERVICES,COURAGE CREATIVE LTD,5122763105,18.09.2023,REVENUE,441.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,HERITAGE,MISCELLANEOUS EXPENSES,UP NORTH COMMUNICATIONS LTD,5122763077,19.09.2023,REVENUE,520.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,HERITAGE,GRANTS & SUBSCRIPTIONS,HYLTON CASTLE TRUST,5122745502,05.07.2023,REVENUE,"26,657.83"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,HERITAGE,SERVICES,HYLTON CASTLE TRUST,5122761832,12.09.2023,REVENUE,"100,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,CULTURE HOUSE,EQUIPMENT/FURNITURE/MATERIALS,GETECH LTD,5122746388,06.07.2023,REVENUE,750.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,CULTURE HOUSE,GRANTS & SUBSCRIPTIONS,BALTIC CONTEMPORARY VISUAL ARTS,5122749377,18.07.2023,REVENUE,"2,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,BT GLOBAL SERVICES,5122748690,14.07.2023,REVENUE,"8,260.98"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,SERVICES,PRAXIS REAL ESTATE MANAGEMENT LTD,5122749074,17.07.2023,REVENUE,"20,146.47"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122749075,26.07.2023,REVENUE,"2,450.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,CLEANING & DOMESTIC,INITIAL HYGIENE,5122752336,27.07.2023,REVENUE,916.81
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,ENERGY COSTS,WCF FUELS-NORTH EAST,5122752692,28.07.2023,REVENUE,775.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,SIEMENS,5122751779,28.07.2023,REVENUE,800.00
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,BT GLOBAL SERVICES,5122753088,01.08.2023,REVENUE,"6,020.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,BT GLOBAL SERVICES,5122755131,10.08.2023,REVENUE,"-8,260.98"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,BT GLOBAL SERVICES,5122755133,10.08.2023,REVENUE,"8,330.98"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122755049,16.08.2023,REVENUE,"2,450.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,SERVICES,PRAXIS REAL ESTATE MANAGEMENT LTD,5122758937,01.09.2023,REVENUE,"20,146.47"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122762510,15.09.2023,REVENUE,"2,572.50"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,CLEANING & DOMESTIC,INITIAL HYGIENE,5122763817,20.09.2023,REVENUE,667.38
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS INVESTMENT,PUBLIC TRANSPORT,STATION TAXIS (SUNDERLAND) LIMITED,3300313396,22.09.2023,REVENUE,"2,624.30"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS INVESTMENT,GRANTS & SUBSCRIPTIONS,SUNDERLAND BID LTD,5122749273,17.07.2023,REVENUE,"10,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS INVESTMENT,GRANTS & SUBSCRIPTIONS,SUNDERLAND BID LTD,5122749393,18.07.2023,REVENUE,"10,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122749077,25.07.2023,REVENUE,"3,606.09"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,BT GLOBAL SERVICES,5122752293,27.07.2023,REVENUE,"9,167.50"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122755041,16.08.2023,REVENUE,"3,606.09"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,CLEANING & DOMESTIC,GREENHAM LIMITED,5122758384,06.09.2023,REVENUE,529.59
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122762514,18.09.2023,REVENUE,"3,786.40"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,E&P BUSINESS SUPPORT,SERVICES,1 STOP HSE TRAINING LIMITED,5122745246,07.07.2023,REVENUE,"2,440.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,E&P BUSINESS SUPPORT,SERVICES,AFS (TRAINING) LTD,5122756800,04.09.2023,REVENUE,"3,500.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,E&P BUSINESS SUPPORT,SERVICES,HELIGUY,5122762490,14.09.2023,REVENUE,582.92
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS INVESTMENT,MISCELLANEOUS EXPENSES,NARC. MEDIA,5122747539,11.07.2023,REVENUE,"1,030.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS INVESTMENT,SERVICES,THE CRACK LTD,5122758867,31.08.2023,REVENUE,"1,250.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122744903,03.07.2023,REVENUE,612.50
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122751762,26.07.2023,REVENUE,612.50
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,BT GLOBAL SERVICES,5122751360,31.07.2023,REVENUE,"2,250.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122756672,18.08.2023,REVENUE,612.50
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,COMMUNICATIONS & COMPUTING,TRUSTACK LTD,5122763658,20.09.2023,REVENUE,643.13
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS CENTRES,CLEANING & DOMESTIC,GREENHAM LIMITED,5122765014,27.09.2023,REVENUE,418.80
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,BUSINESS INVESTMENT,GRANTS & SUBSCRIPTIONS,NORTH EAST OF ENGLAND BIC,5122747652,11.07.2023,REVENUE,"43,474.74"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,STRATEGIC & SUSTAINABLE PLANS,GROUNDS MAINTENANCE,MICROSITE (MR PETER J HOLDER T/A),5122757885,25.08.2023,REVENUE,"13,779.19"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,CARBON REDUCTION,SERVICES,NEWCASTLE CITY COUNCIL,5122754910,10.08.2023,REVENUE,"12,762.52"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,CARBON REDUCTION,SERVICES,JACOBS ENGINEERING UK LTD,5122756957,23.08.2023,REVENUE,"50,520.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,CARBON REDUCTION,MISCELLANEOUS EXPENSES,CREO COMMUNICATIONS LTD,5122759198,01.09.2023,REVENUE,"1,219.50"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,CARBON REDUCTION,GRANTS & SUBSCRIPTIONS,COMMON PURPOSE CHARITABLE TRUST,5122765792,27.09.2023,REVENUE,"5,000.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,STRATEGIC & SUSTAINABLE PLANS,COMMUNICATIONS & COMPUTING,IDOX SOFTWARE LTD,5122743379,07.09.2023,REVENUE,"3,850.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,REGENERATION,SERVICES,TOWNDEV LTD,5122750753,26.07.2023,REVENUE,"2,500.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,REGENERATION,GRANTS & SUBSCRIPTIONS,QUEEN STREET HERITAGE TRUST LTD,3300312684,20.07.2023,REVENUE,"1,317.60"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,REGENERATION,SERVICES,DURHAM UNIVERSITY,5122746101,06.07.2023,REVENUE,"7,560.00"
SUNDERLAND CITY COUNCIL,CITY DEVELOPMENT,ECONOMIC REGENERATION,REGENERATION,SERVICES,GED MCCORMACK,5122749066,17.07.2023,REVENUE,"1,960.00"
