Posting date,Supplier number,Supplier name,Expense type,Department,Amount
13/09/2023,1245929,The Regard Partnership Ltd,,Bi-Borough Director of Integrated Care,16325.96
19/07/2023,1271174,ASPECTS 2 LIMITED,,Bi-Borough Director of Integrated Care,4243.4
19/07/2023,1271174,ASPECTS 2 LIMITED,,Bi-Borough Director of Integrated Care,4243.4
16/08/2023,1271174,ASPECTS 2 LIMITED,,Bi-Borough Director of Integrated Care,4243.4
16/08/2023,1271174,ASPECTS 2 LIMITED,,Bi-Borough Director of Integrated Care,4243.4
13/09/2023,1271174,ASPECTS 2 LIMITED,,Bi-Borough Director of Integrated Care,4243.4
13/09/2023,1271174,ASPECTS 2 LIMITED,,Bi-Borough Director of Integrated Care,4243.4
19/07/2023,1243851,Accomplish Group Ltd,,Bi-Borough Director of Integrated Care,9143.72
19/07/2023,1243851,Accomplish Group Ltd,,Bi-Borough Director of Integrated Care,9143.72
16/08/2023,1243851,Accomplish Group Ltd,,Bi-Borough Director of Integrated Care,18027.35
16/08/2023,1243851,Accomplish Group Ltd,,Bi-Borough Director of Integrated Care,18027.35
13/09/2023,1243851,Accomplish Group Ltd,,Bi-Borough Director of Integrated Care,11000
13/09/2023,1243851,Accomplish Group Ltd,,Bi-Borough Director of Integrated Care,11000
19/07/2023,1243435,Acorn Village,,Bi-Borough Director of Integrated Care,7438
16/08/2023,1243435,Acorn Village,,Bi-Borough Director of Integrated Care,7438
13/09/2023,1243435,Acorn Village,,Bi-Borough Director of Integrated Care,7438
19/07/2023,1243942,Aspens Charities,,Bi-Borough Director of Integrated Care,7490
16/08/2023,1243942,Aspens Charities,,Bi-Borough Director of Integrated Care,7490
13/09/2023,1243942,Aspens Charities,,Bi-Borough Director of Integrated Care,7490
19/07/2023,1243961,Autism Anglia,,Bi-Borough Director of Integrated Care,10644
16/08/2023,1243961,Autism Anglia,,Bi-Borough Director of Integrated Care,10644
13/09/2023,1243961,Autism Anglia,,Bi-Borough Director of Integrated Care,10644
11/09/2023,1244010,Bindmans Llp,Legal Costs,Bi-Borough Director of Integrated Care,7000
11/09/2023,1244010,Bindmans Llp,Legal Costs,Bi-Borough Director of Integrated Care,30987.6
19/07/2023,1243445,Broadstreet House Limited,,Bi-Borough Director of Integrated Care,4604.48
16/08/2023,1243445,Broadstreet House Limited,,Bi-Borough Director of Integrated Care,4604.48
13/09/2023,1243445,Broadstreet House Limited,,Bi-Borough Director of Integrated Care,4604.48
19/07/2023,1246286,Brunswick Supported Living,,Bi-Borough Director of Integrated Care,1314.64
19/07/2023,1246286,Brunswick Supported Living,,Bi-Borough Director of Integrated Care,1314.64
16/08/2023,1246286,Brunswick Supported Living,,Bi-Borough Director of Integrated Care,1314.64
16/08/2023,1246286,Brunswick Supported Living,,Bi-Borough Director of Integrated Care,1314.64
13/09/2023,1246286,Brunswick Supported Living,,Bi-Borough Director of Integrated Care,1314.64
13/09/2023,1246286,Brunswick Supported Living,,Bi-Borough Director of Integrated Care,1314.64
24/07/2023,1302645,CENTRE 404,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,717.5
14/08/2023,1302645,CENTRE 404,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,820
14/08/2023,1302645,CENTRE 404,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,820
21/09/2023,1302645,CENTRE 404,B*Voluntary-Spot-V Dep-Enhanced - do not u,Bi-Borough Director of Integrated Care,820
19/07/2023,1273390,CHILTERN SUPPORT & HOUSING LTD,,Bi-Borough Director of Integrated Care,16536.72
16/08/2023,1273390,CHILTERN SUPPORT & HOUSING LTD,,Bi-Borough Director of Integrated Care,16536.72
13/09/2023,1273390,CHILTERN SUPPORT & HOUSING LTD,,Bi-Borough Director of Integrated Care,16536.72
19/07/2023,1244092,Cambrian Learning Disabilities Ltd,,Bi-Borough Director of Integrated Care,9554.6
16/08/2023,1244092,Cambrian Learning Disabilities Ltd,,Bi-Borough Director of Integrated Care,7008.12
13/09/2023,1244092,Cambrian Learning Disabilities Ltd,,Bi-Borough Director of Integrated Care,7008.12
19/07/2023,1246321,Camphill Village Trust,,Bi-Borough Director of Integrated Care,4180.12
16/08/2023,1246321,Camphill Village Trust,,Bi-Borough Director of Integrated Care,4180.12
13/09/2023,1246321,Camphill Village Trust,,Bi-Borough Director of Integrated Care,4180.12
19/07/2023,1246324,Candour Care Services (Broadview),,Bi-Borough Director of Integrated Care,7434.92
16/08/2023,1246324,Candour Care Services (Broadview),,Bi-Borough Director of Integrated Care,7434.92
13/09/2023,1246324,Candour Care Services (Broadview),,Bi-Borough Director of Integrated Care,7434.92
19/07/2023,1246327,Canterbury Oast Trust Ltd,,Bi-Borough Director of Integrated Care,1346.8
16/08/2023,1246327,Canterbury Oast Trust Ltd,,Bi-Borough Director of Integrated Care,1346.8
13/09/2023,1246327,Canterbury Oast Trust Ltd,,Bi-Borough Director of Integrated Care,1346.8
25/09/2023,1245091,Care UK Community Partnerships Ltd,,Bi-Borough Director of Integrated Care,9223.04
19/07/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,6823.36
19/07/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,4711.16
19/07/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,4711.16
16/08/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,6823.36
16/08/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,4711.16
16/08/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,4711.16
13/09/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,6823.36
13/09/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,4711.16
13/09/2023,1246339,Caretech Community Services Ltd,,Bi-Borough Director of Integrated Care,4711.16
24/08/2023,1246349,Caxton Youth Organisation,B*Distric Council non fee related servi,Bi-Borough Director of Integrated Care,650
24/08/2023,1246349,Caxton Youth Organisation,B*Distric Council non fee related servi,Bi-Borough Director of Integrated Care,650
24/08/2023,1246349,Caxton Youth Organisation,B*Distric Council non fee related servi,Bi-Borough Director of Integrated Care,650
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,8587.28
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,12988.04
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,12278.76
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,51730.56
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5372.08
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,2302.32
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,4489.32
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5819.48
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,4256.92
19/07/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5819.48
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,17243.52
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,12988.04
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,12278.76
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,8587.28
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,2302.32
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5372.08
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,4489.32
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5819.48
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,4256.92
16/08/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5819.48
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,12988.04
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,8587.28
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,12278.76
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5372.08
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,2302.32
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,4489.32
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5819.48
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,5819.48
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,4256.92
13/09/2023,1276470,Certitude (Support for Living),,Bi-Borough Director of Integrated Care,17243.52
19/07/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,685.52
19/07/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,4812
19/07/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,8936
16/08/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,8936
16/08/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,4812
16/08/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,685.52
13/09/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,4812
13/09/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,685.52
13/09/2023,1293636,Choice Support,,Bi-Borough Director of Integrated Care,8936
19/07/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,6408
19/07/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,4952
19/07/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,5568
19/07/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,7028
19/07/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,5536
16/08/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,5536
16/08/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,6408
16/08/2023,1243458,Cocklebury Farmhouse Homes Ltd,,Bi-Borough Director of Integrated Care,5568
