Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations -May 2023",,,,,,
Effective Date,01/05/2023 - 31/05/2023,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
03.05.2023,"9,144.00",EMERALD CARE SERVICES LTD,Place Health & Adult Social Care,Community: Supported Living,506049,N,N/A
03.05.2023,511.32,TELECOM PLUS PLC THE UTILITY WAREHO,Core Services ,Energy - Electricity,210001,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,234.30",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,234.30",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,516,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,516,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,511.2,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,984,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,516,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,516,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,516,ARROW SELF DRIVE,Growth & Sustainability,Vehicle Hire,300006,N,N/A
03.05.2023,"1,234.30",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,026.32",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,518.29,HARRATTS RENAULT WAKEFIELD,Growth & Sustainability,Vehicle Maintenance,300001,N,N/A
03.05.2023,"2,279.40",HARRATTS RENAULT WAKEFIELD,Growth & Sustainability,Vehicle Maintenance,300001,N,N/A
03.05.2023,"1,350.56",HARRATTS RENAULT WAKEFIELD,Growth & Sustainability,Vehicle Maintenance,300001,N,N/A
03.05.2023,"12,861.00",PLEXUS LAW LTD,Corporate Budgets,Recharge - Other Internal Recharges,745005,N,N/A
03.05.2023,"1,234.30",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"15,961.91",BARNSLEY SPV ONE LTD,Childrens Services,Main contractor,506011,N,N/A
03.05.2023,"1,227.65",LINCS ELECTRICAL WHOLESALERS LTD,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"2,680.80",NORTHERN PLUMBING SUPPLIES,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,691.2,NORTHERN PLUMBING SUPPLIES,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,528,NORTHERN PLUMBING SUPPLIES,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,"2,076.00",NORTHERN PLUMBING SUPPLIES,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,577.68,NORTHERN PLUMBING SUPPLIES,Growth & Sustainability,Direct - Building Items,403013,N,N/A
03.05.2023,"34,284.00",F R SHARROCK LTD,Growth & Sustainability,Vehicles,360001,N,N/A
03.05.2023,"71,139.30",F R SHARROCK LTD,Growth & Sustainability,Vehicles,360001,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,130.31",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,730.14,CROWN CARE II LLP,Place Health & Adult Social Care,Carers - Respite,506058,N,N/A
03.05.2023,559.56,CROWN CARE II LLP,Place Health & Adult Social Care,Carers - Respite,506058,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,589.09",SANCTUARY CARE LTD,Place Health & Adult Social Care,Community: Supported Living,506049,N,N/A
03.05.2023,"1,075.76",SANCTUARY CARE LTD,Place Health & Adult Social Care,Community: Supported Living,506049,N,N/A
03.05.2023,768.4,SANCTUARY CARE LTD,Place Health & Adult Social Care,Community: Supported Living,506049,N,N/A
03.05.2023,"1,278.60",SANCTUARY CARE LTD,Place Health & Adult Social Care,Community: Supported Living,506049,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,"1,300.00",REDACTED PERSONAL DATA,Growth & Sustainability,Professional fees,424006,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,902.22,FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
03.05.2023,"1,243.20",FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
03.05.2023,"1,301.40",FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
03.05.2023,597.6,FIM HYDRAULICS LIMITED,Growth & Sustainability,Transport Stores,300008,N,N/A
03.05.2023,708.65,WARD GREEN LODGE LTD,Place Health & Adult Social Care,Carers - Respite,506058,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,617.15,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,513.16,REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,"1,026.32",REDACTED PERSONAL DATA,Place Health & Adult Social Care,Supported Accommodation,506054,N,N/A
