Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations - Jan 2024",,,,,,
Effective Date,01/01/2024 - 31/01/2024,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
02.01.2024,"16,708.09",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"16,914.71",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,925.03",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,931.46",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"16,284.69",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,"20,924.95",ACORN CARE AND EDUCATION,Childrens Services,Out Of Borough Placements,501004,N,N/A
02.01.2024,500,REDACTED PERSONAL DATA,Childrens Services,Consultants Fees,424007,N,N/A
02.01.2024,"1,368.15",Enterprise Flex-E-Rent,Growth & Sustainability,Vehicle Maintenance,300001,N,N/A
02.01.2024,"16,362.00",Good Fundraising Company ltd,Growth & Sustainability,Promotional Goods & Services,460024,N,N/A
02.01.2024,"5,760.00",WATERMAN ASPEN LTD,Growth & Sustainability,Basic pay - Agency Fees,104001,N,N/A
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,990,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,990,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,594,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,528,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
02.01.2024,660,Prospero Teaching,Childrens Services,Community Services,505045,N,N/A
