Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M27C,Adult Social Care Operations,Supplies and Services,"7,240.33",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M27C,Adult Social Care Operations,Supplies and Services,"7,481.67",Jul-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M27C,Adult Social Care Operations,Supplies and Services,"7,240.33",Jul-23
Slough Borough Council,805817,Bright World Nurseries,F909,Children & Families,Supplies and Services,"10,772.90",Jul-23
Slough Borough Council,805817,Bright World Nurseries,F909,Children & Families,Supplies and Services,990.00,Jul-23
Slough Borough Council,615,British Red Cross,B409,Customer,Indirect Employee Expenses,598.00,Jul-23
Slough Borough Council,504,Britwell Baptist Pre School,F909,Children & Families,Supplies and Services,"5,319.74",Jul-23
Slough Borough Council,504,Britwell Baptist Pre School,F909,Children & Families,Supplies and Services,"1,170.00",Jul-23
Slough Borough Council,2852,Britwell Youth & Community Project,F382,Children & Families,Supplies and Services,"3,750.12",Jul-23
Slough Borough Council,2852,Britwell Youth & Community Project,F382,Children & Families,Supplies and Services,"3,466.80",Jul-23
Slough Borough Council,2852,Britwell Youth & Community Project,F382,Children & Families,Supplies and Services,"1,155.60",Jul-23
Slough Borough Council,619,Buchanan  Computing Ltd,D501,Place Strategy & Infrastructure,Supplies and Services,"1,995.00",Jul-23
Slough Borough Council,2850,Bullseye Awards & Garments Ltd,D333,Customer,Supplies and Services,"2,000.00",Jul-23
Slough Borough Council,741,Bunnies Pre-School,F909,Children & Families,Supplies and Services,"6,510.92",Jul-23
Slough Borough Council,804448,Bupa Care Homes (ANS) Ltd,M15D,Adult Social Care Operations,Supplies and Services,"6,642.86",Jul-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"5,142.90",Jul-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"5,142.90",Jul-23
Slough Borough Council,2675,Burnham Lodge Ltd,A02E,Adult Social Care Operations,Supplies and Services,"5,142.90",Jul-23
Slough Borough Council,803264,C A Telecom,P579,Capital,Capital Charges,"10,000.00",Jul-23
Slough Borough Council,629,C.H.O.I.C.E Limited,M26E,Adult Social Care Operations,Supplies and Services,"12,918.98",Jul-23
