Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,2919,Islamic Shakhsiyah Foundation,F909,Children & Families,Supplies and Services,"12,290.18",Oct-23
Slough Borough Council,806270,J2 RESEARCH LTD,F210,Community,Supplies and Services,"2,505.00",Oct-23
Slough Borough Council,753,Jack In The Box Day Nursery,F909,Children & Families,Supplies and Services,"11,074.73",Oct-23
Slough Borough Council,733,James Elliman  School,E620,Children & Families,Supplies and Services,"21,762.33",Oct-23
Slough Borough Council,805226,JD Surfacing & Civil Engineering Limited,P579,Capital,Capital Charges,"15,300.00",Oct-23
Slough Borough Council,805226,JD Surfacing & Civil Engineering Limited,P579,Capital,Capital Charges,"2,040.00",Oct-23
Slough Borough Council,805226,JD Surfacing & Civil Engineering Limited,P243,Capital,Capital Charges,"5,250.00",Oct-23
Slough Borough Council,805226,JD Surfacing & Civil Engineering Limited,D500,Place Strategy & Infrastructure,Supplies and Services,"4,100.00",Oct-23
Slough Borough Council,807453,John F Hunt Regeneration Ltd,P405,Capital,Capital Charges,"131,369.36",Oct-23
Slough Borough Council,807453,John F Hunt Regeneration Ltd,P405,Capital,Capital Charges,"108,497.60",Oct-23
Slough Borough Council,807453,John F Hunt Regeneration Ltd,P405,Capital,Capital Charges,"107,904.80",Oct-23
Slough Borough Council,2200,Joshua Pilmore,C322,Community,Supplies and Services,"2,065.00",Oct-23
Slough Borough Council,809063,KARELINK LTD,M18C,Adult Social Care Operations,Supplies and Services,"3,000.00",Oct-23
Slough Borough Council,803815,Kathys Childcare,F909,Children & Families,Supplies and Services,952.35,Oct-23
Slough Borough Council,2620,Kcare Nursing Agency Ltd,M44C,Adult Social Care Operations,Supplies and Services,896.70,Oct-23
Slough Borough Council,2620,Kcare Nursing Agency Ltd,M44D,Adult Social Care Operations,Supplies and Services,"1,576.05",Oct-23
Slough Borough Council,2620,Kcare Nursing Agency Ltd,M48C,Adult Social Care Operations,Supplies and Services,"4,000.00",Oct-23
Slough Borough Council,804887,KCare Nursing Agency Ltd Supported House Living,M42F,Adult Social Care Operations,Supplies and Services,"2,926.00",Oct-23
Slough Borough Council,804887,KCare Nursing Agency Ltd Supported House Living,M44F,Adult Social Care Operations,Supplies and Services,"2,493.50",Oct-23
Slough Borough Council,804875,Kennel Lane School,F551,Children & Families,Supplies and Services,"11,665.18",Oct-23
Slough Borough Council,804875,Kennel Lane School,F551,Children & Families,Supplies and Services,"10,569.00",Oct-23
Slough Borough Council,804875,Kennel Lane School,F551,Children & Families,Supplies and Services,"21,710.00",Oct-23
Slough Borough Council,808146,Kents Hill Care Home,M18C,Adult Social Care Operations,Supplies and Services,"3,788.57",Oct-23
Slough Borough Council,808146,Kents Hill Care Home,M18C,Adult Social Care Operations,Supplies and Services,"3,914.86",Oct-23
Slough Borough Council,807742,Khalsa Primary School,E620,Children & Families,Supplies and Services,"15,652.00",Oct-23
Slough Borough Council,803916,Kharis Solutions,M42E,Adult Social Care Operations,Supplies and Services,"6,600.00",Oct-23
Slough Borough Council,803916,Kharis Solutions,M42E,Adult Social Care Operations,Supplies and Services,"3,700.00",Oct-23
Slough Borough Council,803916,Kharis Solutions,M42E,Adult Social Care Operations,Supplies and Services,"4,070.00",Oct-23
Slough Borough Council,808609,Langhams Partnership LTD,H218,Community,Supplies and Services,"11,600.00",Oct-23
Slough Borough Council,664,Langley Grammar School,E610,Children & Families,Supplies and Services,875.00,Oct-23
Slough Borough Council,1699,Langley Hall Primary Academy,E620,Children & Families,Supplies and Services,"4,750.00",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M25C,Adult Social Care Operations,Supplies and Services,"4,898.40",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M25C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M25C,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M25D,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
Slough Borough Council,3001,Langley Haven Care Homes Ltd,M25D,Adult Social Care Operations,Supplies and Services,"4,430.12",Oct-23
