Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,980.00,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,225.00",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,700.04,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,225.28",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,470.28",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"2,205.28",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,067.64",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"2,327.78",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,590.76,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"1,338.95",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,"2,205.28",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44C,Adult Social Care Operations,Supplies and Services,507.64,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44D,Adult Social Care Operations,Supplies and Services,595.00,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44D,Adult Social Care Operations,Supplies and Services,"1,619.02",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44D,Adult Social Care Operations,Supplies and Services,"2,485.00",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M44F,Adult Social Care Operations,Supplies and Services,"1,102.64",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,840.14,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,555.74,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,905.63,Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M48C,Adult Social Care Operations,Supplies and Services,"2,660.56",Nov-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M48C,Adult Social Care Operations,Supplies and Services,630.00,Nov-23
Slough Borough Council,806987,Better Life Care Ltd,M44E,Adult Social Care Operations,Supplies and Services,"4,400.00",Nov-23
Slough Borough Council,1736,Bevan Brittan Llp,P242,Capital,Capital Charges,"1,617.00",Nov-23
Slough Borough Council,1736,Bevan Brittan Llp,P242,Capital,Capital Charges,567.00,Nov-23
Slough Borough Council,1736,Bevan Brittan Llp,P242,Capital,Capital Charges,"5,166.00",Nov-23
Slough Borough Council,808755,BHANDAL INVESTMENTS LTD,H205,Housing (People) Services,Supplies and Services,"1,650.00",Nov-23
Slough Borough Council,1224,Big Yellow Self Storage,F253,Children & Families,Premises,644.00,Nov-23
Slough Borough Council,1224,Big Yellow Self Storage,F253,Children & Families,Premises,644.00,Nov-23
Slough Borough Council,1224,Big Yellow Self Storage,J606,Place Management,Premises,"2,464.80",Nov-23
Slough Borough Council,1224,Big Yellow Self Storage,D303,Place Regulation,Supplies and Services,"5,149.95",Nov-23
Slough Borough Council,1224,Big Yellow Self Storage,D303,Place Regulation,Supplies and Services,"5,149.95",Nov-23
