Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,Central Services to the Public,Elections,Electoral Registration,Comms - Postages,07/06/2023,5791207,"2,670.53",Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Corporate Campaigns,Communications,14/06/2023,5785363,350.00,Section 40 FOIA
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,External Communications,Communications,28/06/2023,5797746,724.50,Precise Media Monitoring LTD
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor�s Office,Services - Professional Fees - Consultants Fees,05/06/2023,5790348,"7,561.20",RICHARD PENN CONSULTANCY LTD
Chief Executive�s Office,Corporate & Democratic Core,Democratic Representation & Management,Mayor�s Office,Services - Professional Fees - Consultants Fees,05/06/2023,5790349,"11,567.40",RICHARD PENN CONSULTANCY LTD
Chief Executive�s Office,Planning Services,Planning Policy,Legal Planning Team,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5789877,"4,981.00",Trowers & Hamlins
Chief Executive�s Office,Planning Services,Planning Policy,Legal Planning Team,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5789878,690.00,Trowers & Hamlins
Chief Executive�s Office,Planning Services,Planning Policy,Legal Planning Team,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5789879,"1,207.00",Trowers & Hamlins
Chief Executive�s Office,Planning Services,Planning Policy,Legal Planning Team,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5789880,"1,343.00",Trowers & Hamlins
Chief Executive�s Office,Planning Services,Planning Policy,Legal Planning Team,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5789881,"7,106.00",Trowers & Hamlins
Chief Executive�s Office,Planning Services,Planning Policy,Legal Planning Team,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5789882,"1,020.00",Trowers & Hamlins
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,07/06/2023,5789300,"1,600.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,05/06/2023,5790430,500.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/06/2023,5793067,391.25,Simon L Taylor Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,12/06/2023,5793069,475.00,Medical-Legal Appointments Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Counsel's Fees,23/06/2023,5797978,450.00,TLB Services T/A TLB Medicals Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5789982,"27,501.28",Driscoll Kingston Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5789997,375.00,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,02/06/2023,5790010,786.00,P G ASHTON & SONS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/06/2023,5790428,798.00,Shergroup Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/06/2023,5790431,720.00,P G ASHTON & SONS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,05/06/2023,5790433,600.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5790610,258.00,Veritas Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/06/2023,5790649,"5,500.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/06/2023,5791656,"6,500.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,14/06/2023,5791659,710.00,P G ASHTON & SONS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/06/2023,5791660,668.00,P G ASHTON & SONS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/06/2023,5791661,758.00,P G ASHTON & SONS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,07/06/2023,5791662,668.00,P G ASHTON & SONS
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,09/06/2023,5793027,650.00,THE 36 GROUP
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,12/06/2023,5793063,"3,800.00",Resolute Legal Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,12/06/2023,5793070,750.00,Redfearn Experts Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5794684,"1,200.00",Jones Kinvig Lawyers Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795210,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795211,462.50,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795213,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795218,500.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795221,900.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795222,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795230,"1,850.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795231,"3,500.00",Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795232,"1,500.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795233,600.00,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795234,809.47,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795679,500.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795680,405.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795682,400.00,Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795683,260.00,Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795684,500.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795686,425.00,Redfearn Experts Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795708,300.00,Cerberus Law Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,19/06/2023,5795713,700.00,Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,21/06/2023,5797065,"2,500.00",Driscoll Kingston Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,21/06/2023,5797072,500.00,Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,21/06/2023,5797076,540.00,42 Bedford Row
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,23/06/2023,5798310,350.00,Antony Hodari Holdings Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5798695,"6,000.00",Jones Kinvig Lawyers Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5798706,"2,000.00",Resolute Legal Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5798708,"3,836.22",Dowse & Co Solicitors LLP
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5798709,"1,155.00",Coyne Learmonth (Crosby) Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5798711,400.00,Bond Turner Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5798725,"1,800.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/06/2023,5799435,425.00,Redfearn Experts Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792576,"18,435.00",AGE UK EAST LONDON
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792577,"2,750.00",Auto Italia South East
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792578,"11,303.50",Deaf Plus London
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792579,"231,025.50",East End Citizens Advice Bureau
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792580,"20,343.00",FOUR CORNERS LTD
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792582,"9,553.36",Half Moon Young People's Theatre
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792583,"12,500.00",ISLAND ADVICE CENTRE
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792584,"4,539.42",KAZZUM ARTS PROJECT LTD
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792585,"12,573.86",Limehouse Project
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792586,"4,358.25",Limehouse Project
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792587,"12,573.75",Limehouse Project
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792588,"4,449.79",Limehouse Project
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792590,"6,899.00",Magic Me
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792591,"5,045.36",NEWARK YOUTH LONDON
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792592,"9,000.00",Osmani Trust
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792593,"8,988.86",Osmani Trust
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792594,"3,824.00",Society Links
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792595,"14,200.00",St Giles Trust
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792596,"7,594.50",Stifford Centre
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792597,"6,454.00",Streets of Growth
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792598,"14,445.50",The Bromley by Bow Centre
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,09/06/2023,5792599,"4,819.95",Woman's trust
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,02/06/2023,5781906,996.00,Tutaev Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,09/06/2023,5783436,450.00,Visual Print and Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,09/06/2023,5783437,795.00,Visual Print and Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,09/06/2023,5783439,525.00,Visual Print and Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,12/06/2023,5785724,921.00,Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,14/06/2023,5788498,"10,296.22",Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,07/06/2023,5788499,"9,139.00",Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,07/06/2023,5788500,"1,220.00",Financial Data Management Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,07/06/2023,5788580,330.00,SLS Print LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,07/06/2023,5788581,299.00,SLS Print LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,23/06/2023,5788966,340.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,23/06/2023,5788967,500.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/06/2023,5789226,396.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,30/06/2023,5790487,"2,417.00",Cubiquity Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,28/06/2023,5791232,490.00,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,14/06/2023,5792380,"-1,816.98",Financial Data Management Ltd
Chief Executive�s Office,Planning Services,Community Development,Emergency Fund,Third Party Payments - Voluntary Associations,09/06/2023,5792581,"7,747.50",GLOBE COMMUNITY PROJECT
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,09/06/2023,5792904,"2,853.72",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,12/06/2023,5792905,634.16,Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,12/06/2023,5792906,"3,170.80",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,12/06/2023,5792907,"3,487.88",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,12/06/2023,5792908,634.16,Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,12/06/2023,5792909,"2,853.72",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,12/06/2023,5792910,"1,902.48",Academics ltd
Children & Culture,Education Services,Other Strategic Functions,Schools Library,Books - General Purchases,14/06/2023,5793085,484.65,Peters Bookselling Services
Children & Culture,Education Services,Other Strategic Functions,Schools Library,Books - General Purchases,14/06/2023,5793087,"1,095.42",Peters Bookselling Services
Children & Culture,Education Services,Other Strategic Functions,Schools Library,Books - General Purchases,14/06/2023,5793090,601.50,Peters Bookselling Services
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,12/06/2023,5783401,"18,078.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,26/06/2023,5789844,"3,300.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Basic Needs/Expansions - CAP,Building Works - Main Works,12/06/2023,5783494,"34,125.00",Tower Hamlets Schools LTD
Children & Culture,Education Services,Other Strategic Functions,Parents Advice Centre,Catering - Hospitality,14/06/2023,5785310,"1,570.00",Cafe Bite
Children & Culture,Children's Social Care,Youth Justice,Young Tower Hamlets,Catering - Hospitality,28/06/2023,5789217,"10,006.00",National Youth Agency
Children & Culture,Children's Social Care,Support Service and Management Costs,Schools Catering,Catering - Hospitality,23/06/2023,5789231,478.40,Tiffin Sandwiches
Children & Culture,Children's Social Care,Support Service and Management Costs,Swanlea,Catering - Hospitality,09/06/2023,5783920,324.00,Tiffin Sandwiches
Children & Culture,Children's Social Care,Support Service and Management Costs,Swanlea,Catering - Hospitality,16/06/2023,5787534,555.60,Tiffin Sandwiches
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,05/06/2023,5782802,294.00,Alpha Biolaboratories Legal Limited
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,16/06/2023,5795274,"1,251.00",City Care Agency Ltd
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,30/06/2023,5799237,282.00,Potton Kare Services Ltd
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Expert Assessmt/Witness Costs,19/06/2023,5779199,492.00,E4 Law Limited 
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Interpreting/Translation,05/06/2023,5713758,302.37,Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Interpreting/Translation,12/06/2023,5748634,"5,595.32",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Interpreting/Translation,12/06/2023,5759005,"6,551.67",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Interpreting/Translation,12/06/2023,5771781,"4,885.01",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Interpreting/Translation,23/06/2023,5781166,"4,423.33",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Interpreting/Translation,05/06/2023,5718934,"7,659.44",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Interpreting/Translation,28/06/2023,5790544,"6,075.39",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,28/06/2023,5798712,"3,931.20",PARTNER ABUSE INTERVENTIONS LTD
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Non-Contact Taxi Costs,30/06/2023,5798320,284.00,Mile End Car Hire Limited
Children & Culture,Children's Social Care,Children Looked After,S23 Fam Pl P&V-F/Care,Childrens Act Section 17 - Other Childcare Support,23/06/2023,5795995,612.27,Affinity Fostering Services Ltd
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,07/06/2023,5783288,"1,585.65",HAMAR PROPERTY SERVICES LTD
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,05/06/2023,5788961,"1,250.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,05/06/2023,5788962,"1,209.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,05/06/2023,5788963,"1,860.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,05/06/2023,5788964,"1,209.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,02/06/2023,5788965,"2,480.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789928,"1,860.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789929,"1,395.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789930,"1,240.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789931,"2,356.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789932,"2,232.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789933,"2,232.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789934,"2,247.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789935,"2,480.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789936,"4,250.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789937,"1,860.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,19/06/2023,5789938,"2,170.00",Finefair Management
