Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807178,"4,000.00",Mansfield Solicitors & Advocates Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807179,"1,500.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807185,"3,000.00",Bamber & Co Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807187,"1,500.00",Bond Turner Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,26/07/2023,5807188,"4,080.00",True Solicitors LLP Client Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809142,"1,250.00",Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809143,800.00,Mansfield Solicitors & Advocates Ltd
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809144,"2,000.00",Driscoll Kingston Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809145,"3,730.00",Clear Law LLP
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809146,500.00,Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809147,"7,000.00",Coyne Learmonth (Crosby) Limited
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809148,"4,000.00",Bamber & Co Solicitors
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809159,"1,000.00",Field Court Chambers  - Fees Account
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809165,"1,150.00",Five Paper Buildings
Chief Executive�s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,28/07/2023,5809168,375.00,Cerberus Law Limited
Chief Executive�s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Services - Professional Fees - Legal Fees/Expenses,05/07/2023,5801519,"4,725.00",11KBW Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,07/07/2023,5793112,317.20,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,19/07/2023,5797897,"1,125.00",Visual Print and Design
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,21/07/2023,5798136,260.80,Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,21/07/2023,5798410,460.00,Medialink World LTD
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/07/2023,5800020,305.00,Good Impressions
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/07/2023,5800068,582.00,Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/07/2023,5800069,286.38,Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,26/07/2023,5800074,301.70,Broadway Publishing Limited t/a Printloft
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,28/07/2023,5800285,"1,575.00",Promo2u Ltd
Chief Executive�s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,28/07/2023,5800520,"2,555.00",Good Impressions
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792911,"7,118.33",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792912,"1,363.42",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792913,"5,453.68",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792914,"7,482.96",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792915,"2,362.21",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792916,"5,469.53",Academics ltd
Children & Culture,Children's Social Care,Children Looked After,Virtual School PPG,Agency Staff - Associations,05/07/2023,5792917,"4,090.26",Academics ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,05/07/2023,5791432,"5,040.00",M&L Sign Makers Ltd
Children & Culture,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,10/07/2023,5793938,"2,250.00",JC Coster (Metalworks) Ltd
Children & Culture,No Service Specified,No Division Specified,Basic Needs/Expansions - CAP,Building Works - Main Works,14/07/2023,5776007,"2,360.00",Tower Hamlets Schools LTD
Children & Culture,No Service Specified,No Division Specified,Basic Needs/Expansions - CAP,Building Works - Main Works,19/07/2023,5803695,"1,157.31",Tower Hamlets Schools LTD
Children & Culture,No Service Specified,No Division Specified,Conditions and Improvements - Cap,Building Works - Main Works,14/07/2023,5795806,300.00,SFW360 Ltd
Children & Culture,No Service Specified,No Division Specified,Conditions and Improvements - Cap,Building Works - Main Works,14/07/2023,5795807,950.00,SFW360 Ltd
Children & Culture,No Service Specified,No Division Specified,Conditions and Improvements - Cap,Building Works - Main Works,19/07/2023,5803692,"2,044.25",Tower Hamlets Schools LTD
Children & Culture,No Service Specified,No Division Specified,Conditions and Improvements - Cap,Building Works - Main Works,28/07/2023,5806784,"1,450.00",SFW360 Ltd
Children & Culture,No Service Specified,No Division Specified,Provision for 2 year olds - CAP,Building Works - Main Works,28/07/2023,5809153,"57,166.90",STEBON SCHOOL
Children & Culture,No Service Specified,No Division Specified,Culture - CAP,Capital Budgets (Expenditure) - Main Works,28/07/2023,5808362,"12,450.00",Demiurgic Consulting Engineers Limited
Children & Culture,Education Services,Other Strategic Functions,Parents Advice Centre,Catering - Hospitality,17/07/2023,5797680,258.00,LIMONCELLO (CATERING & DELICATESSEN) LTD
Children & Culture,Education Services,Other Strategic Functions,Parents Advice Centre,Catering - Hospitality,17/07/2023,5797681,258.00,LIMONCELLO (CATERING & DELICATESSEN) LTD
Children & Culture,Children's Social Care,Youth Justice,Young Tower Hamlets,Catering - Hospitality,05/07/2023,5800931,500.00,George Green School
Children & Culture,Children's Social Care,Youth Justice,Young Tower Hamlets,Catering - Hospitality,21/07/2023,5806427,500.00,Osmani Trust
Children & Culture,Children's Social Care,Children's and Young People's Safety,"South East Birth to 19 Family Support		",Catering - Hospitality,17/07/2023,5796054,260.00,Cafe Bite
Children & Culture,Children's Social Care,Children's and Young People's Safety,Family Hubs & Sure Start,Catering - Hospitality,10/07/2023,5803309,360.00,All Seasons Foods
Children & Culture,Children's Social Care,Support Service and Management Costs,Swanlea,Catering - Hospitality,07/07/2023,5795998,431.60,Tiffin Sandwiches
Children & Culture,Children's Social Care,Support Service and Management Costs,Swanlea,Catering - Hospitality,14/07/2023,5795999,400.40,Tiffin Sandwiches
Children & Culture,Children's Social Care,Support Service and Management Costs,Swanlea,Catering - Hospitality,21/07/2023,5798568,369.60,Tiffin Sandwiches
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,03/07/2023,5792447,"1,257.50",Precious Child Contact Services Ltd
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,28/07/2023,5801423,"3,055.00",Precious Child Contact Services Ltd
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,24/07/2023,5806779,552.50,Help Handz CIC
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,24/07/2023,5806780,524.00,Help Handz CIC
Children & Culture,Children's Social Care,Family Support Services,S17 Advice & Assessmt East,Childrens Act Section 17 - Contract Expenses,26/07/2023,5806781,552.50,Help Handz CIC
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Expert Assessmt/Witness Costs,17/07/2023,5801395,740.00,E4 Law Limited T/A Lextox
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Interpreting/Translation,05/07/2023,5790560,"1,440.70",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Interpreting/Translation,21/07/2023,5799258,"1,351.67",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Interpreting/Translation,28/07/2023,5803523,"1,215.87",Thebigword Interpreting Services Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,07/07/2023,5795735,972.00,Metro Properties Ltd
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,28/07/2023,5801556,"2,323.20",E4 Law Limited T/A Lextox
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,07/07/2023,5801598,362.88,EXPERT IN MIND LIMITED
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806222,647.25,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806223,382.50,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806224,445.50,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806225,632.75,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806227,639.75,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806228,314.15,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806229,647.25,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806230,267.50,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Maintenance/Subsistence,21/07/2023,5806237,979.12,Fenix Recruitment Solutions Limited
Children & Culture,Children's Social Care,Service Strategy,FSP Sect 17 - Team 1,Childrens Act Section 17 - Non-Contact Taxi Costs,05/07/2023,5797634,990.00,Mile End Car Hire Limited
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,26/07/2023,5807050,"1,844.23",Potton Kare Services Ltd
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,26/07/2023,5807052,752.70,Potton Kare Services Ltd
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,26/07/2023,5807053,405.00,Potton Kare Services Ltd
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,26/07/2023,5807054,273.90,Potton Kare Services Ltd
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,26/07/2023,5807061,808.60,Potton Kare Services Ltd
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,26/07/2023,5807062,"1,911.90",Potton Kare Services Ltd
Children & Culture,Children's Social Care,Commissioning and Social Work,Advice and Assessment Section 17,Childrens Act Section 17 - Other Childcare Support,31/07/2023,5807063,"1,913.55",Potton Kare Services Ltd
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,03/07/2023,5792519,"2,400.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,03/07/2023,5792520,"1,200.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,03/07/2023,5792521,"1,800.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792522,"1,800.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792523,"1,650.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792524,"2,700.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792525,"1,950.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792526,"2,082.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792527,"2,175.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792528,"1,350.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792529,"1,710.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792530,"2,100.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792531,550.00,Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5792532,"1,430.00",Finefair Management
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5800271,"3,355.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5800272,"1,210.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5800273,"3,050.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5800274,"1,170.00",Apolonia Property Services (Exodus Housing)
Children & Culture,Children's Social Care,Family Support Services,IPST S17 NRPF,Childrens Act Section 17 - Other Placements Bed & Breakfast,10/07/2023,5800275,"1,800.00",Apolonia Property Services (Exodus Housing)
