Directorate,Service,Division,Responsible Unit,Expense Type,Payment Date,Trans No,Net Amount,Supplier Name
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/03/2024,5885736,"6,850.00",FDM SOLICITORS
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/03/2024,5885737,"7,650.00",Satchell Moran Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/03/2024,5885745,800,Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/03/2024,5885746,760,Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,08/03/2024,5885747,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/03/2024,5888015,"8,500.00",Driscoll Kingston Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/03/2024,5888445,350,Antony Hodari Holdings Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/03/2024,5888447,"1,500.00",Bond Turner Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/03/2024,5888454,"2,900.00",Pabla & Pabla Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/03/2024,5888458,"2,751.00",Antony Hodari Holdings Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,15/03/2024,5888461,350,Coupland Cavendish t/a Gowing Law Solicitors
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/03/2024,5889132,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/03/2024,5889133,425,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/03/2024,5889134,425,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,20/03/2024,5889135,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891036,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891037,425,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891038,425,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891041,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891042,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891043,750,Redfearn Experts Limited
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891044,600,Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891045,"1,150.00",Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891047,735,Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891049,475,Five Paper Buildings
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5891056,"2,000.00",RJM Law Limited T/A RMD Legal
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5892101,400,42 Bedford Row
Chief Executive’s Office,General Fund/Council Fund,Housing Strategy,Housing Services,Services - Professional Fees - Legal Fees/Expenses,22/03/2024,5892802,925,Five Paper Buildings
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883633,"3,650.00",Weavers Community Forum
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883634,"5,476.00",Weavers Community Forum
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883635,"3,128.00",S40 FOIA
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883636,"4,692.00",S40 FOIA
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883637,"4,167.00",Council of Mosques - Tower Hamlets
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883638,"6,250.00",Council of Mosques - Tower Hamlets
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883639,"2,499.00",Toyhouse
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883640,"3,748.00",Toyhouse
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883641,"3,333.00",CITY GATEWAY
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883642,"5,000.00",CITY GATEWAY
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883643,"4,167.00",Limehouse Project
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883644,"6,250.00",Limehouse Project
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883645,"2,497.00",Toyhouse
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883646,"3,745.00",Toyhouse
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883647,"4,167.00",Elop
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,11/03/2024,5883648,"6,250.00",Elop
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891024,"6,666.00",Deaf Plus London
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891025,"10,000.00",Deaf Plus London
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891026,"5,000.00",FIRST LOVE FOUNDATION
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891027,"7,500.00",FIRST LOVE FOUNDATION
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891028,976,KAYD SOMALI ARTS & CULTURE
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891029,"5,000.00",KAYD SOMALI ARTS & CULTURE
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891030,"4,167.00",The Methodist Church In Tower Hamlets
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891031,"6,250.00",The Methodist Church In Tower Hamlets
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891032,"5,000.00",Women’s Inclusive Team
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891033,"7,500.00",Women’s Inclusive Team
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891034,"3,333.00",Women’s Inclusive Team
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,22/03/2024,5891035,"5,000.00",Women’s Inclusive Team
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893155,"5,000.00",The Felix Project
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893156,"7,500.00",The Felix Project
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893157,"2,357.00",KAYD SOMALI ARTS & CULTURE
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893158,"1,549.00",ELMV SHADWELL BASIN PROJECT
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893159,"2,323.00",ELMV SHADWELL BASIN PROJECT
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893160,"4,167.00",WAPPING BANGLADESH ASSOCIATION
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893161,"6,250.00",WAPPING BANGLADESH ASSOCIATION
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893162,"3,333.00",NEWARK YOUTH LONDON
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893163,"5,000.00",NEWARK YOUTH LONDON
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893164,"5,000.00",DA'WATUL ISLAM UK & EIRE
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893165,"7,500.00",DA'WATUL ISLAM UK & EIRE
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893166,"4,167.00",Body & Soul
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893167,"6,250.00",Body & Soul
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893168,"4,167.00",Working Well Trust
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893169,"6,250.00",Working Well Trust
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893170,"5,530.00",St Hilda's East Community Centre
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893171,"8,295.00",St Hilda's East Community Centre
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893172,"1,728.00",Tower Hamlets Parents Centre
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Other Establishments,25/03/2024,5893173,"2,592.24",Tower Hamlets Parents Centre
Chief Executive’s Office,Planning Services,Community Development,Ch Exec Mainstream Grants,Third Party Payments - Voluntary Associations,13/03/2024,5880400,"11,666.00",Step Forward (Tower Hamlets)
Chief Executive’s Office,Planning Services,Community Development,Match Funding Schemes,Events & Exhibitions,27/03/2024,5892570,"9,900.00",The Atrium London Ltd
Chief Executive’s Office,Planning Services,Community Development,Match Funding Schemes,Education & Training - Non Staff Tuition Fees,04/03/2024,5882980,"3,600.00",Gemma Cossins
Chief Executive’s Office,Planning Services,Community Development,Match Funding Schemes,Education & Training - Non Staff Tuition Fees,22/03/2024,5889126,"1,190.00",McKenzie LLP
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,01/03/2024,5872866,"4,341.00",Cubiquity Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,01/03/2024,5874373,490,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,01/03/2024,5874375,"8,900.00",Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,04/03/2024,5874656,397,Tutaev Design
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,06/03/2024,5875734,"1,386.00",Tutaev Design
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,08/03/2024,5875812,795,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,08/03/2024,5875925,442,SLS Print LTD
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,08/03/2024,5875926,275,SLS Print LTD
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,13/03/2024,5877151,410,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,11/03/2024,5877267,860,SLS Print LTD
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,15/03/2024,5877462,480,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,06/03/2024,5877707,345,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,20/03/2024,5877822,530,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,20/03/2024,5877824,570,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,18/03/2024,5877832,520,Good Impressions
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,22/03/2024,5879305,500,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,20/03/2024,5880487,360,Visual Print and Design
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5881562,324,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5881563,321,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5881565,723,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,22/03/2024,5881592,660,Visual Print and Design
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5882238,"2,300.00",Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5882239,625,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5882251,320,Good Impressions
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,11/03/2024,5882996,860,SLS Print LTD
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5883346,"1,000.00",Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5883347,"1,085.40",Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5883348,500,Promo2u Ltd
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5883671,"1,379.00",Printloft
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5883674,924.6,Printloft
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5883688,366.19,Printloft
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5886988,430,Visual Print and Design
Chief Executive’s Office,Corporate & Democratic Core,Corporate Management,Tower Design,Printing - Internal,27/03/2024,5891966,490,Promo2u Ltd
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Consultants Fees,15/03/2024,5878115,"9,100.00",Airey Miller Limited
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Consultants Fees,18/03/2024,5878164,"1,155.00",Cloud 10 Ltd
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Other External Fees,27/03/2024,5882345,"6,600.00",Leadenhall Project Management Ltd
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Other External Fees,27/03/2024,5883398,450,Historic England
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Other External Fees,27/03/2024,5883660,"3,750.00",Blakeney Leigh Ltd
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Other External Fees,27/03/2024,5883765,"32,370.45",Child Graddon Lewis Limited
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Other External Fees,27/03/2024,5883767,"6,541.50",Child Graddon Lewis Limited
Children’s Services,No Service Specified,No Division Specified,Culture - CAP,Other External Fees - Other External Fees,06/03/2024,5884188,"12,360.00",Blakeney Leigh Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,11/03/2024,5876360,"14,800.00",JC Coster (Metalworks) Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,01/03/2024,5876445,"9,743.86",Relovision Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,18/03/2024,5877806,"17,620.00",JC Coster (Metalworks) Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,18/03/2024,5877909,"9,850.00",J&L Coster (Drainage) Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,20/03/2024,5879410,"6,726.33",Independent Communication Solutions Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,20/03/2024,5880576,"2,930.00",Amethyst Horticulture Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,27/03/2024,5882299,"8,900.00",J&L Coster (Drainage) Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,27/03/2024,5883415,"4,940.80",Relovision Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,27/03/2024,5883416,"8,623.00",Relovision Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,27/03/2024,5883417,"6,883.68",Relovision Ltd
Children’s Services,No Service Specified,No Division Specified,Parks - CAP,Building Works - Main Works,27/03/2024,5884148,"24,980.00",JC Coster (Metalworks) Ltd
Children’s Services,Education Services,Primary Schools,Bygrove Academy,Government Grants - DfE Grants for Schools,22/03/2024,5891882,946.8,The Letta Trust
Children’s Services,Education Services,Primary Schools,Canon Barnett Delegated,Government Grants - DfE Grants for Schools,22/03/2024,5891891,946.8,Mulberry Canon Barnett Primary
Children’s Services,Education Services,Primary Schools,Clara Grant Delegated,Government Grants - DfE Grants for Schools,22/03/2024,5891888,946.8,Boleyn Trust T/a Clara Grant Primary School
Children’s Services,Education Services,Primary Schools,Culloden Academy,Government Grants - DfE Grants for Schools,22/03/2024,5891883,"1,893.60",Paradigm Trust
Children’s Services,Education Services,Primary Schools,Cyril Jackson Delegated,Government Grants - DfE Grants for Schools,22/03/2024,5891889,946.8,Cyril Jackson School
Children’s Services,Education Services,Primary Schools,Solebay Primary Academy,Government Grants - DfE Grants for Schools,22/03/2024,5891890,946.8,Paradigm Trust
