Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40774756,622.2,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40774757,622.2,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40774776,622.2,2024-11-06 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777213,373.32,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777213,124.44,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777213,124.44,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777224,539.24,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777226,622.2,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777229,667.2,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40777233,518.5,2024-11-13 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778828,622.2,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778833,622.2,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778855,1296.25,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778858,667.2,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778864,539.24,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778888,622.2,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40778891,829.6,2024-11-20 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779963,1244.4,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779965,1244.4,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779966,995.52,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779968,1866.6,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779969,1244.4,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779970,622.2,2024-11-05 00:00:00
Redcar & Cleveland Borough Council,Protocol Education Ltd,Termly Course Fees,Children & Families,Education DSG Funded,10804,Inclusion & Welfare,Revenue,40779981,1243.35,2024-11-05 00:00:00
