Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Gabriels,Grants & Donations,Children & Families,Education DSG Funded,10989,EARLY YEARS PUPIL PREMIUM,Revenue,40789540,826.2,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,General Supplies & Services,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40784450,910,2024-12-04 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40789348,1575,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789458,9250.5,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,Grants & Donations,Children & Families,Education DSG Funded,10989,EARLY YEARS PUPIL PREMIUM,Revenue,40789546,1428,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789581,837.9,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790148,500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Margaret Clitherows,Grants & Donations,Children & Families,Education DSG Funded,10518,IPS - Mainstream,Revenue,40791479,680.4,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,Miscellaneous Capital Costs,Children & Families,Education and Skills,C20465,Wraparound & Early Years Expansion,Capital,40788080,3792,2024-12-11 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,Grants & Donations,Children & Families,Education and Skills,11491,DfE Wraparound Programme Funding,Revenue,40788088,14678.12,2024-12-11 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40789349,1181.25,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789459,5754.22,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,Grants & Donations,Children & Families,Education DSG Funded,10989,EARLY YEARS PUPIL PREMIUM,Revenue,40789547,1484.1,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789582,1473.3,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Marys,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790150,1000,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/a St Paulinus Academy,General Supplies & Services,Children & Families,Education DSG Funded,10518,IPS - Mainstream,Revenue,40786652,7457,2024-12-04 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/a St Paulinus Academy,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40789345,2025,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/a St Paulinus Academy,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789453,40210.6,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate T/A St Peters Secondary,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790155,2000,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate Trust T/A St Josephs,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40789344,4331.25,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate Trust T/A St Josephs,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789452,12369.17,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate Trust T/A St Josephs,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790147,500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Nicholas Postgate Trust T/A St Josephs,Grants & Donations,Children & Families,Education DSG Funded,10518,IPS - Mainstream,Revenue,40791478,2041.2,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,North East Autism Society,Termly Course Fees,Children & Families,Education DSG Funded,10362,Independent Schools,Revenue,40789845,19609.2,2024-12-18 00:00:00
Redcar & Cleveland Borough Council,North East Learning Trust - Rye Hills Secondary School,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790140,500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,North East Nursing & Care Services,Services - Professional Fees,Adults & Communities,Operation Partnerships & Provider Services,11282,Meadowgate ICC,Revenue,40789165,516,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,North East Regional Employers Organisation,CRB Checks,General Fund,Other Operating Income & Expenditure,10143,CRB Checks,Revenue,40782205,2372,2024-12-02 00:00:00
Redcar & Cleveland Borough Council,North East Regional Employers Organisation,Training Expenses - Employees,Resources,Corporate Services,11320,Corporate Training,Revenue,40782405,750,2024-12-11 00:00:00
Redcar & Cleveland Borough Council,North East Regional Employers Organisation,CRB Checks,General Fund,Other Operating Income & Expenditure,10143,CRB Checks,Revenue,40788194,940,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,North East Visual Impairment,Private Contractors,Adults & Communities,Adults Social Work & Safeguarding,10728,SW Adults - Safeguarding and Access Team,Revenue,40788853,885.78,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,North East Wellbeing,Private Contractors,Adults & Communities,Public Health R&C,11274,Sport England Local Delivery Pilot,Revenue,40786540,1413.71,2024-12-23 00:00:00
Redcar & Cleveland Borough Council,North Yorkshire Bottled Gas,Hire of Transport,"Growth, Enterprise and Environment",Engineering & Highways,11225,Scheme Works,Revenue,40781460,549,2024-12-04 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,Construction,Children & Families,Education and Skills,C20393,High Needs Provision,Capital,40783690,75000,2024-12-18 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,Grants & Donations,Children & Families,Education DSG Funded,10786,Two Year Old Basic Entitlement (Was 2 Yr Old Offer),Revenue,40789351,2475,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789464,3470.77,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,Grants & Donations,Children & Families,Education DSG Funded,10989,EARLY YEARS PUPIL PREMIUM,Revenue,40789552,1728.9,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,Grants & Donations,Children & Families,Education DSG Funded,10560,3 & 4 Basic Entitlement (All schools),Revenue,40789586,1205.55,2024-12-16 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790100,6000,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northern Education Trust,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790168,1000,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northern Lights Learning Trust Ian Ramsey CE Academy,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790115,500,2024-12-19 00:00:00
Redcar & Cleveland Borough Council,Northern Lights Learning Trust T/A St Helen's Primary,General Supplies & Services,Children & Families,Education and Skills,10580,Pupil Premium,Revenue,40790146,500,2024-12-19 00:00:00
