Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Amar Ali,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40771814,590,2024-10-03 00:00:00
Redcar & Cleveland Borough Council,Amar Ali,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40773046,590,2024-10-07 00:00:00
Redcar & Cleveland Borough Council,Amar Ali,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40774348,590,2024-10-11 00:00:00
Redcar & Cleveland Borough Council,Amar Ali,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40776137,590,2024-10-21 00:00:00
Redcar & Cleveland Borough Council,Amber Care Group (UK) LTD,Private Contractors,Children & Families,Safeguarding And CF,10020,Residential (formerly Agency),Revenue,40773253,46965,2024-10-30 00:00:00
Redcar & Cleveland Borough Council,Anchor Trust,Rent - Expenditure,Adults & Communities,Day Services,10697,St Germains Day Centre,Revenue,40778744,1041.67,2024-10-31 00:00:00
Redcar & Cleveland Borough Council,Anchor Trust,Rent - Expenditure,Adults & Communities,Day Services,10697,St Germains Day Centre,Revenue,40778750,1000,2024-10-31 00:00:00
Redcar & Cleveland Borough Council,Anchor Trust,Rent - Expenditure,Adults & Communities,Day Services,10697,St Germains Day Centre,Revenue,40778762,1250,2024-10-31 00:00:00
Redcar & Cleveland Borough Council,Andrea Tidy,"Clothing, Uniforms & Laundry","Growth, Enterprise and Environment",Health Protection & Healthcare Quality,11400,Homes for Ukraine,Revenue,40777734,500,2024-10-29 00:00:00
Redcar & Cleveland Borough Council,Andy Berriman,Services - Professional Fees,"Growth, Enterprise and Environment",Culture & Tourism,11273,Events,Revenue,40767591,1350,2024-10-09 00:00:00
Redcar & Cleveland Borough Council,Anne Richards,General Supplies & Services,"Growth, Enterprise and Environment",Compliance and Community Safety,10930,Compliance and Community Safety (Formerly Neighbourhoods),Revenue,40775101,1046.97,2024-10-23 00:00:00
