Authority,Supplier,Expenditure Category,Directorate,Service,Cost Centre,Cost Centre Name,Revenue / Capital,TransNo,Posted amount,Date Paid
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793188,1444,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793191,952,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793192,1444,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793198,1140,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793202,600,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793206,1140,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793208,1600,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793211,1330,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793212,1280,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793215,2400,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793217,1800,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793219,1160,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793222,1030.95,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793224,1438,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793226,648,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793227,1400,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793251,1720,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793253,1800,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793255,1532,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793256,1495,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793257,1200,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793258,1996,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793259,1444,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793260,4285,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793261,2845,2025-01-06 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793263,900,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793265,1208,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793266,4420,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793270,1700,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793271,4735,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793279,1650,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793288,1440,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793298,1650,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793317,2090,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793324,2880,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793326,2145,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793329,1425,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793331,2000,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793332,1650,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793333,1224,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793458,3740,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793463,2040,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793470,3850,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793566,2658,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793567,3325,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793569,1166,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793571,2100,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793572,6120,2025-01-07 00:00:00
Redcar & Cleveland Borough Council,Middlesbrough Borough Cars Ltd,Public Transport,Children & Families,Operations,10093,Childrens Home To School/College Transport,Revenue,40793574,720,2025-01-07 00:00:00
