Transaction Date,Local Authority Department,BENEFICIARY,Purpose,Amount,Non Recoverable,Merchant Category
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1475.28,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1457.28,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1467.73,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1547.3,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,1484.99,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,706.34,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,Matrix Scm,Agency Staff,785.4,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,Matrix Scm,Agency Staff,117.36,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,Matrix Scm,Agency Staff,628.32,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,Matrix Scm,Agency Staff,29.34,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,Matrix Scm,Agency Staff,488.07,0,COMMERCIAL SUPPLIER
07-02-2024,RMS,Matrix Scm,Agency Staff,88.02,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1348.19,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,956.9,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,304.96,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1368.35,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1447.94,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,2189.56,0,COMMERCIAL SUPPLIER
07-02-2024,Transformation,Matrix Scm,Agency Staff,3380.75,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,968.65,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,868.28,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,968.65,0,COMMERCIAL SUPPLIER
07-02-2024,Children and Young People,Matrix Scm,Agency Staff,868.28,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1808.28,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1374.37,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,2217.25,0,COMMERCIAL SUPPLIER
07-02-2024,Environment and Sustainable Transport,Matrix Scm,Agency Staff,706.34,0,COMMERCIAL SUPPLIER
07-02-2024,Resources,Matrix Scm,Agency Staff,2256.65,0,COMMERCIAL SUPPLIER
07-02-2024,Adults & Health,Matrix Scm,Agency Staff,1277.28,0,COMMERCIAL SUPPLIER
